sex,country,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
M,Mexico,14.259707392426407,13.17788174402591,-5.0800257604960795,-153.54791796252977,126.27475320657729,E,A,C,D,B,E,-41.35210956033076,D,D,-96.19242495761817,1
Male,Other,14.649622202437252,-75.54542321010254,68.90098563458231,-181.99199926335092,-135.02535766404912,A,C,C,E,C,B,-35.89574418429681,C,D,-120.81501144961592,0
Other,Germany,-73.24400537041721,116.84973166474448,-1.3441350586182959,24.049417302180455,-17.250971940435324,B,A,D,D,E,C,86.72963212045127,C,C,-192.82032347817338,0
Non-binary,China,-21.81436955506961,317.33475524068473,-13.812000328852447,-79.41414765567755,112.67872740639098,D,B,D,B,C,A,-18.578851480445763,D,B,125.36048283167555,1
M,Germany,-108.567662636991,264.44427399711657,-153.23701664000654,-45.824896408059,-3.1370079751034794,B,C,D,C,B,A,94.94172743847534,C,D,-60.28434740233944,1
Non-binary,Brazil,-223.96517699323252,-125.59233025655404,65.16830098445546,-128.6839276711173,-38.13943565727066,E,D,A,A,E,A,30.743656723450698,A,E,-73.41221166994217,0
Male,UK,13.276879202354557,-81.85686398897961,146.40112051048862,4.622703491510529,12.871469887852774,A,E,D,B,D,C,-136.38255445538778,B,C,11.126615643413226,1
Non-binary,Other,13.59275862326877,-31.107495832443004,-138.88609968186222,81.01323140801439,16.634814417769906,C,B,B,D,D,D,21.791358264407553,B,A,21.321651065198083,0
Male,Other,-2.4861865774171674,-145.89056330214194,63.52871243716848,63.487119335059504,-15.252480057369045,D,C,B,C,D,C,47.50921465581297,D,C,-61.73499162444863,1
Male,Other,-40.41039216821761,58.375790627819,104.40058290409455,-40.341473342819384,6.76806636393132,A,D,C,A,C,B,161.25483149222433,E,C,153.58154262567288,1
M,Other,96.19914486609659,-3.671020665752685,92.85238445057654,-22.281838352646535,-112.96765712970168,B,B,B,D,A,C,4.72163308797988,D,E,117.04094370361535,1
Non-binary,US,39.32363246732657,-38.95171754828207,23.97855810998802,-45.37403133647061,8.153380486225338,E,E,B,A,B,D,53.40537081044692,E,E,-74.80987379991961,0
M,Mexico,33.23051843763285,-256.3786928304898,59.250200804838784,33.336928316228416,-21.51924381765707,B,B,D,A,C,E,67.88427036862375,B,E,17.440964931729624,0
F,China,-56.27843201295835,-40.63254293355618,-51.05739362101994,60.54355306611639,12.851247811129237,D,E,B,A,A,D,-201.53168385586247,D,E,47.64171507580881,1
Non-binary,China,-38.6892819075427,14.945515399592784,60.22934366880951,-26.367178705974446,-12.520643581790761,D,C,C,D,E,A,-97.27904173651679,C,A,-78.0923128991067,0
Non-binary,US,73.68248637407147,-11.045095084558701,-10.014643896422166,-61.36874902793422,-86.87067533647867,D,C,A,A,B,A,-60.59211068091444,C,E,-27.182764173494995,1
Non-binary,US,-57.54785285439888,12.81355937669245,158.6041245821727,-113.27602992174062,-140.89635057056148,B,A,C,B,E,E,-115.04261335620963,A,C,-186.68981807037324,0
Male,US,224.44989197592906,-29.031653377331228,-30.420405541677376,58.58180112272613,-84.53623696498356,A,E,D,C,E,E,51.79287571634088,B,A,91.13703735423847,0
Male,Brazil,-14.791319853807646,-59.707214752837466,-105.6480977050912,-215.8448075478828,86.25031535791645,E,C,A,B,E,D,88.17201196598602,C,C,2.6168326933525847,1
Female,India,-156.39843394450529,-44.66684322955563,-82.32081795325763,156.47659320267275,26.54756783890462,B,C,B,C,E,B,-0.037659410300020284,C,E,114.92024073763874,0
Non-binary,India,33.5706839726229,6.477660426557982,-29.212569715366417,-208.4234899213358,-124.12789761296357,A,B,C,D,B,A,-34.41484024496994,C,A,-70.08794978587176,0
F,Germany,-31.46489581870658,-97.65735825588277,2.3260735148679292,37.59204055916348,-14.786458632190774,E,D,A,D,D,D,159.22618153866145,B,E,-65.98867224094546,1
F,Brazil,100.31038311777078,43.48766820927018,-55.323592866895,-32.21165403674372,-193.00778985402033,B,D,A,A,A,E,27.023466015254755,E,A,-139.26276223395163,1
Female,Mexico,178.132841332983,35.77618746552781,-10.583681422754763,74.0813436702772,-149.28415848009772,B,B,B,D,B,C,59.19109853057716,B,E,107.82593268945972,0
Male,Germany,27.15849178837531,-35.02518582553884,7.995401504634447,-2.235577162672326,47.946927575975664,D,C,C,B,A,C,121.52287117629801,B,B,47.6060240161719,1
Non-binary,Other,-35.78195943960465,3.1607068112788252,-28.488599422477822,-0.4774114136000802,120.27837818066456,E,A,E,C,C,B,16.415019475001653,C,E,102.45837374408613,1
Female,US,-26.689245907610832,243.76875646638285,5.1494917619118885,-94.0199788686309,56.00473993352084,B,B,A,B,D,E,-18.7173563904634,B,C,76.60995466536852,0
Other,India,126.26338909832238,114.19306374335969,91.37805094387576,65.2195240564439,96.80094012631521,A,A,C,A,C,D,32.30892419170168,C,A,-27.3690828027644,1
Other,Mexico,311.4901331996728,54.84880508067348,112.26273372882079,30.58450961527016,28.946579262796924,A,B,C,D,D,E,-61.07655269953503,E,B,73.8762063981829,0
M,Other,68.79608097390076,120.48017311573685,-33.30794808356766,23.899677679867036,-69.34381894521215,E,E,A,E,E,E,151.95758141070456,B,C,-27.14175153190903,0
Other,Brazil,-47.29314253943075,-114.23044426155182,153.7471772278962,-160.3330956021071,-24.15991675373267,B,C,A,A,D,E,-85.42059626598643,B,C,74.45691419808058,1
Other,US,-79.54860274356703,4.7240286192949394,162.70061545343674,-80.41615622219514,24.72702204349759,A,B,D,E,C,D,-90.6621796057563,B,A,70.48535065266572,1
Other,China,77.78679091836536,108.03840352094669,70.77925230584412,-134.4398023041907,-110.80118304438575,D,A,B,B,E,A,26.350837061645997,C,B,-27.411329162803185,1
M,UK,-135.05565397709236,-28.93334206307121,35.376998750937375,-5.852205266156297,-7.71992013086103,A,D,D,A,C,B,-44.608732041088025,D,C,-169.00757623772768,0
Non-binary,US,151.83903211833731,205.94643001984164,19.26015751379375,-102.73712976273069,-46.857886140074896,D,E,B,E,D,A,-7.222041440398011,A,E,-71.44255918334754,0
Male,Brazil,-135.80956267406776,-61.75738833594146,-25.010127086074906,-48.11772310475244,221.66419351605646,B,C,D,C,C,E,-196.62741436677987,B,A,-13.29736295039781,0
Female,UK,-38.37214637859313,-106.83299420720441,22.745758536080455,-85.5913982481938,134.50289815158786,D,B,E,A,D,D,-124.67252661483728,C,E,39.47608025845366,1
M,China,15.698260245023036,-36.78501736519201,-66.94077477574379,14.078872906552945,25.587975559819164,E,D,D,C,E,D,-27.549107941782452,D,B,-73.78677270226524,1
Female,UK,-69.84013520473059,81.06326483606145,-116.32487057382485,-84.87080797472326,-36.87168991532251,D,B,A,C,B,C,81.4837785977016,E,E,137.46867651854865,1
Other,Other,85.26290619154825,-117.63994247026321,-214.31568971902215,80.47470723875797,24.852123695898925,D,E,C,D,E,D,106.83200743361066,C,C,-48.33765682829865,0
Male,UK,-51.74639697381125,-22.779952196116614,11.300369179491113,71.6606609707401,-9.157309412758249,D,D,D,A,B,E,10.436998583034624,A,E,99.86223879695451,0
Other,Other,36.507607748356655,107.45756442654945,-30.189921956676912,28.102759577965937,-12.89278940279059,A,B,E,E,C,B,86.62886473062407,B,C,2.7967589785713463,1
Female,Other,54.46918128486743,1.6351805563217323,-28.77261224287991,74.10339703110117,-41.54650883278268,E,E,C,B,C,A,-80.05340609566973,B,D,146.8711317386793,1
F,US,-87.6027369793067,25.26488545347265,68.86316957300889,98.16962170318358,50.93134564935965,A,A,D,A,E,E,218.02325769581836,A,C,-133.10242619512704,0
F,Brazil,9.441784271963371,-57.54820994433377,129.82902194144089,161.77308242961647,15.174721714853781,C,B,E,A,C,A,138.93460345076366,E,D,79.40201011256677,1
Female,UK,111.06362645913195,-30.242428576701386,-38.03019290293819,-76.8876818494721,101.90514015340352,A,C,A,D,D,E,49.50054880908519,C,C,43.29387680005925,0
Female,Other,43.293700542907665,126.87099593851782,162.1391979757576,36.86200367803112,139.52971202120662,A,E,B,B,D,D,-28.52145791278422,E,C,78.65450667716567,1
Other,Mexico,-114.14204099453843,-127.90304086642375,-207.12975909803086,-157.65846508113154,-161.95094138850567,A,C,A,D,E,B,-180.2662880970318,B,B,-66.42859110778414,0
Other,US,-80.03781695333733,168.86291075057403,13.847513613579213,-31.282994197413817,197.27168137185507,D,C,B,B,D,B,-31.026704301812373,B,B,-59.041852083926294,0
M,Mexico,-147.4300913250298,-29.26534332021226,-129.19752484522365,88.32522784682715,257.54429497721196,B,D,A,B,B,A,-75.22444887323452,B,A,28.913282902705856,0
F,Mexico,79.4696812144139,3.627720930152888,126.64832950903946,-29.85888205019907,129.44727446991072,B,B,B,D,D,D,-177.94740915957573,B,D,64.76359217840297,1
M,India,188.44519149108544,128.78117377788007,-147.60361060198858,17.74819051019277,-182.60423229327867,E,E,D,D,D,A,120.54093523251869,E,C,-49.399737459301576,0
M,India,138.0581400404569,24.492695211664806,207.2725381301909,244.72997397005219,-102.251061660019,E,E,D,B,A,D,165.23801780333167,B,D,49.77960368899092,0
Female,Brazil,-44.45140617205975,-36.265489472285495,89.56961742335882,-19.719968581928086,-76.4405694934879,C,C,B,E,B,C,-57.72199967927699,A,E,-63.93602005799263,0
F,China,186.18068593601146,109.54585805644186,-4.447355753772165,20.59076234726038,17.267354530177727,A,B,B,D,C,D,39.67493876601808,B,A,15.12990672668163,1
M,UK,-110.11299660031418,74.91762450871737,71.79882904870173,-243.8735003446213,-176.50623501907808,D,C,A,E,A,B,176.32824055944923,C,E,-195.60743225638444,0
M,US,-36.75794234843447,-121.74695823287733,-58.32291991644753,-256.68120124376463,-189.5934290234967,C,B,B,D,B,D,129.48174311891358,B,E,191.02548649323546,1
Non-binary,US,-59.85330849941094,-93.61309550989219,18.704144880080683,-64.50679224663733,-80.5479499521551,B,C,C,B,C,A,-92.54445036180215,C,E,-41.45403075763669,1
Male,Brazil,78.02762269530842,-43.792040748877184,86.19279434911869,-150.53286448605533,-209.8969465760236,C,A,C,E,A,B,-63.0322521336539,E,A,-5.488470646704692,0
M,Brazil,96.68632743912052,83.7330365612075,54.37201975751562,-24.4073262926094,226.42612001212618,E,C,E,C,D,B,-113.86338691481394,C,A,181.35674026812222,1
Other,China,-96.77020310910494,-96.94457481202728,-157.4197970729459,45.236081442430624,40.05158470701988,A,E,D,B,A,C,61.97385094707961,B,C,30.74170001380375,1
Other,Other,-160.4174409002003,116.194806763328,-12.56239308686731,10.356764977941475,-44.46107802891655,C,E,D,E,A,C,38.38628041166664,D,A,51.80381152999411,1
M,India,34.93824133008109,-69.18498357172633,-106.78226053083489,-13.200541451539635,215.80265823694606,C,A,A,E,C,E,-52.02510558022342,D,D,56.83852106239778,1
Male,Germany,149.39388253215034,91.36572806460818,30.98772970898489,-177.89381791360785,-34.30523186419179,D,D,A,E,B,D,-85.77422192844347,A,A,-134.85821738427418,0
Other,UK,-7.447165555679608,-27.206558402807474,-9.019525735463622,53.623222816150715,221.28898063284822,B,A,E,D,B,A,-207.87232960599292,C,A,54.281920610753545,1
Male,Mexico,-17.285419655901084,-7.047967697606855,122.8476280114982,46.72608439171338,-27.167299735753875,B,D,A,A,D,D,8.570895390028232,E,E,14.650915741103724,0
Other,Germany,6.887215703477574,104.83192356910516,39.37498251561507,45.987269676332595,-72.07032520628864,D,C,E,D,B,B,-15.463908129115229,C,A,60.15057033811888,0
Female,Germany,-104.51446226627988,-53.011687327420084,52.39670204244625,106.4997918190127,24.92471899198992,C,A,B,C,C,C,-63.62547431449654,B,E,99.76451530731293,0
F,China,-122.83476826639364,-61.378291792602724,103.31144322152346,115.03293866372006,96.63838159803417,E,D,B,A,D,C,-11.686703581701462,E,B,-29.75543337888468,1
F,Brazil,-165.87941528974582,22.17808536710062,-23.46920889105831,35.970164732160136,48.798747336966116,E,E,D,E,A,E,-103.24655983062611,A,E,-34.010303979490146,0
Other,China,11.528052618642501,-35.99179971381485,33.70526856272652,98.30784046733658,5.132266012711076,D,B,D,A,E,E,22.88272078835715,E,A,-116.98394932864792,0
Female,China,215.63434811366756,-118.24288682213498,135.67848787523957,-6.956682492583434,-68.39488260166019,E,E,E,D,B,E,70.55537446123911,B,E,-18.525952021104292,0
Other,US,-147.34524534259188,-115.98293273797073,0.9219724019801873,-36.88315595019405,-81.23747962111652,C,B,B,E,B,D,-127.86850734280506,B,E,73.94940067167062,1
F,Mexico,100.39420688895216,-104.03014971853474,-119.11301494885842,-50.851624475124666,-158.22756254640842,D,D,A,C,D,E,100.93728026165631,C,D,62.092611362024066,0
Male,Brazil,35.02140820661705,-11.281442961747572,-8.00367192927323,-83.2496479634748,-79.00077956088771,E,B,B,B,E,B,25.121045764917998,A,E,-17.930817713345455,0
Female,Brazil,-45.170660360146826,-59.31735784040675,-79.94297229506692,-100.1953947148472,128.0264452151452,E,E,B,D,D,D,-20.937939707415776,A,C,62.45797512869409,1
M,Other,-20.92798251352218,97.08886203369987,105.24212180920533,29.828058217802255,55.49474392179966,C,C,B,E,E,B,77.20969512775288,B,D,147.22777003532485,1
Male,Germany,-283.5716848476554,-36.15684137651881,188.6893781253374,16.477619534408596,91.20377633869298,E,A,B,A,A,B,15.967992433260852,D,A,71.34791846732983,1
F,Germany,-48.10092786993511,-197.64433252185412,103.1874876988341,125.01652511085769,13.47810336496636,B,E,C,B,D,C,-44.776869905349145,E,E,9.423183742031423,0
Non-binary,Other,-60.01950272896095,181.60461256872625,-104.88424246672395,-25.238736074408415,-85.2282582671084,B,E,E,A,B,C,105.66287483520304,C,A,-68.43524508031935,1
Non-binary,Brazil,-55.78511742724317,-186.20869957992306,-13.136150991732109,121.4903696935997,-144.20223149350312,E,B,A,E,E,C,124.60714033785183,E,C,-162.27349265326362,1
Female,US,-119.01804641722921,13.074540113502344,112.07648858193424,62.76341256745223,-79.19770630800174,D,A,B,A,C,A,-100.50196279892067,D,D,-37.331805941483395,0
Female,Germany,38.37527231271765,-25.301827705076008,-41.47227341205173,-75.26825913413656,-55.51189006481366,D,A,E,E,A,E,-45.41377182369452,D,E,-8.528828658712088,0
F,Brazil,209.8239056143687,56.15476432974763,-201.92751140412798,10.834536002079268,25.60635227323414,A,E,D,E,D,E,31.02508431185497,B,A,98.05521447269707,0
F,US,66.99382445057026,-224.35571338956586,-30.377662395957987,9.708033168399556,26.504136420081426,D,C,D,A,E,B,-5.747212559998508,D,B,-53.38318403733228,0
Female,US,-88.58064033697707,69.25321175733573,30.285409210664554,-68.14274908624233,-96.9766591985024,C,E,A,B,E,E,170.278751897641,A,A,-106.0937268600087,0
M,UK,-100.19256756597711,31.471787414348963,71.51669109899179,26.186230882585654,60.02327419168034,B,D,A,D,C,D,183.74943245650863,C,D,-291.0402761847555,1
Female,US,-21.83334877934587,127.62135245991715,146.76194916553254,116.22818076806969,-151.4444986865207,C,B,A,A,C,B,-220.8430836601402,B,A,48.5985787598138,1
Non-binary,Brazil,141.40393373257163,158.50247721657922,-97.42870771232803,88.52369971827683,134.47817034451208,C,A,C,E,B,E,-226.37390075311936,A,A,-40.13748529546974,1
F,Brazil,-15.85319005352019,139.3539080138908,-117.46333564479954,20.195176123644718,-27.044873083089914,D,D,D,E,B,E,-36.87034044223934,C,D,-80.4015688071036,0
Other,China,-1.6047256773921512,-1.8558102657508864,94.50530680418086,74.33816267817244,98.66826890422642,C,B,B,C,C,C,-220.61712825720886,A,D,-55.915234988757355,1
Non-binary,India,6.571809870034029,28.19204356272691,-70.58246404224208,26.700961722577272,-37.280606895176646,C,A,D,A,D,D,-109.97859495737579,E,A,123.7090298684676,1
F,US,-268.2112524157644,10.599225746803533,31.405879215538228,-25.855681659669962,-186.08865995070803,E,A,C,A,B,E,-157.62823775767225,D,D,-23.36404999653626,0
Male,Brazil,252.79239209651004,-50.89704971622775,67.824814615533,73.20110670512635,4.788181380825733,A,C,E,D,C,E,-11.64626608528979,D,D,10.91774270838176,1
Other,India,-91.66293226680972,-86.70141052212193,56.604341555204925,66.76841930091439,9.450767519434242,E,C,B,E,C,A,35.39521882692738,B,A,25.728483170817878,1
F,US,35.25056325407064,76.17482039779505,-61.85234926678581,34.907733490316076,100.62069108686043,E,A,C,A,C,D,7.248421363832382,E,A,-94.58550193971229,0
Non-binary,China,-15.822250114749279,107.46869925375677,53.34218415389971,121.35733459911724,25.995570103292703,C,D,D,D,E,A,-29.63817167879724,E,E,3.65994452097988,0
Female,Other,-63.361815652548955,85.33369608518213,-35.954612190375926,-8.344945227096824,-87.516624605681,C,D,B,D,B,A,57.005070543977865,A,A,-50.694604858199064,1
Male,Other,16.47696326757983,-60.237420998121536,-52.384988525110344,188.92273534574093,-9.906836139167115,B,D,C,B,A,E,-203.538721391327,D,E,89.56092129354118,0
Non-binary,Brazil,58.06031476668646,-103.07520456069763,-71.15245168606161,115.48857640338899,167.3560199103031,B,A,D,A,B,C,88.647811867964,E,C,-25.137797168559178,0
Non-binary,Other,104.70634247082849,-245.55082662327945,-22.952990505896256,-103.20793653863689,-27.74040851870021,C,B,C,E,B,E,28.724269834335697,A,B,56.94982979903024,1
M,Mexico,274.92452370380715,170.69057613223805,-50.76747872844545,95.72187510059827,68.52119245194447,C,A,E,B,C,D,-30.56840705532622,C,E,-112.56445711015584,0
M,China,30.302420364968107,98.48045030472147,187.46377645891695,-81.82496200024,53.22713474982933,D,E,C,C,E,A,74.9310665453158,A,E,30.736650610822807,1
Male,Brazil,-92.83658811102448,73.95786749132446,43.90394227589656,33.59132377372976,135.40264810072546,A,B,E,C,C,E,-93.3023532809565,B,E,73.79745222494063,1
M,Mexico,-132.10592510310482,15.565493062189766,29.569068088411356,19.412499815687884,40.933491503747035,D,E,B,E,E,B,-118.19657321125685,D,B,-44.64271443740269,1
F,Germany,67.40199345885648,-10.479207703335646,11.097252026526153,3.6148068598412917,-53.91954345256854,A,C,E,A,E,B,-49.08027028470467,D,A,41.94001700727431,1
Male,Mexico,-96.79919789991855,22.266285642744922,-93.56887044955145,-4.921826827804814,-104.36616234400269,A,A,C,B,D,C,-50.50676290537615,E,D,65.50614792240187,1
Female,Mexico,-84.3447596648231,-13.671132668550658,14.340824424440921,81.58460747317226,151.53259104302194,A,E,A,E,B,E,85.15996942479065,D,E,-69.20701844521908,0
Non-binary,Other,-143.02093574772087,191.10284756637327,-86.90290331928297,-41.91512331375838,-62.227872539443695,C,C,D,D,B,A,110.85930195433642,B,A,-82.59597348759378,1
Female,Germany,172.70998272664204,168.5228851810523,50.592362860575705,-95.76132710453147,29.994054055739873,C,B,A,E,D,C,47.94871287313718,D,A,77.97242351367422,0
F,China,36.111427303849474,27.624168252550685,66.38323462279736,7.359282326195986,-65.84502920489413,A,D,B,B,A,D,-201.78277500372008,D,E,-82.97643415861329,0
Male,India,-85.15512185772063,96.2002727120205,27.67849072611383,-36.34023416731859,22.50396036100648,B,A,C,A,A,C,-31.21025509135091,E,B,-129.6867079538341,1
Other,Brazil,-78.35532287459833,-63.00192332344514,195.56364871673452,7.1874626952856016,-52.057527133342816,E,E,E,B,B,C,-58.648644314148804,B,D,-19.219368275429428,1
Other,Mexico,-130.55981551465067,83.42029006821166,-8.408876792491968,62.82739262117283,44.95522128508572,C,C,D,C,E,B,44.09843843480019,E,A,-85.92454989151986,1
M,UK,-17.324171151466857,46.97538899412999,-73.88529925555379,-30.417780617887225,-181.21423521065933,B,A,D,A,A,A,236.93683011504945,B,B,-157.67940337263852,1
Other,China,-182.00212182258417,-121.04351367932115,-0.4796227449311948,242.76241983970107,44.0406130491256,D,C,A,B,A,D,-43.47214396066267,A,D,-120.61481732045989,1
M,China,52.4899054394555,165.59980802079528,87.97758626982063,-83.93844304491384,-46.148688399900635,B,A,A,A,D,C,55.214707629692086,D,C,-134.7617798871467,0
Male,US,62.72083794323093,-203.14667201153514,134.8150035677265,52.53833264677914,-13.44368093576969,B,D,D,B,D,B,29.078493890390344,C,C,-47.051758180927,1
Non-binary,Mexico,-76.9486002897995,-42.462963718767625,101.36257266579575,-76.9859517379529,101.13709575298124,E,C,A,A,B,D,-8.142143447326621,E,B,67.35364643784855,1
Non-binary,India,191.29916371046346,257.3619347138691,72.73630456542722,82.89900780169893,-130.66428086682208,A,A,C,C,D,C,-193.4825767214732,D,A,118.15916509612283,1
Female,India,8.392513869269683,86.9785255047731,-185.09887825684285,-52.899796648382626,14.64009395911072,C,A,E,A,E,C,-19.41920863701693,B,C,-88.05338106377559,1
M,China,-68.08704603622611,79.04402328122386,24.13278470170556,2.488724104075503,-94.68722295284734,A,B,A,B,A,B,-33.229619572512334,D,C,9.545675982115819,0
Male,Mexico,84.79552572121358,9.561978762696803,-115.91055237978667,-39.04519007487408,-28.471135523542735,A,D,C,D,A,D,-47.19925710039989,D,A,60.026880768869006,1
Female,Other,-110.7328069213982,29.13695382378166,45.12105642918633,-37.96636263995805,-17.127454739247703,E,E,E,C,E,C,119.79650135974964,C,E,-179.16492101197306,0
M,US,-300.4019343101662,-80.42949823901675,-198.29587249689712,68.08813692200442,4.020322708787301,A,B,E,C,A,C,2.8443858774295308,C,D,-47.72451462598228,0
M,Germany,-16.145986718996483,-40.42005788739467,-139.72296835909052,-21.006630513795617,-91.48030965604488,A,D,E,D,B,A,-113.6725103265468,A,D,-17.973273108668593,1
Male,Mexico,83.32754333453956,119.80125027680293,51.54346052126332,166.07739930362453,86.06867319167564,E,B,A,D,C,D,-15.418842296858193,B,E,-53.248353932015114,1
Male,Germany,32.718782180194765,-102.86415788400964,60.21691541371019,-28.140338345475115,129.6680088274213,C,E,E,D,C,A,37.27440026202708,B,E,-72.72070439005422,1
Male,UK,-55.74305732550586,-48.92519984309283,-160.49996740076523,-63.260098722343486,-196.12396038463984,E,A,E,C,C,E,-25.216958291441692,B,A,10.033036151104294,0
M,India,169.16750936411083,250.1492993912908,54.17684491994611,-142.48321719146455,-43.24283846778086,E,E,B,D,B,B,-101.6388890436431,D,C,96.59643225181036,0
F,UK,117.00384989026882,-9.850001265410704,-107.23384828599096,53.26057779856601,-67.43705221221492,C,E,A,B,A,B,58.16025168936386,E,B,-36.245829513786596,0
F,Mexico,-190.00923516451195,107.33604403451676,-67.02056552593419,76.73374024021187,-130.184702618442,E,E,C,C,D,D,-36.117952198446396,B,D,-35.27714126727306,0
M,Germany,-14.901609493777068,-62.64048977896262,44.62178683148447,1.2255571436797519,-37.947459671205664,B,B,A,D,A,B,63.071034303239,C,D,-50.74011985836668,0
Male,Mexico,15.169980987190968,-114.09887324134547,-19.99194240874826,81.0106745767743,-296.7950824116667,B,D,B,B,E,E,7.835707896631448,D,A,111.0267822549916,0
Non-binary,UK,50.61604320250292,-129.3753104101678,-5.370774197076976,-182.95297327429668,105.03301114662034,B,C,D,A,C,D,-171.66655570017133,C,A,259.82722899422714,1
Other,Other,-88.17451752660148,-137.9722220366263,43.02108919978258,-70.51372767400856,-100.60902234925922,E,E,D,A,E,A,44.42745649860756,B,D,-169.87725900599224,1
Male,US,149.727930900437,-134.44129764228052,-190.36222385935687,-35.815826964185206,-259.5896535119146,C,A,C,D,C,E,-97.73476393976533,A,D,44.93357957727336,0
Non-binary,US,-20.490007251830946,31.82679018164635,-45.688023782950296,146.84393907642757,50.89682839753077,D,C,A,E,C,D,-67.97432471366022,C,E,160.0271624166481,0
Other,Germany,36.82412701204763,192.0920708044611,-13.314687953661785,-90.14049927184665,92.88743017382322,A,A,E,C,D,A,15.490120378042239,D,D,-17.96713365743964,1
M,Other,-224.46755720918637,22.36386827389226,-85.1728037293253,-150.98522968177573,99.15529265440723,B,C,C,A,C,E,-20.937127853575397,A,A,-161.2049552334476,0
Female,Germany,52.92881634087393,6.2644465932661975,-144.51771843270643,40.16869755909998,32.5050584790336,B,A,D,D,E,A,-5.110480159264032,D,C,-132.6344497295054,1
Non-binary,China,-73.59662769880919,-55.84752651129442,-105.33102197682858,17.376579592705898,32.24990821454229,C,C,D,E,A,D,-127.66589288200872,E,D,37.72104109549404,0
F,Germany,46.034242709223776,-155.23736538198736,23.544255710506388,30.994478627774708,-56.09716243701753,A,B,D,E,B,D,71.06763540398883,B,A,-38.28381040076301,0
Male,UK,-80.63540425160095,123.3617200710873,144.72511950635197,-7.42222712334844,-74.05907967636153,A,A,C,A,C,A,-279.7613964595368,E,E,56.245866706177154,1
Female,Brazil,-2.8605679777354753,-30.96728013395158,72.27498255329466,33.88628053733915,-120.63243599304869,D,E,A,B,B,B,1.366732849570615,A,B,-8.257436659645549,1
Other,China,24.572016306046145,6.034903469640165,15.504904219753996,12.464172660300896,-30.608724034309205,C,A,A,A,E,B,-106.38634257927589,B,B,215.28358155564703,0
F,UK,162.20475276433342,-109.8434169852714,70.22091734261264,-61.71355485492174,129.04356790987214,E,C,D,C,D,B,16.489003196586104,E,A,-33.05160846073385,1
F,Brazil,-6.567835605099546,244.06236047318671,-68.73660745195879,-56.869364702426765,-22.385448173752824,A,B,C,A,B,E,17.35776799216701,D,D,166.23959504686076,1
M,Germany,211.20720727203314,141.37669389395947,231.47924292609886,23.952058272223585,-23.00411992696153,D,B,C,B,A,B,-42.35900717885413,B,D,57.525721967594556,1
F,China,-18.948740259428064,-8.471574641319318,-24.093286597537166,-76.12635458540555,-19.618157338223433,E,E,D,B,C,B,-94.02411276861878,C,B,-149.03417580287015,1
Male,China,53.63102241207392,14.048343528587004,-199.97198724210355,255.6418259282403,-42.81081368270776,C,C,D,E,C,D,103.77815765332782,D,E,147.1174812600269,1
Non-binary,US,-43.28794779115312,-54.23687890849952,-43.2517356633573,37.616999068970955,-89.01704543961637,C,A,C,C,E,D,30.096696760057473,D,C,-161.3600830486348,0
Female,India,-16.533862591797188,26.297173228965885,201.82391792826394,58.66274248245147,156.06996909701058,C,B,B,E,B,C,-211.73536203046476,A,C,-115.72937986579052,0
Non-binary,UK,203.24044848858352,75.75532609661705,-50.64464964614381,-31.04021498944992,-128.93165625207916,D,E,A,D,A,E,74.10404894026857,C,D,-126.45101081588565,1
Male,India,96.62554500941837,14.812671547838468,-86.0049330758754,-3.72878323405491,-99.35594892849375,B,B,D,D,E,C,-28.768459143754527,A,B,-68.09103871401906,1
F,Mexico,-6.301033818993387,146.58649050991386,19.785962722997407,-88.18873253686401,91.8309001972755,D,C,A,D,E,A,-127.2661494003208,A,A,-131.02831570559954,0
F,Other,8.007646279578472,6.265890136171692,-135.64977669152282,-143.51335402710882,92.53088619525136,C,C,A,B,C,E,89.14900397455982,E,B,-0.513245442565752,0
F,US,32.206271432335065,-171.32194546643944,-52.87303455851848,-90.57018912576986,43.47822714005656,C,C,A,C,B,C,1.0299441078182616,E,B,-39.81399286288349,1
Female,China,-9.843908385506609,-109.61303484421879,-88.72274966848353,93.78936796276054,-114.17022073172657,B,E,D,D,D,D,100.86851017772105,E,D,-15.640142216674754,0
F,Germany,-11.902412260831234,101.96986413470361,80.66936970344814,25.650758820679638,-151.91054253657248,C,B,C,A,D,B,-102.37855019139892,B,D,-196.47078269799295,1
Non-binary,China,-121.56902859857013,-79.77268854400924,200.36029078156582,86.9090544903449,28.328797274596702,C,B,B,A,A,D,-3.2651947039399722,B,A,-238.48054763622116,1
M,Other,104.83760804176573,3.6803918107798754,-70.68584865815225,-94.44069638543223,58.51823669372385,C,B,C,A,B,A,-96.14552506263921,A,E,143.2754858773433,1
F,India,126.83758247884134,-174.39666144327222,37.94943532602776,57.64175212742365,-49.68721689756268,C,C,C,D,A,B,-150.49549747632832,B,B,108.18631060004759,1
F,India,24.67176627711451,77.49852263044863,-21.7407876986149,167.0282982296095,-113.02253031929908,A,B,E,B,A,B,-209.0333615274353,A,E,123.89860515892408,0
Female,UK,-23.263023793793714,-94.24774936616318,-4.530405004596562,106.8536227206207,10.908692640777167,B,E,E,C,E,E,-60.83107014058221,D,B,15.84929737271966,1
