nation,gender,race,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Germany,Other,White,B,221.8083801616456,29.90099081185223,-50.87714912758956,D,E,-38.366634023347714,C,E,-57.72172696441796,40.04681130573249,62.022223827045174,29.24975102040009,-24.955348532243164,1
Mexico,M,African American,C,-79.79196027165632,128.39711911436478,118.81253061782519,B,D,81.48170919846712,C,A,-14.908349794495198,-76.32330900865102,-55.241135549698875,-104.47397196637374,135.11155108940568,1
US,Other,Hispanic,D,37.545642620841505,207.06584936420688,110.40544669560353,D,D,102.08151356802611,B,E,198.85652306320654,-49.48486777710396,170.8249336863137,-79.35640561182726,-7.2147015900490565,0
China,M,Black,B,-141.44330194744256,111.06251161779284,-46.28075059030435,E,B,-183.59196134189077,B,D,-40.60132564005578,-103.75913435124842,22.185594113669993,103.99380841012456,-1.3560567569067643,1
Other,Male,White,A,28.707520094751054,127.77008762551463,13.286024886780396,D,D,-116.07531782051382,E,B,-14.970045946781912,5.5316603443325,42.76124673542275,-101.38451024071085,53.20983890854365,1
Brazil,F,Hispanic,C,13.165400704431585,144.55402340526015,-74.04345409457547,E,C,-225.55787234161468,A,E,-10.109879364636765,42.48289159123335,-92.73144564295649,13.360528551951523,-14.087797310095649,0
Other,Female,White,A,23.34644989370824,3.6323064860447762,189.98226388576217,A,C,84.90531612057151,E,E,-42.19366486645443,29.172321858364143,-204.43912843153845,-61.4216372795363,56.667598835522625,1
UK,Male,White,A,-27.63126332622006,-86.66535901546449,0.23402608862089458,B,C,-110.0498427151215,C,C,-5.72053520474091,64.2324444890346,-179.84251805898626,-7.330636537506327,-96.72646818583966,1
Other,Male,African American,B,-108.56682248416062,10.815903605452595,-47.75843518703384,C,A,70.99966246426452,D,D,-178.22959122836096,137.77256865627717,-123.8428855871584,148.72306581609146,-251.43591129977182,0
Germany,Male,White,A,-60.26107553853844,46.236299404439656,34.67781467254697,C,B,-31.101375304236818,C,E,188.2312485485807,-81.29066821434145,52.320673976062906,39.80113065792404,-35.23057350202417,0
UK,Other,African American,E,17.777073778551543,-116.11680379116179,-222.9512324435818,A,E,-67.43277218173066,E,B,-251.9379114107493,56.71998051753269,-64.17781492491135,110.24793198187884,-47.68767525396964,0
Germany,Non-binary,Black,A,74.14742686648857,33.58351091090632,21.955837822365567,B,E,26.239865239764054,E,B,128.9539882927216,-169.15882121077513,171.03489921211147,-29.37445354505256,-31.70602865489225,0
Brazil,M,Hispanic,B,-167.10476617804153,191.76583587362046,65.9757837596327,D,A,32.71117517400629,E,E,13.008486460820007,-71.35961493283088,50.60803980420459,119.94793901274556,-81.92315931451743,0
US,M,Asian,D,-36.51911365254437,-126.9229926609168,118.57449008503436,A,D,38.331507941411616,E,C,-74.89479280122286,-109.52062659700539,231.47660663977473,-154.14309866862286,-148.18945326201697,1
Other,Female,Black,A,58.01919022826467,-68.08831829582557,-71.13947676752477,B,B,-133.2866964150576,A,A,-17.058256262108344,164.47844561986355,-42.803557170194665,-56.18834843801782,157.77141732610698,0
Brazil,Male,African American,C,-31.265251233536436,52.10177751636744,57.839491735810924,B,C,-122.41845046292181,D,D,-136.79931279146774,22.71445781516734,-96.7450925447627,-29.48174344030008,-187.30885939799757,1
India,Other,Hispanic,D,-61.29619852122447,-24.156404324560665,27.33885590795741,C,D,-15.077434390201832,E,E,65.61268700131751,-145.96576637006814,3.6189537979790667,-25.11318559940555,-192.71927286983183,1
Germany,Male,Asian,C,-112.34836347851534,-139.18640806762525,-161.27255275017336,C,C,-52.943423563687894,B,E,6.8991692244048926,-90.14757133714791,-70.53263977506525,87.21747823704253,2.8039650386530988,0
Germany,Female,Black,B,74.12847660413155,36.48614168458039,3.756602353864691,D,B,-149.0740355837375,D,C,-11.512369120707602,-40.12988857403717,93.69592212900265,-152.52355195318265,-31.855564508612506,1
Mexico,Male,Black,A,37.12513018272468,153.58408813969132,-43.063834308348106,B,E,13.273360850237209,A,D,-70.57728599330112,114.28126183286196,-27.12860679788494,57.91412027784011,-48.65662809780839,0
Germany,Male,African American,D,-5.4459471799245085,139.3438829507142,-110.64869942627769,B,A,-27.671788888069404,A,C,163.94470420112447,199.09754014183446,109.6581681805532,-137.0582390838526,34.36993713871059,1
Brazil,Female,Other,A,105.08770747683045,24.325870938911102,56.69457113108356,E,B,149.69955172663848,D,A,125.45994893135446,-63.76371656318716,53.276530774352274,-47.82264504651498,-10.054721977359634,1
Brazil,Non-binary,White,E,-35.95703309967689,133.37125032572402,81.1331981089499,E,A,35.9082405422866,E,A,-74.42159173160017,-26.300098848448734,-47.21654996282153,-56.471215509688534,93.7689692582046,1
Mexico,Female,Asian,A,-76.82558660129364,3.9764692581369316,149.6554905365556,C,C,-75.17752038237695,D,A,80.40230891575665,43.35964065079637,149.3844366501697,31.283071327613467,-51.188719505604,0
UK,Female,Asian,E,41.5359100934149,-14.747296811943384,-17.470183117622266,A,D,-113.05105982425754,D,B,68.81421051572602,-13.394115323272295,62.05016524318372,219.06080819520648,138.0963653375828,0
China,Non-binary,Black,C,48.67741649990734,81.86159332673756,-13.797556435133332,A,D,15.22689705707932,D,B,63.84906508402624,31.282145594493993,-16.127536609614165,-127.41231136599902,11.9569201318313,0
US,Other,White,B,87.27149034444624,-108.58231996309135,117.8798338134683,C,B,4.924203539062886,A,E,24.06670196203771,45.558471674021064,-80.30047494834102,9.422593102696734,-2.3650118734439185,0
India,M,Black,D,-45.697449058824546,41.62982044746597,76.62352916980983,B,A,136.47595763955604,B,C,56.7302114624598,-102.73860945971202,-135.42956122495494,-108.29930460827642,-1.0800603385702194,1
Other,M,Black,D,-23.3678970833297,21.09017775791829,-191.23390057681377,D,A,208.7365909193726,C,B,-34.46944803421797,-61.19430309484777,79.09339825890142,-74.8411237238432,7.706186914523519,0
Mexico,M,Hispanic,E,-150.2430898702069,-56.667280343544746,8.135244291297138,C,D,123.20150530709097,B,A,100.91471390262706,52.76868295696799,-61.87017701633181,115.32694808704484,-46.535215270661,0
Germany,F,African American,B,-20.447942446153743,48.045363550918836,51.92570794756747,E,C,102.19525642728588,B,D,23.9345774650883,-163.50421930268612,101.70062752411873,-73.42305081470654,-143.90727602985257,1
Germany,Female,Hispanic,A,-105.58998755819395,-59.47345634069928,45.22136171342788,B,D,-11.295484765698397,E,D,-90.33845309621869,-76.35083066147776,-209.543047127946,-208.1508888201383,-61.02962372286947,0
China,Male,Asian,C,-15.228743049019094,-136.27935629059886,128.33976760097235,E,C,72.65009085329591,A,B,28.384443669682835,-34.13595371191839,21.344216233206865,-212.25897737272058,-50.84744471550293,0
Other,Other,Black,D,95.56606399670439,47.00679225196741,1.916464026454244,D,A,-98.51874502010543,D,B,55.37481436473648,147.82501576398727,53.58447028582734,-73.33047234754255,-1.4019939764691658,1
Germany,Male,Asian,E,38.80871089571779,-14.563138389082047,-163.63445663804467,E,B,-180.15733072813563,D,D,24.754412788768672,28.773468260988366,-32.896159424088204,-35.42848470059795,93.17660016673645,1
Germany,Female,Black,B,-57.20730573813324,-33.45502687480998,119.20742663674329,C,D,19.467274771894395,A,D,-59.27065915449556,-31.45770080694841,-49.85768718507641,223.59067247395336,231.7559608963241,1
Brazil,Non-binary,Asian,B,256.49809166798156,5.82210034476287,80.45009133172714,C,C,56.545142852298,C,D,166.08873118899467,-56.871524626413894,-54.01173033160268,72.3594350548143,65.29668712583472,1
India,M,Hispanic,D,101.64953576960573,80.63848499019034,-11.386558787855781,C,E,61.30774727497392,B,C,-59.48756421631705,13.887973750304516,-54.93633742700163,82.38890952760681,57.39870357065797,0
China,F,Other,A,15.530254631576893,60.03838889051348,2.090941097826508,A,A,104.86636222330688,C,A,-96.95196791720063,17.67084682901322,-73.43678954409694,-160.93704789094417,104.9968191028161,1
US,M,Black,E,-10.146228804925855,109.87419247768742,110.05978492781465,A,E,42.37601369222113,A,E,-163.25798126538493,74.4804625286672,-62.320946287815296,17.459339888316634,-144.00097347420947,1
India,M,Hispanic,B,-147.75618418724846,-9.239768126537728,-116.9413953330538,E,E,35.6782155946467,C,A,-64.39034785336968,2.5839271274348743,1.752283175417192,199.95766534076748,-68.73985265675118,1
UK,M,Asian,B,32.84604723689247,-176.58222727114327,-57.10682503712102,A,C,-157.14122514761436,E,D,-14.14826037504919,-24.60839787748484,11.368644632579974,25.669333857972198,156.1147848695343,0
Brazil,Other,Hispanic,E,35.85313035791504,192.46184742426254,-279.1477243079677,E,B,40.193223808814494,C,D,20.544504445758353,159.51985736493907,156.29282332232825,-137.02918439509136,184.0460219796568,0
UK,M,Hispanic,D,-129.32523217011754,0.5547669584335988,84.49794360012517,A,D,-90.18978038392486,B,D,-89.28044554520412,-87.13996688150361,76.53727673638124,166.88977983962764,20.11064786533468,1
Mexico,Female,White,B,161.29894552684632,-35.51399930720603,107.20314199201783,B,D,20.793114595092508,C,E,71.50139896939015,-39.042179089015484,-47.32772536762471,132.92995564213055,7.937349510388112,0
UK,M,Hispanic,C,100.88496715714004,5.868482164230934,-100.61109597108225,E,A,-38.61362079905611,C,D,43.945094254862084,-18.20516679541653,-51.520056450009996,146.97199468085935,-186.94679535739184,1
Brazil,Male,Other,D,150.66614469642175,68.34857085506304,54.735197522629775,D,A,-94.04875565731231,B,B,43.234493719782165,-155.3684033355415,133.54146372302915,112.8530315588242,155.29907268477868,0
UK,Male,Black,B,175.73459477762395,-47.427914111776325,-134.93047002555616,E,E,72.62123859074256,C,D,-127.67847537240091,-87.71139189898598,30.074195488162953,12.721998720915186,183.98651904786064,1
Germany,Non-binary,Other,E,119.21512560682284,50.62895365047421,117.55762966188206,E,A,-7.137223972808703,C,D,134.9093648488738,3.0733812425871454,50.23993406503544,-151.6708070012241,-11.462730372884874,0
Brazil,Female,White,E,-23.49415689871263,18.160520777856025,-174.92216734151702,A,B,57.58124117377225,C,B,59.04632189276365,6.6957643797273105,-97.88906876115648,-168.45497080767825,33.52427979919357,0
UK,Other,Asian,C,-99.42961875232064,-4.169252246096194,-117.61687834408336,A,C,-103.54127368351254,C,A,71.1276171223421,-2.9426032555450368,-25.58902279959046,-25.242609261965686,-2.5653041314990017,0
India,Male,Hispanic,C,-176.91189562777174,-110.05172010677164,-134.38612546364828,C,C,-80.1394093698651,A,D,-41.49955958536932,-171.4416825686764,102.79963802106103,-171.32983237125788,40.52131445555955,1
Brazil,Other,White,C,19.70904538587363,-70.22633887675273,-172.0047367012554,C,A,55.036330075879,D,C,-31.040489401215176,-75.84081178697608,106.37248614127763,-114.33831984454257,-68.21101621427414,0
US,M,White,D,-16.166418381397676,-160.47370997451432,-197.65683157108649,B,D,97.1434401459979,B,D,20.40185904584369,-81.8967224981622,-145.53838363121167,31.124644930024235,-104.25460817269294,0
India,Female,Asian,D,130.81014733833285,53.467523053973196,50.65725507671185,D,D,-3.612017775470634,D,C,16.83340569820074,168.8308751662866,-3.977600916788754,-55.042577552343374,-61.45435437822249,1
UK,Other,African American,C,86.19376821989633,92.50718947850648,54.90799519797913,D,B,-125.35732889517213,D,A,102.70984563219056,76.83181253764293,-42.20165489150814,141.3503328194014,97.48678018473305,1
Germany,Other,African American,E,144.33467052358694,54.43371924511047,-168.03586167404598,D,D,-58.743387472962624,D,E,53.05229311551428,3.658415481996208,93.45071603554021,2.3868691039399064,58.402807783792255,0
Mexico,Female,Asian,E,19.01465565373001,-99.09405120671362,-38.689798858049876,B,D,-71.84684701763564,A,E,159.09202548153837,-22.42504433176278,-66.36393888428672,-143.82390523806572,-20.526685098475497,1
Mexico,Non-binary,African American,E,-2.573466040542851,-205.55710804623382,-114.8745859310831,A,E,46.03250168215701,D,C,5.782906280962034,-188.37967982217364,17.214489344794256,29.422159683015447,81.30988395631029,1
US,M,African American,D,-49.387256097709894,165.0537597479705,43.090281952712786,E,C,-106.2947192719907,D,D,46.38301658046993,-49.53412459091259,-266.2168800097571,89.59175333522072,63.23420625090329,0
Mexico,Male,Other,E,-103.50079206982087,-72.38754763833009,-35.3506806209742,C,D,-42.19907137832335,E,A,49.773617648297076,61.19741581369531,-94.72640144649719,-80.04858311362185,28.467862328373695,0
Brazil,Female,Hispanic,C,0.8024021102977034,33.01408950996073,12.152938534075277,A,D,-15.938759196621074,D,B,-17.208140238636588,-23.241065336692852,-218.11153393239726,117.14691880483785,-5.712280904413225,1
US,Female,Asian,E,-0.9378081401443404,16.911812309863897,30.288992791617257,C,E,-65.85064140700729,A,C,-14.694134450988876,-230.44609033656562,-1.5286341821534726,-64.36776057869122,126.26179315420526,1
Brazil,Male,Other,A,-37.678890556583305,1.5421452620889513,-69.09295140597406,C,A,45.55345268518447,D,C,178.8800574510279,75.39673725608732,-189.36412222255137,146.2138596637454,-10.273452023050275,1
Other,Male,Other,D,-150.59888711974227,120.23670590558322,68.05435397254479,D,A,162.30974989620626,C,B,129.63672142980053,4.949222561142561,-40.07257719713651,120.59342244592241,-101.74451970588005,1
US,M,Black,D,56.10387855229773,-134.57619519638607,16.025513668289477,E,A,-147.26171883828994,D,B,6.957401638332127,-15.941846364529045,-46.71478091316865,144.91811525035274,108.75323133580301,0
Other,Other,Hispanic,E,94.4913770476161,-66.48965590569435,12.618586088465205,A,B,-6.2828656330896475,C,E,-170.56559161347514,23.737318794453707,-32.275554595991665,-8.052229673258525,52.55648566630816,0
Mexico,M,Black,E,51.61841002520286,-140.51375821816606,55.72614364700501,A,C,93.16828364404992,E,B,78.96089278919801,74.33550729248263,-149.61324295599067,98.47984919685669,130.96304818490145,0
Germany,Other,White,E,104.77674483894496,151.36146262174043,87.44701667637486,D,C,61.779179520757474,D,E,-71.0847917229346,87.69331186367214,-198.93939975287535,-42.497849850036545,-8.153015924062673,1
UK,Female,Asian,E,70.03644776562938,65.56314677045607,-217.6895705871119,B,B,-29.25287608535769,D,B,3.210283526082385,-91.1514660760517,-118.06668677033048,70.85442351450986,-6.596508960218752,1
Germany,Other,African American,D,-12.881830859479027,77.14867193466017,85.00575831677972,A,C,-7.326885148440672,E,B,-24.438020944689555,-242.7688066870278,55.69841486110462,-319.8123608960003,195.9851357620867,0
Other,M,Asian,D,-1.8844802934175329,126.12860874405507,-149.07555798591562,D,C,125.0938346297179,C,C,12.7164566209757,82.89327134884597,-128.4346655981119,76.2489771271386,76.30282402699164,0
Germany,M,Other,E,-135.36876070761045,-26.844023584393646,-120.85637026720487,A,C,47.750507214974455,D,C,-43.536726334428664,67.26777145885528,-123.95234323147774,-73.78120566363614,-36.92951602919962,1
Other,M,Asian,D,-89.75269750135296,34.567175890743954,60.81042730676409,B,B,-169.5296256787525,B,C,-91.78134259587118,-30.481113653898532,89.663411167958,30.085806011706474,13.526843007237211,0
UK,Other,Hispanic,D,-58.320842709735366,-3.019945557171422,13.45586499848589,B,D,174.03790770528101,B,C,-52.34682049702602,39.78638331522625,-103.02323151552977,107.62087044146311,27.619964355200473,0
US,M,Black,A,74.9133149806882,-160.63030187368315,6.698092390948905,D,C,-33.44929898595685,D,C,34.102154710557194,-27.712468021247567,-178.913804270818,48.961510796580164,-75.91139592646854,1
UK,F,Black,A,-177.02500028157849,5.425750904586322,-141.86730860021507,E,D,144.64861646464522,D,D,-3.091411991728526,4.370288666179277,-96.11329662716976,-49.32768839674042,-84.07145974193848,1
US,Non-binary,Hispanic,B,97.69613640702853,7.161465904599275,-33.71428537023632,D,D,107.97135343653821,A,B,11.451278090397352,51.17937640839698,-96.09421268491143,-10.020711945411193,-142.69023707006124,0
Mexico,Non-binary,White,A,-163.94748562842227,67.57004282096774,-23.29576095119517,D,B,-200.38241292285818,C,B,-113.79999271000362,28.328374068825273,-153.7997232094919,43.09481664058617,-96.54442823660469,0
Germany,Male,White,A,29.94806864140048,-123.0226443224493,158.38766160466554,D,D,76.27725786882867,A,C,132.76860755554708,4.727070118700799,8.97480719425052,-85.1074395202159,-158.10384894083006,0
China,Male,Black,C,37.55755208070846,3.324542179123472,129.50304362073658,B,E,-70.74304632653745,A,D,-86.19514181610897,46.71019351510037,-150.2865581698347,35.98837552158612,-30.575173984569155,0
UK,Other,African American,E,38.37279119469263,-12.385421994292793,113.06990368981582,E,D,27.776509036042707,B,D,-142.7333946287128,-8.510387393141878,-25.800474175034243,69.0990417127986,-4.515320668830984,0
Other,Other,Hispanic,B,-62.61633737076229,-149.86956891960287,89.7991518873553,E,B,135.57953202541339,D,A,-86.21371978359672,-259.25378707908703,-102.1086819851037,-33.73189075370361,-146.23870281145895,0
China,M,Asian,A,-13.952513278255832,81.80574307649984,-17.014393235362206,E,A,-58.59236671097053,B,B,-165.27649832913693,203.18700178140259,-209.35643672014015,71.67930098030968,-56.834801987146676,0
UK,F,Asian,D,-4.5554839723680125,-7.93020904860932,-173.11049512865026,E,D,-91.1889244360281,A,B,249.94076972934684,11.932500699675336,-109.91601381393887,212.34655548406525,-25.546757384037072,0
Germany,Male,Black,D,59.060900265618784,-78.28955759154583,-56.420607066798546,B,E,65.81226720247236,B,A,132.00896311161495,6.092514616390643,-69.37668320668014,-29.343779394552776,-33.64355850859369,1
US,Female,African American,C,168.10279096306553,83.14305868363337,-64.64648691141701,C,C,-85.4808069220498,A,C,-18.350192530920552,19.88338929937665,57.96173481735957,7.2234732054420885,141.79683307930193,1
Brazil,F,White,C,-23.695519084567195,102.20020154488552,70.0325513398046,E,E,73.32016675162251,C,D,105.81496852634105,3.4262100873182733,-14.846231162354117,51.37150991383776,34.233796537412786,0
Mexico,Female,White,C,-58.49629214158827,66.1365182304531,45.73000265088636,A,D,-32.26980493472912,D,D,106.09524250056495,48.00387521466052,-5.881766489385676,-157.49146416963217,-20.813047677968914,0
US,Male,Other,A,17.608934663714574,117.15513475930226,-104.499212630211,B,A,-121.06737794724611,B,E,-93.72765026292748,59.32120528172818,-90.85417633899311,150.2584845469458,-97.32561661415622,1
India,Other,Black,E,64.13698422332925,147.00909997387004,-2.1806536938285475,B,B,-90.09960233582898,C,E,36.807385583536586,-135.4513653373039,2.409721386416034,135.94910594444698,210.89707376915362,0
Mexico,Female,White,C,82.05673781158836,3.5372209999897612,-23.958340648357886,D,A,20.730934672756955,A,A,-142.80157370373257,-46.20408380655208,89.798161737075,38.65307877643036,84.48896529745798,0
US,M,Hispanic,A,-38.22464066647501,-241.37543071124253,13.10444755359376,A,B,-148.0784434569776,D,B,8.627537260409083,49.92645395030455,68.84569144416021,27.413498385979562,-82.4187119633038,0
UK,Female,Black,A,25.585978153504772,-31.91675100583723,-85.29437588265165,B,A,25.065507961279028,D,C,-50.84302314452187,-81.12395018767134,51.87760327721045,-54.1018845367261,63.24203968839498,0
China,M,Hispanic,B,37.5583857011366,-44.521073180825994,79.34795117473166,B,A,99.90584280523822,D,B,28.49267168671574,23.506883188622705,87.28153359317709,-166.7348316487373,71.09642929210442,0
Brazil,Male,African American,B,215.56321417058032,31.07107152543125,55.99224472678587,B,C,-64.53340929249559,D,A,-79.97475697367898,-14.748598220642869,-145.971218887154,36.64149760814811,-6.773373411450502,0
Germany,Non-binary,Black,D,-46.007291228461334,93.33986739591693,51.55046510390058,E,D,54.509460874072936,E,D,135.52864427704299,41.41966738680629,-51.7104956591401,-74.620637206761,35.14374550746649,1
Germany,M,Asian,A,33.211895932766204,135.6148692080923,-1.8887178419332413,B,B,-0.32588931041848807,A,A,99.1773170963883,-40.68396466323417,33.983012845017704,2.7274168180842513,136.85812343073837,1
Brazil,Male,White,E,-80.07241347815726,-43.76302396063239,105.88157721665368,B,C,-84.85898198828923,D,E,-179.54359750829505,68.20011155746005,-38.53900085451785,57.89111089437957,-89.87151914985252,0
Germany,Male,African American,E,47.35602445996747,182.12461355561072,61.670860983864785,B,C,-28.88332526633678,B,C,44.680971926768116,62.88410476862438,-149.45331009836843,110.38404374784608,44.8130755902085,1
China,M,African American,B,120.29763730060303,8.198043963220524,51.871618291604435,A,C,-152.42840349502578,D,A,15.196735367778894,75.1165859467925,12.242855316711058,-184.7956886654819,119.52364034278735,1
Germany,Female,African American,B,70.69874328976765,98.15761152346147,-75.56898269288726,A,C,-44.88851190309756,E,E,-49.767743791433496,4.163187642594433,-94.41944469820315,-166.7463881096782,59.435099639442335,0
China,Male,African American,C,-0.7862669942593974,-18.698349965149944,-22.452680071812058,B,E,150.8323814292309,D,B,-76.88849906238532,-155.40042847434933,142.9541088272479,-73.12769066609418,-80.43113936791973,1
India,Non-binary,Asian,B,98.1031349536777,16.23563590688982,41.911218167896635,D,B,-22.277510922775996,C,E,30.68175399535819,-49.358643547304666,43.66318717577568,-86.81286931725047,-2.329943442897213,1
Other,Female,Black,B,38.1827062749411,103.07815392604425,-173.85494409322203,D,D,103.22015021724178,A,E,20.19122855132641,-40.80965966667452,-56.429389896856186,205.54799989852975,-39.98232914266807,1
India,M,Hispanic,C,-9.21893683904096,-38.19884603901015,-141.70804007064413,D,C,77.74014620695382,C,E,-132.45037761365063,-123.61808537734977,108.33717393964962,-59.999553140657525,188.06024467826316,0
Mexico,Female,African American,C,76.35583465675583,-211.5471559692968,-1.5414231206402413,D,D,144.09120530533025,E,D,-62.48629352190234,73.4053236097863,-29.223579401428047,87.53576469022039,198.41056447328702,1
China,Non-binary,Other,C,-75.37907978611217,153.8155896153352,-140.41881954769502,D,B,-38.63671832389383,C,B,80.19800834050201,-55.91890602901712,350.4103043959216,-108.04413836563963,-83.51140690605207,0
US,Non-binary,Asian,B,79.24741854684257,-45.755560405309836,16.92864059328579,D,C,10.653389497928538,E,D,-62.576314563422244,-6.875938409604014,142.34556968034354,23.22682485400248,-61.5142718348347,1
UK,Male,Asian,D,-111.7381147674596,-93.33426590174369,-38.87426542955187,E,B,-35.01673421747215,A,B,-140.5620636362114,26.82684898298237,-8.885688612078308,-100.88038960708994,118.84521058267828,0
UK,Male,White,E,9.149769304363813,-30.743491409525358,277.80103961852063,B,E,7.334548056524688,B,D,-121.256102926772,-74.96410767717015,62.773895577574244,-12.755830788262623,14.478697118114042,0
UK,Female,White,B,114.6089785173648,117.60685861178123,52.60202011842195,E,D,-17.916174471172276,C,E,7.588185374139631,51.82547347907831,49.91646047328657,-2.9822825266957746,-133.59870810072923,1
Mexico,Female,Other,B,-24.308329567726883,94.33082630585035,46.41458273790317,E,D,-175.40639994705134,E,C,-12.482104151033282,65.51231100352312,113.12538419579839,-31.227428987688317,-87.50268940061852,0
Brazil,Female,African American,A,-123.53167011928939,184.07810927585828,27.416086944546635,B,D,-39.33662619173466,E,B,177.50367021199168,-43.9704042062576,-26.996291001792795,71.38515932700035,-106.60285405708822,1
Germany,Male,Other,C,-58.08515158000206,-4.259243111863988,-27.041812095367263,C,B,-148.14418466943232,B,B,130.5946115810827,180.64518038314557,208.83924352656678,40.10502937374526,95.4542045514836,1
Brazil,Female,Asian,C,103.30330416850855,41.4931197578718,56.694140489372145,D,B,169.95441163802266,E,C,95.3209952642964,128.85935554486272,-73.10968225269404,29.205094406685745,4.91292258518599,0
China,Male,Asian,C,3.062787647858725,-44.378516663498516,-44.15220239918142,E,E,-180.130406709099,C,E,56.21211759619612,27.555378360991,-47.62148763297979,-235.17328027086967,-98.06407023300766,1
India,Non-binary,African American,C,-136.55608681695676,-56.92254546029216,125.42194903040051,D,A,186.19716370762615,E,E,49.7381984590935,-7.013860311329349,68.79969406695533,-47.08539710473711,-68.05249286951221,0
India,Male,Other,D,61.690181591645796,-59.25017963762348,-53.61417526974006,D,A,-148.6082068077657,A,E,171.05207661355072,-3.5927599447740293,-236.78983853482535,-133.50143869956864,-147.3466525436978,0
UK,Female,Asian,D,288.34856120913923,-4.315569804996895,139.26970922663168,C,D,105.22079846496833,D,D,67.1848125146678,65.46531223044855,-118.34017007385481,120.12565542528202,-42.879594831298476,0
UK,Male,Black,E,-160.56022369403345,-31.184718714565918,-34.2838551688035,E,A,-134.9688624315606,B,B,-65.35632596715087,-118.5343874102411,-4.227752051329381,-73.49667925845345,-34.36241323808821,0
Germany,Female,White,A,-7.822777516916809,-97.5170750406911,91.18212210634144,A,C,-7.452461628052736,A,A,125.19835478176182,12.965822871225877,124.4902000459432,199.5161205871696,-72.17344061261755,0
China,M,African American,E,41.6735496844743,-188.75419427736324,20.896897802786555,C,C,1.7283538422195728,E,B,-97.88639004944578,-48.31863417494311,26.363440100580515,-47.108802723999325,24.831823268985755,0
India,Other,African American,C,-39.794783043658285,128.91300274860745,22.7952578461741,E,A,-9.149047982761239,C,B,63.09196516848594,66.1865911505203,-79.15955391870862,31.13148094615156,37.139679924223145,0
Germany,F,Black,D,93.04368802174896,-3.94520008559565,68.81119519354826,B,C,-71.52153056902986,B,C,28.86447708912033,44.11894806984233,17.311031585342548,-169.7592575930826,201.6019067831255,1
Germany,F,Other,C,-10.473584009304854,-148.80693974119046,-8.230048493359183,B,D,192.31779806723338,D,A,129.04621336708686,78.16289649110873,33.33112899111853,-198.43085416119385,-66.10148693079951,0
Germany,Female,African American,A,42.942373933505266,36.51141494240173,-189.33318264079753,B,B,183.26414198176667,E,E,1.129500795533761,258.37886747715027,60.52220018850496,43.413725409672764,144.6684741563091,0
UK,Female,White,A,-21.328477307093923,-120.92556040618958,-34.450379272943785,A,C,11.385567072108573,C,C,11.45584506551481,76.4932970327326,108.21512833986937,32.333625804501125,219.59443800883324,0
US,Non-binary,Black,A,-65.29343075812437,39.714634556756174,-103.89495523694536,C,B,117.69675343348982,E,B,-131.39603917831397,35.87380928870539,-133.63217322793815,-251.4796565396609,-31.642377415735485,0
Brazil,Female,Asian,E,-33.98539447074448,123.74495342619612,-70.5621617783384,C,E,12.117192355257469,C,E,-75.55062165136994,-37.20909588288022,53.91941740019649,-131.3308220242507,35.96265146490071,0
Germany,Female,African American,E,-24.177572114069942,-123.2289266558214,21.700426077861778,D,C,89.9678486885185,E,C,-68.20187870368119,-238.4973956708257,-131.7063341628718,109.19636961538923,26.102712852396127,0
Other,M,Other,A,-90.3283730581852,86.96624961966486,-184.14866373576595,E,A,-3.811149056487916,C,C,-231.34807197446045,-76.2986810784802,9.039569253722684,-19.954594291244014,28.30006606311553,1
US,Male,White,A,-5.778973316616383,-282.1254099879444,3.1098701282502685,E,C,61.06269235147855,A,D,45.82107323064671,188.1949769996669,-33.6075795052459,-36.52131239190663,-3.421574081081798,1
Brazil,M,Black,A,23.794305072476117,8.454216757170432,45.32684490226181,D,E,-58.24353361102072,E,E,38.17567109838317,-24.84171554193807,134.7092759167459,50.053072889470904,21.745569187687728,1
India,M,African American,E,69.06327671351644,128.56922764913838,130.77074162383482,B,B,-72.63271575165982,E,C,68.85917464055503,-92.11002178687212,-15.356944432421946,140.10851397807036,-23.048575188473222,0
US,Male,Black,E,-31.972948001149586,-2.699268914079137,-22.657661348521827,A,D,219.9936889491016,E,C,-33.78373695813301,-188.9817782884329,-77.14721183164096,30.111764688539733,-205.42095409162786,0
Germany,Female,White,E,-70.30652473165185,201.79050341930446,3.8454864346212236,E,B,271.7309543210644,C,D,-3.8315323435679574,-173.15874342342414,5.849081018624958,51.43006716997378,1.0114624383540352,1
US,F,Other,B,56.820129684846435,26.226162772876,-82.0845680967192,A,A,27.62330947604555,E,D,-47.96342203853993,24.259974854661532,114.14579710222567,-95.25872485835626,-95.31269559423352,1
Germany,Other,African American,A,34.84188838071851,82.26741648418042,-81.12340417845888,B,B,-54.23240543271086,B,D,148.52753552697123,80.10404738391577,-57.26810276164064,96.53088318595321,34.48033892003539,1
India,Non-binary,African American,B,-43.000624421738955,153.15755371055747,56.80557693178486,E,B,-60.7932456864109,A,A,-55.9181462479402,-9.225452277164853,52.54276658343701,1.8839512437437902,28.7419356453281,0
US,M,Hispanic,A,-5.61334312496573,131.74604846760548,206.25149981203842,A,E,59.33859772158541,E,B,54.957604666825354,33.57967795036436,6.672055960169699,-35.89852303315766,7.537832942562492,0
