Veteran,ethnicity,sexual_orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Yes,Asian,Heterosexual,24.192795437242907,D,B,B,-50.19979642293588,105.62276923067336,D,9.804418545885161,6.064952169549517,0
Veteran,African American,Heterosexual,79.1140641238283,A,A,B,-35.45218734079557,-24.64931284254521,C,-124.61969973832794,2.136817473370129,1
No,Other,Homosexual,-146.63008586166234,E,B,E,-13.939289572981226,68.13159635190365,C,34.50709730375917,15.198632368936627,1
Veteran,White,Heterosexual,62.97231929032806,B,B,C,23.418798856512673,128.82312028513437,C,-85.54972542225818,54.80882620068669,1
Veteran,Hispanic,Bisexual,-120.75804246588416,E,D,E,-54.47118379119568,-164.71581646177125,E,-2.1468459574332277,51.04268585382038,1
Yes,Asian,Homosexual,-112.33195345026093,A,B,D,-75.75397236000111,-69.66462909917321,E,-171.72220404157085,96.50743185184848,0
No,Other,Other,51.93755650022127,D,C,D,83.28402015854356,10.521360862662224,A,-185.20781849882636,-11.354798653825686,1
Veteran,White,Heterosexual,98.9138423607251,D,D,C,36.49586064056446,2.7276592376625204,E,73.2823387311432,-74.97641431336943,1
No,Asian,Heterosexual,107.51286701980251,C,D,E,-88.15854125268365,12.949509477360834,E,8.290607481253257,69.56285261315355,0
Veteran,Black,Other,38.72124107382391,E,E,E,-64.07072142824889,-1.001468612099907,D,-60.50187346236626,155.2314280554417,1
Veteran,Hispanic,Homosexual,171.20813463634553,D,C,E,20.075258351615943,24.46623902011334,A,81.4813743094094,-197.32770228662088,0
Yes,Hispanic,Other,-29.93952180132058,C,B,E,198.7358405939497,-65.49244055177148,A,-46.090582568154225,129.56509952022247,0
Veteran,White,Heterosexual,48.7372538908672,C,D,D,-95.76188846568537,-29.315849001259643,A,11.356612713620521,22.10683954126013,0
Veteran,Black,Homosexual,44.38800503980488,D,B,B,69.07105422610334,26.611373344145406,C,-36.3601825823564,-100.04371524906921,0
Non-Veteran,White,Other,-34.045505748116305,A,C,A,-10.328123101456503,-53.440659440574365,E,-17.269362199426016,3.0998422888642354,0
Yes,Asian,Homosexual,-218.87437144006236,B,C,A,88.08065454134947,-55.60407389542934,E,80.6196358011781,66.17435867301911,1
No,African American,Heterosexual,94.78587391171186,E,D,B,-31.593018606136074,11.946117883045014,D,122.1943082694285,-52.57356182017726,1
No,Hispanic,Bisexual,-234.94794970011444,B,B,A,1.3432067443080857,-8.478480235274029,D,152.1002152109164,-59.8076628007316,1
No,Other,Homosexual,85.2141446452926,C,C,E,-65.60394992543273,-76.94210256314777,B,-211.6515994515148,-112.00763112629382,1
No,Other,Homosexual,93.07124214522705,B,D,E,-118.64504091357102,65.15084423615674,D,-12.766671999764306,-102.1122238879596,0
Yes,White,Other,-156.31745016732785,B,B,C,124.86526213532139,-155.72148571625985,B,200.05846584140306,57.19161352942983,1
Yes,Black,Bisexual,-65.48046345173685,E,E,D,-17.81228249880342,82.52685562302732,A,-0.9055055379617446,-42.891635393980046,1
Non-Veteran,Other,Other,-121.08600116214419,B,A,D,-95.84952487958518,-194.97076483542276,D,92.34855658596437,-163.41160450641945,1
Yes,Other,Heterosexual,-47.26745612261337,A,D,B,63.17603034492101,94.72423133175488,B,-19.15236713560562,-20.08446574056727,0
Non-Veteran,African American,Other,26.917832939233055,C,C,A,138.54589998361212,33.21962534465168,D,-97.77919255351505,147.96180070789916,0
Non-Veteran,African American,Homosexual,52.99585135066415,A,B,E,-77.13934367451081,-0.11618686846524037,E,-2.4182945778375315,-99.82552343627269,0
No,African American,Heterosexual,-230.52118795073363,E,D,B,60.81943456808826,-48.91904361504824,E,-102.00318908766755,98.68166759861855,1
Veteran,Asian,Homosexual,-118.24829704709931,D,B,E,131.6834953750603,-64.7960525373911,B,18.11893499847273,45.96084251485399,1
Veteran,Black,Other,185.84079760907386,B,B,E,77.5495785546281,-127.69952876443153,A,14.931243737278358,-71.36226387307424,0
No,African American,Heterosexual,-48.781741807654306,D,A,B,-0.6838721537377692,-38.816567228000814,D,115.76228012201175,49.987915492651716,1
Non-Veteran,Other,Bisexual,125.6216259349145,A,C,D,-159.84777534815623,87.25711631448301,C,-87.10871513150555,-19.434582308769084,1
Non-Veteran,White,Other,-10.432107609408725,E,C,B,-58.62914691999942,-27.631251750847408,D,51.87641139113891,110.924006324246,1
No,Asian,Heterosexual,161.24491375775435,D,D,C,90.40286625362396,-152.36468521181123,C,22.436762564819112,104.83818998236498,1
Yes,Black,Heterosexual,-41.38129551729556,C,C,D,-178.39544425564048,-27.246897524821307,C,32.06166218583429,171.57138706926918,0
Non-Veteran,Other,Heterosexual,34.5622367797395,D,C,A,90.79484637484273,3.993375964759719,C,-132.92874889601228,107.98517590878431,0
Non-Veteran,Other,Bisexual,-20.98836024232273,B,C,B,93.34075212400572,-87.03067976071588,C,-11.786312353759877,-149.70292272166853,0
Veteran,Hispanic,Other,27.82226504082545,A,C,C,203.35984397521338,142.54723574919478,B,156.29287312191406,-9.967210040944945,1
No,Black,Heterosexual,18.553929979394397,E,C,B,-151.62280282472702,40.02150179391123,A,92.56950322586229,70.80142901709492,1
Non-Veteran,African American,Heterosexual,-40.92543160118215,E,C,A,-136.75806800039877,5.07003921341873,A,83.49150685596503,127.1650600435126,1
Veteran,Other,Homosexual,-203.26174582812996,D,A,D,72.7383517723729,-119.09884733116934,E,-47.040922386601764,-144.15491945459533,1
Non-Veteran,Hispanic,Heterosexual,-49.98996385154566,B,D,D,-17.119924623896257,-49.0389928428019,E,-166.85665976401464,-213.33787607212597,0
No,White,Other,73.88047248921424,B,C,E,-31.780131555955514,-27.154478948896838,A,123.81649768101515,-73.73512863880791,0
Veteran,Black,Heterosexual,100.28181357475503,E,D,A,23.36294469446333,-197.26087058359417,D,-22.20035159111905,-131.54219164471985,0
No,Other,Heterosexual,125.9684196550609,B,A,E,-60.82241676713605,108.75183458948136,D,39.34945471529263,172.19485836890075,1
Non-Veteran,White,Heterosexual,81.83879127209703,C,E,B,42.057055984901424,128.1991687509887,D,159.92423710592263,118.54541394888368,1
Non-Veteran,Black,Homosexual,-1.005204530867064,E,D,A,-113.56042619234987,21.50178069020431,D,-206.3569175892456,-40.986028524384054,0
Non-Veteran,Asian,Homosexual,55.306247071283785,C,B,B,38.796358861160826,305.82459029645975,E,160.6414913224017,-39.593374676041584,0
Veteran,White,Heterosexual,116.22677539481711,E,E,A,4.64234506971447,-84.36642988393909,B,-84.62165278205642,44.94317906687542,1
Veteran,African American,Bisexual,29.080879791997,D,B,A,-108.72851747886472,15.138643606810046,E,170.79634688567907,97.34502757868049,1
Yes,Asian,Bisexual,16.86742241249355,A,D,B,62.19437584419748,65.16702720346184,C,-14.251408909952465,20.69640738175958,1
Non-Veteran,Asian,Homosexual,-59.26239389915266,B,A,A,76.91121955612886,-75.97357057270916,E,60.191119557259235,-34.73368190023742,1
No,Asian,Heterosexual,-264.0704506330437,E,C,C,14.021780778160641,65.21332568134783,E,-12.933891785050772,37.92504975792209,1
No,White,Bisexual,-56.02876557560922,E,A,D,109.34870947099442,130.53235744767298,B,43.12261897171917,-65.4303113881331,1
Yes,White,Bisexual,61.9729286979517,B,A,D,-12.57861295752897,-29.863517321860282,E,45.800193373631096,-23.03714788292425,1
Non-Veteran,African American,Bisexual,4.973878796651273,B,E,D,-35.427372407766825,-0.09669266763949638,B,-90.03966950790829,-167.0021294270727,0
Veteran,Other,Heterosexual,-32.36778178381827,B,E,E,-177.5883640288803,-138.87356348847288,E,177.59581145552553,-120.74034975983996,0
Veteran,Other,Other,164.80241554984948,E,C,B,-88.15850399555191,-74.7529168673496,A,-76.28824006293982,175.40537517466962,1
Non-Veteran,Other,Other,-102.87686542079535,D,C,C,-171.15811353002033,-126.85254182963,E,-159.10065885633088,-46.21434154807058,0
Yes,White,Heterosexual,59.02641928442114,B,B,D,137.38091228524704,140.11712965130351,B,7.782125609263344,-54.357786242964714,0
Veteran,Black,Homosexual,-22.54170988002725,A,C,C,-145.36588728186334,-0.3620751910198482,C,209.03042105413837,43.10870159786454,1
Yes,African American,Heterosexual,-224.79347746921366,A,D,E,32.17451536328819,-130.75018903295498,E,111.35406299789403,105.11894220049558,1
Veteran,Black,Bisexual,-52.058560516457064,B,E,E,173.58846481464477,46.510205971469496,E,105.90480193660845,-140.93954221937594,1
Non-Veteran,Asian,Other,21.584571267986004,D,E,A,-150.87767107931808,-98.52666681453469,B,51.7204734426997,-24.52652978365279,1
Yes,White,Heterosexual,147.61996047387538,B,B,E,-82.48231646741148,-109.68205103819386,C,-68.85232913263734,74.64016516737634,1
Veteran,Asian,Other,-52.95481481591332,B,A,D,-94.51369633435033,-27.526999386427192,A,-28.47673684631325,-7.194506776711876,0
Veteran,African American,Homosexual,-23.487161636674674,B,A,A,-116.88283784807041,46.46328752289225,A,-80.43398867031401,93.41493509083503,1
Yes,Black,Homosexual,92.54491782154646,C,C,C,-23.23435072498527,-27.156614922372096,C,165.43885794101809,42.77285451530791,0
Veteran,White,Heterosexual,-100.559601078328,A,D,E,-81.09221809553902,38.15812708822107,B,-54.74813443995602,127.1548096509196,1
Non-Veteran,Asian,Heterosexual,-47.70011900848814,B,D,A,-98.52279153637552,-32.124085520363586,A,48.749815762892105,-35.94409747709742,0
Veteran,Black,Bisexual,-164.28436216590316,E,C,B,-21.779896698564247,21.49892748949307,C,-26.86841671861897,-72.5266566764758,0
Veteran,Hispanic,Bisexual,-102.43466110314496,E,A,C,-31.669168239156072,-95.92672870627848,C,100.49686890920151,126.98212403749613,0
Non-Veteran,Hispanic,Homosexual,-114.46591707088683,D,B,B,110.77802308514404,-143.7679977473627,B,52.8403805802601,31.894371520700304,1
No,Black,Homosexual,73.03680311184692,E,B,A,-53.26128324800202,99.78504887443141,C,-59.86826164370533,-39.83640425184085,1
No,Asian,Bisexual,-62.93572267090071,E,B,C,-38.72099781152931,98.43074346566502,C,20.93565402059261,35.828951198324475,0
Veteran,Asian,Homosexual,159.03588715913662,A,B,E,165.16847169622207,-145.31415001027582,D,80.27320544309352,113.283114241152,1
No,African American,Heterosexual,130.54650323511785,B,D,A,-97.27774192890892,59.47380680892843,D,-134.83626903572795,53.15497620965204,0
Non-Veteran,Other,Other,6.5924444641334885,D,C,A,-11.756634031841065,-92.56174037134464,A,-179.23620573403082,144.63801529717622,0
Veteran,African American,Heterosexual,37.15767579976909,A,B,A,142.86289517054408,-35.596777699644925,B,84.96042185749707,214.74939627781305,0
No,Other,Heterosexual,54.704688499110276,C,A,E,-48.47789768140211,39.21306471486999,C,-34.01247336456776,-45.19748208624082,1
No,Asian,Homosexual,224.40892231256902,E,B,B,-74.28735334482644,-97.03636851102723,A,-28.897121454866443,-114.47035429177126,0
Yes,Other,Other,-53.96840558258443,A,E,D,39.560088714818015,-65.73877796550708,C,63.52868443845998,-123.92928121819963,0
Yes,Hispanic,Homosexual,91.885868562345,E,D,E,-21.075892382279598,153.27530173049527,A,47.43723409228078,154.09088860537472,0
No,African American,Heterosexual,-145.96439605961896,C,E,D,62.77409103665552,-118.82157159850577,E,2.732534622691933,-13.565892884603779,0
Veteran,Black,Homosexual,-80.31481926994786,D,D,E,0.5185270609066107,-20.411529245585992,C,-79.01722505818213,-127.92870673664677,1
No,Black,Other,-83.26403233777002,C,B,E,-175.1246707489969,-108.14317664203503,B,-35.90693968758567,-106.95855244335482,1
No,Other,Bisexual,-177.09558685851675,B,E,B,-171.70051836045897,-65.3369830519636,B,38.071935687722444,-117.41483801156396,1
Veteran,Black,Homosexual,22.145847973280354,E,D,A,38.16395232951035,96.82101100672097,D,-37.831577058877016,83.41965002151163,0
Yes,Hispanic,Other,37.200733427655756,C,C,C,-46.421801024341676,-36.33052335194055,D,25.607498311374872,12.29527648904121,0
No,White,Bisexual,-119.38095532281565,B,D,B,-96.6615130597743,96.36507038269613,E,-99.22276430370297,3.207488610555053,1
No,White,Homosexual,3.5864874399147118,B,E,C,118.21416768196309,-19.76218957363519,E,182.70211678295166,108.35174203388327,1
Non-Veteran,Other,Bisexual,-90.5691618268881,D,D,A,-60.258767406178215,-77.01499594560144,A,-0.835033262406914,41.59785026309123,1
Veteran,Other,Bisexual,-237.46597603803085,B,B,A,-21.170974368070976,142.54966981837725,C,37.72147561743785,93.65130958929905,0
No,African American,Homosexual,-163.51926937162727,D,B,C,145.1411040833554,28.008875170928505,D,-198.70724414811738,-60.8602923169848,0
Yes,White,Other,111.81880514624727,D,B,E,48.931862881813245,-119.75746552372861,D,89.65581081280884,125.45890343300276,1
Non-Veteran,Black,Other,-128.50457511532176,A,D,E,132.41665776567524,10.384333087671717,B,-0.8638101051384376,-79.43075652224053,0
Yes,Asian,Homosexual,170.37612691464417,E,D,D,-37.05193166602263,98.61755186594043,B,-58.84080218366082,-50.262146813110284,1
Yes,African American,Other,124.49034358070419,E,D,E,3.7575999447187027,23.170830438204387,D,-4.490994022766982,15.57992325283933,0
Yes,African American,Other,79.17488750754134,A,D,A,87.72381592529067,181.4269586200272,B,98.61865991357092,-74.67986888240111,1
Yes,Asian,Homosexual,60.93251270181512,E,A,D,142.72603200714994,244.10898743517865,D,19.08583083524685,-29.694460647716593,1
Yes,Asian,Homosexual,-3.6214208512699497,B,C,E,114.84978301179174,-33.07010152099682,E,-9.340028617970933,-41.184075809293546,1
Yes,Other,Homosexual,-5.9945892844413455,C,A,E,-43.38278958008978,10.854017237310664,C,-35.72811973903459,-123.10119081285202,0
Yes,Other,Homosexual,128.4977376097436,D,B,D,0.8187261503695129,-146.36473169844191,B,-44.6179627826485,97.2868988393318,1
No,Black,Homosexual,15.430346136184935,B,D,C,38.45255718068473,-19.843721144445325,B,97.15291810792883,-83.12087419988663,0
Veteran,Asian,Bisexual,-61.15001850542833,E,D,D,7.864454263170814,-107.30671868335784,C,-22.281617892925766,97.8810262374603,1
No,White,Heterosexual,-141.18278846814894,D,C,C,122.49573498041269,-1.5063223939644275,B,22.51096831153836,143.42520070298463,0
No,Hispanic,Bisexual,-25.51448443523529,E,D,E,103.58725977552719,59.82452922657643,B,65.316756097065,-67.72392842479405,0
Yes,Other,Bisexual,-69.0524371038402,D,B,A,197.72195553281446,-187.39425441014998,A,90.80834242031305,268.5034034585587,0
Non-Veteran,Asian,Other,-79.5756489598974,E,C,B,103.89363194043966,5.3285706875610614,A,88.29810190440149,-4.943634227894308,1
No,African American,Bisexual,8.156209486151717,D,E,A,-55.42188843918221,-116.31438197754333,D,-136.98196923433602,-101.16157030770314,0
No,Asian,Bisexual,-67.92927770687868,E,E,C,2.880968652440866,-265.8607173504936,A,144.54419231608696,19.506490210622264,1
Yes,White,Homosexual,-91.20177869181776,C,E,C,-133.62683965567584,101.08863486484374,E,69.90044384956032,136.0429351654553,0
Yes,Asian,Heterosexual,-117.05211430687292,C,E,A,-118.96592844259398,144.46594142017116,E,-34.72513286490735,114.10668099349361,1
Veteran,Hispanic,Bisexual,27.33476661358494,C,C,E,-123.44734574682379,-125.08429866535613,B,-65.49424244634791,35.9960650249795,0
Veteran,Other,Heterosexual,135.62592141364135,E,A,E,-21.44804969559315,6.241772338415627,B,79.64374453887116,72.56683165709448,1
No,African American,Homosexual,-200.27780435437785,A,A,A,36.22812484485012,192.84495104107725,E,95.16930226077733,-120.25901377502902,1
Veteran,White,Heterosexual,-21.896141089484175,B,B,D,17.826707760972756,-84.29045836050103,A,177.74159522366614,88.34856136865201,1
Non-Veteran,Hispanic,Homosexual,102.29067246442804,E,D,E,51.02106594608359,50.490836124578564,E,134.4724337988678,-32.72448055647292,1
Veteran,Hispanic,Other,-92.78773207000924,B,A,A,28.342965445673702,-112.5390295589263,E,-106.8848199524239,-107.58770289126439,0
Yes,African American,Other,-15.984494563065416,D,C,B,-92.69373942626947,38.51273458591444,B,-72.37053872954341,-94.84369763035265,1
Veteran,Hispanic,Other,-185.37783704880516,A,B,A,59.23938333542538,-20.21771896223061,E,54.8867002491627,-70.92564832745265,0
Yes,African American,Bisexual,-139.40914625169057,E,B,D,70.45180961727142,46.31354073331032,C,-6.631926665185696,166.33209042044825,0
Non-Veteran,African American,Homosexual,89.746989401563,B,D,E,-44.11980453772367,4.103955770592535,C,135.37119435246512,31.902105601477427,0
Yes,Black,Heterosexual,121.15152592615989,A,C,B,-52.87788647048194,33.558014680735575,E,-14.013248608701948,26.83773253794098,1
Veteran,African American,Other,-78.17331765348752,C,A,E,29.69504487937458,32.87928830836593,D,-202.51941338793605,136.32708301671508,0
No,Hispanic,Heterosexual,151.99881569068006,C,D,C,-142.4287891838684,-56.057484540171856,B,67.12994429137397,197.44112458692788,0
Veteran,Asian,Heterosexual,93.66539228461329,E,A,B,39.366160865660234,-3.880254917738695,D,-145.82522768508892,-311.71479421101776,1
Yes,Hispanic,Other,-51.503828595451665,C,D,E,69.08478744284992,129.92459282193795,D,-20.437906581748006,-128.80150847695415,0
Veteran,African American,Other,-34.50031413889574,C,B,D,-101.22534448550357,-35.13059790571823,D,19.91775923928172,-29.45289607730428,1
Non-Veteran,White,Bisexual,83.38905649753774,D,C,D,143.66342385775852,-99.95884031102578,B,-41.672325093103005,-57.58556010875488,1
No,Asian,Other,48.436793641775736,D,D,B,56.56814841555766,-58.66385639494618,C,61.731141998482364,34.796553283158296,0
Veteran,White,Heterosexual,-72.0437808053263,C,B,C,-11.316338916845625,-63.52092730897962,B,121.51801703395171,34.15318516552981,1
Veteran,Black,Other,-81.03717776813859,B,C,A,107.36394040266197,124.63982161103628,B,-79.46256105418378,-7.806019775790548,0
Veteran,Black,Other,-41.7679416012387,D,D,A,83.82961530422278,82.92918938591797,D,-41.02500191095241,-121.1552400596352,0
Veteran,Other,Bisexual,-16.02026686941352,D,E,B,-151.9692894580586,-69.88269088440414,C,-200.30319873614363,-12.398825018630072,1
Non-Veteran,African American,Bisexual,-153.7009330032758,D,C,C,-48.725259693974884,95.91473799801837,B,-274.2572190581488,36.35833650964935,1
Veteran,White,Bisexual,-10.150956688089655,D,B,C,-267.4361617339923,25.18317356725688,A,-55.47458109129043,91.95441681012389,1
No,Asian,Other,-142.95330516896647,C,E,E,81.39045562908242,87.00711107432107,A,19.048762112411318,-79.79717497313943,1
Non-Veteran,White,Heterosexual,-23.332896489337347,B,D,C,258.3245037894691,106.43482920290784,E,16.697648664335166,189.72057230197157,0
Veteran,African American,Heterosexual,-49.06187686231739,E,B,D,56.161356604403935,-46.839179769404176,A,-206.13346955709173,55.86370068994283,1
No,Asian,Homosexual,-37.1455067595813,A,D,E,-61.538010572448464,178.9945378929511,E,53.43325612515433,175.9820487350009,1
No,White,Bisexual,-34.22488611883268,E,C,B,55.93537381770369,53.92644637976171,C,21.164925271988892,-164.14358421437,0
Non-Veteran,Other,Heterosexual,-45.092055849665265,B,E,A,-126.08282175541507,75.6881432184239,B,11.704302601986205,-239.7388297761139,0
Non-Veteran,Black,Homosexual,181.54401014678356,C,D,B,112.53814182497266,37.54309347618611,A,149.50088784177757,95.57859474122728,0
Veteran,African American,Homosexual,-20.361980567142577,C,A,C,-138.87559182442953,-100.80847869952574,B,-66.95373708947898,-59.36111065669613,0
Yes,Black,Homosexual,17.792827533390625,D,C,E,-8.296785494267095,67.52517261692796,B,44.196289354552114,33.4785817768249,1
Veteran,Black,Heterosexual,-46.93675067639636,D,A,D,-3.2246491568916533,-83.42371647089817,D,17.837114490853438,-21.78603017895256,0
Veteran,Black,Homosexual,-120.69307185620181,D,A,D,-88.9565093470472,14.265788047751627,A,52.14106371209526,46.858628205505184,0
Yes,Other,Homosexual,-106.13479220359923,C,D,C,155.10104206048922,123.79606205939812,E,-57.70004004344158,67.50857668733126,1
Non-Veteran,Black,Other,85.94472121480484,C,B,B,174.75554039036777,38.824542572382185,D,-88.99130773369258,67.17825576035749,1
Yes,White,Heterosexual,-159.62947128447556,A,B,D,9.284676107800397,79.31907962755328,A,-91.28487512843049,3.8909112491899913,0
Non-Veteran,African American,Other,-39.555398622730394,C,B,C,33.39194253048329,-138.98909695973282,B,12.568384302510132,-186.51014097675065,1
Non-Veteran,Asian,Other,-25.62093249742658,D,E,C,-87.91177985937946,-46.285751716627594,D,-64.3808671045208,-69.22300357672486,1
Non-Veteran,Black,Homosexual,60.128204826735754,D,A,B,-60.2393859624206,50.55956055746442,C,-121.78342077408519,-60.59216237164738,1
No,Black,Bisexual,-46.91524422137636,A,C,A,44.579432185767374,37.47680341839649,A,45.04328826576922,58.65046536073623,0
Yes,African American,Bisexual,-17.174448262684937,C,B,E,-158.9062903152103,36.78510132601649,A,-179.43623531612093,85.66026653094212,1
Yes,Other,Homosexual,97.22826365591433,A,E,E,23.649710683011264,-189.60469875008914,E,-37.094389537633596,-8.605998141467735,0
No,Asian,Heterosexual,-76.39470410151186,E,D,C,60.70203559161329,99.05360755301513,B,68.14914525946114,-21.241231422401917,1
Yes,Asian,Heterosexual,219.31026989584376,A,B,D,8.158100900293801,5.806785156249522,B,-237.81621940180838,-93.5394985643563,0
No,White,Homosexual,14.944390831268953,C,A,E,68.44296420543904,-71.9660548493814,C,97.41093470729113,-55.34988108916837,1
Veteran,Asian,Heterosexual,-53.27817639238142,C,B,E,-32.60940934302249,-21.276731464969476,E,-111.72955263243259,-171.25180882207542,1
Veteran,Hispanic,Other,36.84694411265858,E,D,A,301.10166135624837,-102.77710915169058,C,91.53965361786757,66.51816674772945,1
Yes,Hispanic,Heterosexual,208.3718484862167,E,D,B,57.89967676880207,-73.11451392325881,B,54.5044063287921,14.789059947219696,1
Non-Veteran,Asian,Homosexual,35.90844076285783,B,B,C,-157.34265119547058,-133.5245550083659,B,122.45110295751954,22.74162821504593,1
No,Hispanic,Other,56.82584331386088,D,E,B,28.361460656269088,-66.32832406915166,A,60.59933589681808,-12.815879355559426,0
Yes,Hispanic,Other,117.26289324926125,D,A,C,-64.32533693365625,65.68498867247473,C,-20.404290529978244,-62.85485164687699,1
Non-Veteran,Asian,Homosexual,-83.3338015921563,E,C,E,-111.51293738361016,8.60078741351091,A,65.17570300928018,47.904420801496876,0
Non-Veteran,Asian,Bisexual,16.704524927548217,E,A,A,113.83507214337362,-124.77526515164261,C,-11.203376095520841,-54.08570227324927,1
No,White,Homosexual,87.68892739949173,E,A,D,38.60639438211202,73.12260111258794,C,-229.6604980343953,-36.68555396438071,0
No,White,Bisexual,59.23412820769178,B,A,D,-91.69842033260387,-211.9887669374192,D,60.558062055393776,62.3367078179848,0
Yes,White,Bisexual,-181.82584516698523,D,E,E,61.11731920939366,-232.37551879987848,D,-157.06143520909973,40.13446958944015,1
Yes,African American,Other,16.021567327365762,E,B,E,-156.04534336595955,-26.156627915637625,E,113.42988755436832,-20.90296263624158,0
No,Other,Bisexual,4.884212041852652,E,D,C,139.59499294810456,-87.44293145388046,A,-54.94908739398785,129.29585982156846,0
Veteran,African American,Homosexual,-19.245969644573336,E,A,E,207.8790128366391,11.051228224595953,D,-103.07524590493047,38.05232419913543,0
Non-Veteran,Other,Heterosexual,-147.96978065795722,E,D,D,-112.52210064843682,-79.50392137861577,A,-3.797955671274024,-44.32717846600539,1
Yes,Asian,Heterosexual,-64.15429547406758,C,E,E,100.76797720859601,151.66763879201602,B,-64.24613513960374,151.43841919768283,1
Non-Veteran,White,Heterosexual,29.461624209375646,B,A,C,166.70238226461424,-11.272578108063819,C,79.81614550845518,110.47557017757596,0
Yes,African American,Heterosexual,20.884726485133186,A,B,C,-141.02086872156536,56.816696193248916,D,-56.12308290073956,31.95327752054108,1
Yes,Black,Homosexual,55.32906590797101,D,B,E,-84.09934216553197,33.27770843867151,A,57.95981903220152,-78.7207655902646,1
Yes,Other,Bisexual,-33.6404334832178,C,A,D,59.51053862894585,38.542394026347566,A,-192.45533373427406,166.09885940816994,1
Yes,African American,Heterosexual,-28.974599349928987,E,D,B,189.67220879535597,66.87284731499477,B,4.602795621965057,-78.270919680446,1
No,Hispanic,Bisexual,18.087431262708662,E,E,C,46.59214870176384,44.461934497707105,E,21.97194105936498,153.44698033549525,1
Veteran,African American,Other,41.35605845418162,B,E,B,107.88494990452897,7.936425841293896,D,16.988381735828458,17.660846625557777,0
Veteran,Asian,Other,-43.097132090783184,E,D,A,35.74289681728178,76.20726064402739,E,63.145206333932634,84.8486027493675,0
No,Asian,Bisexual,7.80409024516789,B,A,D,-82.73262408608743,114.67388252342367,D,109.38621685371605,69.4115105947306,0
Non-Veteran,Asian,Homosexual,-64.42012985322852,A,B,E,47.07151908266371,-53.662959458796045,E,33.74442128243144,64.70448314516844,0
Veteran,African American,Homosexual,52.3099145351552,A,C,B,-52.580042687485374,-94.00433706130104,D,190.31521550549581,-90.7350040329022,0
No,African American,Heterosexual,-40.243713580222924,E,B,E,-8.47327610970443,-139.42237813189033,C,25.057246542143464,-95.28315276823092,1
Non-Veteran,Black,Bisexual,-32.01575932733543,C,B,A,16.56849648770842,51.22264397580957,D,87.50959453710895,3.8301632542932236,1
Veteran,Asian,Homosexual,16.32054794458678,D,B,C,17.712056734808165,99.66552691356468,D,-67.5212019313072,-33.49595492859586,0
Veteran,Other,Heterosexual,-153.82951815649778,E,C,A,17.740135060373014,19.44672746477644,C,-58.14547837948313,-17.46579303955584,0
Yes,African American,Bisexual,-41.622900160171525,A,D,C,154.62232367481897,-95.31001711397687,E,-56.82179358100865,-118.48215512630114,1
Yes,White,Heterosexual,68.08981311679808,A,C,C,145.78302356065316,126.54887021841022,C,-22.430536083791267,-1.4376907053501933,1
Veteran,White,Bisexual,-93.03697705685663,A,D,A,-138.18001150177776,55.56139252291386,D,-41.23336474682362,141.40747410360234,0
Non-Veteran,Black,Heterosexual,178.34217062410954,D,B,B,-51.64549156801689,147.5705184006838,C,87.15621109624105,-54.766575088023885,0
Veteran,White,Heterosexual,28.104305395656347,B,B,D,-48.43076586271524,93.14792252671265,D,27.880722781489382,287.67648084359934,0
No,Other,Other,0.01737936559015453,A,A,B,9.54143214379315,63.62252041244266,D,-185.7573765724012,50.88083755428171,1
Veteran,Black,Bisexual,-12.81466200708709,D,C,A,-47.68223749091635,84.93779895291318,D,162.99620321940947,-30.206408470774893,1
Veteran,Asian,Homosexual,-100.11095577598088,A,D,D,-83.52495773778563,265.9526974892468,B,33.17130820090024,-55.56137647615669,1
Non-Veteran,Hispanic,Homosexual,-114.75043764164272,D,B,B,38.690323342668684,-214.00713810339371,A,-153.28519615754806,-25.969918789057765,1
Yes,Other,Bisexual,38.600959652673936,E,E,B,149.73519141147827,4.380445054758134,E,137.91685209158692,-70.13322999489095,0
Veteran,Hispanic,Bisexual,-21.097803136482533,D,A,A,-164.649711749801,152.6496490688712,C,-0.40563512395913187,72.87883758316015,0
Veteran,African American,Heterosexual,-39.3872212389587,B,A,D,-18.82317319345589,-53.58219287022947,B,-102.39511019767222,-44.09769487208451,1
Non-Veteran,African American,Other,-72.75627965690381,A,A,B,76.23930490444175,-22.522909001317547,C,-210.68808584288644,-65.624053537845,1
Veteran,Hispanic,Bisexual,-32.89933726762474,E,A,B,-175.2799595007672,81.3470563563774,E,25.671054387861624,72.41826135866961,0
Yes,Black,Heterosexual,-82.6449893977464,A,C,A,-45.57042255841065,-125.06006228584363,B,113.51828118932328,69.98035784656167,0
Non-Veteran,African American,Other,120.76500281695748,C,A,C,-42.90029692868732,103.83229195968863,A,-38.92538956896555,-94.54170878359969,1
Veteran,Other,Bisexual,172.8649732217874,A,C,C,99.48365719835614,94.38034398258264,D,-29.39534644016007,-93.77596807050307,1
No,White,Homosexual,-105.7232729597652,E,D,A,-190.1136420123406,-118.3889205967146,A,-83.57728768559345,174.89116260323556,0
Yes,Hispanic,Bisexual,-258.0811523755146,C,D,D,225.15597304530982,-4.781900623800437,D,97.32082214457405,11.437639215904479,0
Yes,Hispanic,Bisexual,-59.180571525757145,C,B,A,93.9731246160881,59.252289231977976,E,48.53500264506613,82.74566002364804,1
