handicap,AGE,military,nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Physical,93,Non-Veteran,Other,B,D,-4.415978188039704,E,D,222.50628823788796,30.00489322670818,96.96013394432525,B,C,0
Both,74,Veteran,China,D,A,-31.539613014912366,A,E,-83.60376339672878,76.55472415907042,0.43188304520681553,E,D,0
Physical,40,No,Other,D,C,-79.56430717398949,D,D,-63.36391589036818,-51.58806260599371,13.46185363255551,B,E,1
No,72,No,US,B,C,-133.33106166561458,D,E,27.841784919970834,-6.380294169942209,-3.7615518248322504,E,B,1
None,58,No,Other,E,D,-60.60222428074017,A,C,43.792785644853325,163.08700157497907,104.06573946678941,E,C,1
Mental,18,Non-Veteran,UK,D,A,-8.27046119750641,B,B,21.554011644643396,180.83580664230337,12.011205299875522,C,C,1
No,51,Non-Veteran,UK,A,E,-1.9197707318969668,B,D,-56.80835966476804,-40.6108079336999,73.9689258041598,E,E,0
Physical,44,Non-Veteran,US,B,C,-198.44140679725385,B,A,16.997458879346375,120.24376205407997,-275.85115056692445,C,D,1
Mental,95,Non-Veteran,UK,A,E,120.9315823293049,E,A,35.71453580658863,-90.01017483535301,-10.632890776667834,D,B,0
None,98,No,Mexico,B,E,-118.91238607515464,D,E,-117.94611819320349,44.01068707886545,26.071159344059218,A,D,0
None,99,No,China,E,D,197.08390032426945,B,C,-81.33314368944437,31.755167275703784,-21.761009663126448,E,B,1
No,57,Yes,Brazil,B,D,-55.276223844899356,D,E,-10.09972685968928,132.19805228691285,-25.711462865593475,A,C,0
Yes,43,Veteran,Germany,B,D,-28.42254708068629,E,C,-42.943845708160275,71.52876830286115,-17.566051621213035,C,D,0
Physical,43,No,Other,A,B,-7.479286650997842,C,C,74.75220659253303,31.292424404728784,156.94273192558498,D,C,1
Yes,36,No,Other,D,A,57.972300705027415,C,B,114.12020276909054,-16.904105663844575,95.13339740483184,A,B,1
Mental,20,No,China,A,A,103.79114691398048,D,C,-5.853826336804021,142.4247025573054,-60.61276805346881,B,C,0
None,19,Veteran,Mexico,D,C,62.9470789296381,A,C,-101.3016714684323,84.2441752147185,5.028072188563484,C,E,1
No,48,Non-Veteran,UK,D,D,33.13301981868273,A,C,7.308892415771245,46.81447543614271,3.2202819067094732,C,E,0
None,69,Non-Veteran,Other,D,B,129.13161265466763,B,E,84.76427339581933,33.018964156437995,-13.159577626853983,C,B,1
Yes,23,Veteran,Brazil,A,D,-21.087719392971398,C,D,-52.892857457687114,95.6710056689528,134.58429935373852,D,E,0
Mental,91,Yes,Germany,D,A,251.09676152474495,D,A,-59.52801682653885,10.389751802405156,-40.963025016089375,A,A,0
Physical,26,No,China,B,A,-66.16383449352465,B,D,12.097223948181664,-62.09038798268779,-60.928982078861026,E,C,1
None,39,Yes,Other,B,C,58.432070822474934,E,D,236.64173936962203,224.65104790447188,12.456339810062415,D,D,1
Both,34,Non-Veteran,UK,D,E,71.28382314813861,D,B,37.6913334275204,-7.647722728009278,-37.78892692930237,B,D,0
Mental,87,Non-Veteran,Germany,C,C,43.93920686433195,C,D,-104.40292367087976,-93.07574964747742,-183.57302395794926,A,A,1
No,63,No,China,A,B,34.97583316142983,C,B,91.20000745525682,-51.319878632546164,23.055336711636727,A,A,0
No,97,Non-Veteran,US,C,D,79.36712548198126,C,C,-102.19463835635736,-103.81943963518043,-102.79290048046481,E,C,1
Yes,22,Veteran,Other,C,C,-10.791549371307534,A,A,-82.86790320882706,-32.175862496254695,77.95660135919,A,C,1
Physical,18,Yes,UK,E,E,132.63605401048076,D,B,29.23526587786344,-20.97058691485485,-60.04095041235905,D,A,1
Yes,95,No,China,B,B,69.39971581633665,B,B,-129.7101465797905,-25.69363338073329,-194.76430167096476,A,D,1
Yes,57,Yes,US,B,E,46.96844758248654,E,C,-20.705502427216885,27.00168746049844,55.93076388042506,D,B,0
Both,58,Non-Veteran,Mexico,C,A,-70.63242019817142,B,A,-172.87901724893305,56.11584889372633,-16.00114902263409,C,B,0
Yes,20,Veteran,India,A,E,-36.540811275123794,C,E,-23.350879123955465,118.52977554163076,196.48875612821809,E,A,0
None,33,Yes,UK,A,A,92.2510896836476,C,B,47.81862187778499,63.26228911719579,156.95826178412767,D,A,0
None,43,Non-Veteran,India,C,C,-8.756341120626864,D,B,-148.86432214165728,60.59445920799714,-95.26011351339538,A,A,0
Yes,94,Yes,Other,E,A,-170.58095026092985,D,D,29.36503139039776,-4.9795868256773215,-52.36634583335154,C,C,1
Mental,31,Non-Veteran,China,D,B,-28.66451645431802,C,C,-22.571464194692272,-8.13523221584752,21.64276405911299,C,D,0
Mental,94,No,Brazil,B,E,80.92155903035112,C,D,10.61295487447438,146.40150577940224,1.2388080993242148,E,E,1
Both,95,Non-Veteran,Germany,A,C,8.569591525216245,A,C,-33.81539475902,21.55731726998474,17.54757488297477,B,E,1
No,43,Non-Veteran,UK,D,C,-271.5595597951143,C,D,-116.48850357794058,55.57037773881856,-119.01490619063608,E,B,0
No,67,Yes,Mexico,D,C,-76.71239928444214,D,C,-109.79704807588055,108.83794984037425,-135.13489192781677,B,C,0
None,63,No,Other,C,A,170.00551558515573,A,E,-39.83739786513255,-27.907477978015905,29.498836736540817,D,E,0
None,60,No,Other,C,A,50.352369412305656,E,C,40.31930067785042,-147.71101403613255,26.092368943338883,E,B,1
Mental,98,No,Germany,E,D,136.52487702348628,C,D,-112.95789571847908,102.0707325719372,73.60776898036416,B,E,0
Yes,84,No,Brazil,A,A,0.04477069817270489,E,A,118.37761010761992,-241.45525710353888,-88.27349628984953,A,D,1
Physical,75,Yes,Brazil,E,E,-44.617901139495096,D,A,13.442991990173647,-10.157255199551047,-9.184583074061548,E,C,1
Mental,72,No,Other,C,E,-131.38908981938494,A,C,-158.13758330961386,-102.50242170818422,59.65085673036326,D,E,1
Both,48,No,India,B,A,-10.5794520252958,B,E,-26.17115559505087,-1.0744273111935554,126.31461959131336,A,E,0
Mental,95,No,Germany,B,C,16.885498639832257,B,C,95.03707451512149,-218.18452767072603,-96.89528692875072,E,D,1
No,72,Veteran,Other,C,E,-78.10059126914966,D,B,96.4865760269521,-42.08455236029277,3.3947741433844256,E,C,0
Yes,90,No,UK,A,D,-113.29739650612498,C,C,36.85889028059267,-16.83439892004543,256.89125059973367,C,A,1
Both,21,Veteran,Other,D,B,87.78367623918794,C,D,-11.80689306575926,28.910338708791965,-9.359888804613728,A,D,1
Physical,85,Veteran,Germany,E,A,61.55751265002426,A,A,-120.48065003045207,-227.28801994903188,112.7602953594378,D,E,1
Both,96,Non-Veteran,Germany,A,D,1.3984323709144624,B,A,-179.70364296483785,-84.13652776712442,196.57046188012782,A,D,1
Both,30,Yes,UK,D,C,-15.331598597650517,D,E,146.120802056924,170.99674759769562,51.57250395908969,B,D,0
Yes,61,Veteran,Mexico,C,E,23.272877787865575,E,E,-84.22693208687573,-215.96593110725073,-77.12510444532252,D,A,1
Physical,30,No,Mexico,E,E,61.155937851155485,C,C,-100.07746824839873,53.64845280118553,-54.23900286024623,C,C,0
None,46,Veteran,US,B,E,-116.65306884155989,C,B,-57.992917629684285,263.5569148923817,146.9009018937051,B,D,0
No,67,Non-Veteran,Brazil,B,E,76.09525783043368,E,B,-10.61725583262362,-126.5909636341509,20.51265863672083,E,A,0
Yes,66,Veteran,China,C,A,-58.73802429338052,D,B,106.78486353810841,-85.26320804539633,-35.625372402687525,C,B,0
None,88,Veteran,India,A,E,-50.610153551573,C,C,118.88579886372874,87.19703860497833,57.24131775836738,C,D,0
None,65,No,India,A,B,47.13625430109495,A,A,106.76632252304394,-73.89040859395266,120.05131245369296,D,C,0
Yes,21,Yes,Other,E,E,16.029277312095385,E,B,52.2808381840667,198.32292651897367,108.83934574019347,B,A,0
Yes,98,No,China,C,C,-45.17619466145773,D,D,32.55216334757359,-12.642021668417977,-0.9234162764201486,B,C,0
Mental,63,Veteran,China,C,E,56.55089979645318,D,C,70.61873071770259,6.9393264587064145,-79.37555645400238,E,B,1
Physical,50,Yes,Other,B,B,-28.135464680358442,E,E,66.01255240817758,-133.92688335363712,10.965500485813536,B,E,1
Physical,74,Veteran,China,E,D,-85.83535932800899,D,D,69.85511364288797,141.68533630632842,140.2193921825651,C,A,1
Yes,94,Yes,Germany,C,D,119.84284441255066,C,E,-41.22861300800114,-38.30887449359595,-101.21047691171121,B,D,0
Physical,78,Yes,China,D,C,116.74202608148059,D,C,-85.4085255649344,-13.134180666779658,-66.057150957967,D,A,1
Both,50,Yes,India,D,C,6.639006357654479,D,D,-52.93117217807003,-2.1181405594254974,40.25449026017694,D,B,1
No,34,Veteran,US,D,A,-110.75380584175659,D,B,200.61725626034632,-206.98432514623414,46.269361387078604,A,B,0
Mental,44,Veteran,Germany,C,D,58.06423484136618,B,D,-104.84839045829757,-139.7490273991588,5.704398705723877,A,B,1
Both,41,Veteran,Germany,E,E,245.39358226017933,D,E,129.6621359064027,-109.15758285677582,12.368452407795044,B,E,0
None,77,Non-Veteran,Brazil,D,A,-31.190628368125374,A,C,-100.15355163388297,-49.499492968536494,150.03109117391202,D,D,1
Physical,37,Yes,India,B,E,-31.066750074205522,E,E,-32.01716573516896,86.82761963480438,-18.517118495467503,C,A,0
Mental,76,Veteran,Brazil,E,C,-88.56156105014256,E,A,110.00986695328314,104.11287704425564,-103.2781189553305,C,E,1
None,77,Veteran,Other,C,E,40.70257208735676,A,A,-4.873827823630499,-105.67040926871056,-52.69847519344193,D,E,1
None,86,Veteran,Mexico,D,C,90.7286329259587,D,C,116.54822303209569,128.3358279204631,34.45904613236246,B,C,0
Both,47,Yes,Germany,D,B,-63.55823033988729,D,A,-16.658109810835057,-30.353826837581565,-130.61376527804043,E,A,1
Yes,55,Non-Veteran,Germany,A,B,-54.458731448595785,A,D,188.06387210826077,27.81841991066082,128.68010755638716,D,D,1
No,96,No,UK,C,E,-74.65816437748349,C,C,135.55921845584368,68.50269638153634,168.85634459280928,A,A,1
Both,81,Yes,China,A,A,-8.968669642497193,E,C,24.505453475206227,-108.17425300842372,62.24072362452042,C,A,1
Physical,62,No,Mexico,E,E,-157.78790058986468,C,E,-152.65915288755463,-58.736835505475604,13.74556215599669,E,E,0
Mental,96,Veteran,Brazil,B,E,94.95531793914516,E,C,175.63634367725572,22.41647664696042,100.52140110826753,B,D,1
Both,92,Non-Veteran,Germany,E,E,-157.23814991110268,C,E,74.92531861502938,-116.23243053234698,106.31560268185932,E,B,1
Physical,70,Yes,UK,C,C,159.05389266346765,E,D,-124.95024871080496,26.630647478425136,-55.96946004162212,C,E,0
None,38,Yes,US,C,C,-111.29319141118759,C,B,-50.05756107028301,-62.973102325356415,-56.77355068294037,D,C,0
None,74,Non-Veteran,China,C,D,-50.19028411097689,B,E,-79.39858785710065,254.9696308633223,90.4468992535353,A,B,1
Physical,78,Veteran,UK,E,A,-21.146503345079452,B,C,178.7709007171192,88.34020418373052,-60.22200501489815,D,B,1
None,94,No,Brazil,E,A,-146.5543492745666,A,D,-110.16359228229673,-5.996056917354467,250.4729049583938,A,D,1
Mental,66,Yes,Brazil,E,A,180.5169323241322,A,B,42.020254190363225,62.03906484740577,60.98551128797448,D,B,1
Both,34,Yes,Germany,D,B,132.7520602789316,B,B,43.303609548343864,-16.707905562287483,-101.45068256083754,B,B,0
Physical,77,Yes,US,C,E,-237.84916419751764,C,E,-1.618176917065335,-177.03748322815787,20.77503938031131,C,C,0
Physical,98,Veteran,Brazil,B,A,142.12918891890268,A,B,-48.50872766518304,165.01776359982537,-129.11100276652772,E,C,0
Mental,95,Non-Veteran,India,D,E,-37.990132826341735,D,E,-52.335466359017815,-16.34582718961158,-132.40527990537007,D,A,0
Both,38,Yes,China,A,E,-55.56978124969566,E,B,0.0309104214144843,143.4047374366329,17.769628797885815,B,A,0
None,37,No,Mexico,D,E,-133.62944056372146,C,C,146.54025479943004,133.28442553028566,-136.38595010370682,B,C,1
Yes,30,Veteran,US,E,A,-127.84525273867413,B,E,107.91714592938659,-66.22276738217316,88.46806648063674,C,B,1
Both,84,No,China,E,A,24.03493366097173,A,D,-123.74035919187855,55.173415025761294,175.44989613690817,D,C,0
None,63,Yes,UK,B,C,0.5623795910690386,A,A,49.36235076801391,77.95399203382432,-64.40384028621912,B,C,0
No,49,No,US,A,B,-43.83609125240192,A,D,-142.39260950492292,91.89903260378746,33.29669583721099,D,B,0
Mental,36,Yes,Germany,D,B,-39.84455878393222,D,C,160.05825408301047,-177.18082174942126,-97.81008627306069,D,C,0
Mental,86,Yes,US,A,D,13.38543335000837,C,A,29.52252944390142,-74.3545625927518,-32.90697517727884,E,B,1
Both,58,Veteran,Brazil,D,B,-116.86115186105263,E,D,139.28784615069983,-331.61512873393104,64.39210813063295,B,B,0
Mental,61,Yes,Mexico,B,D,61.09583273700938,D,B,-58.37619141243901,183.5616880435896,123.45765289842852,A,D,1
None,81,Non-Veteran,Germany,C,E,-100.80006889190697,B,E,-167.02872745170495,-89.82896139711478,-58.950296564573975,E,E,0
No,56,Non-Veteran,Brazil,D,E,-70.15618324772167,B,A,-21.315899176818924,143.85271360810935,213.47821007343595,C,D,1
Mental,81,Veteran,India,A,B,-10.888335857330176,E,A,-173.38899096150783,-79.51774471527608,-65.03746411760338,B,D,1
Mental,86,Non-Veteran,Mexico,B,B,86.49891689011073,B,B,3.8235211692212534,-47.65811460251112,-10.225598144526305,D,A,1
Yes,48,Yes,UK,D,E,-78.81475737547926,B,E,-99.98127620610198,-24.004864879599932,9.77326605818971,B,B,0
Physical,60,Veteran,Brazil,B,B,-0.014609487500318336,D,D,67.79371114112995,147.0957437815634,132.837469935359,E,B,1
No,56,Yes,Germany,E,C,48.67229745089418,C,C,33.92656483527519,24.921757660584397,131.12519097186615,C,B,1
Mental,95,Non-Veteran,China,E,E,161.56045919307047,D,D,220.98063960219352,11.779303718713315,-115.19120662808682,B,B,1
No,40,Yes,Other,A,E,124.95536716796423,B,A,-114.15791434418176,-2.076255878976779,235.11800675174484,E,D,0
Mental,60,Veteran,Mexico,D,D,-51.888321373168054,E,B,169.02602779401374,-81.4676164231287,-9.67061803916308,B,A,1
Mental,61,Veteran,UK,D,B,120.3767263188623,C,C,35.740726941617694,15.76862224198224,-30.566740773275285,A,D,1
None,94,No,Germany,D,D,117.61829654863784,C,A,141.29699014837,126.13483296281575,-128.9908364851823,E,E,1
Yes,96,Veteran,Germany,C,B,-8.11982471555379,E,A,-86.35864659800454,-54.56484376820926,41.6050198248455,B,E,0
Physical,39,Veteran,Germany,D,E,76.91358509765001,A,E,-47.35808723496717,75.27530348270899,55.15469316604429,C,A,0
No,26,Veteran,Germany,B,D,-49.05014422122566,B,E,65.99926760755476,-148.64707898715014,145.64975349046517,A,B,1
No,39,No,UK,D,D,155.19578399496578,B,E,-32.2124882199306,-189.59267499013444,-18.028482736943925,A,D,0
Yes,75,No,Germany,B,D,116.72857786224948,D,C,45.67925149341931,8.320635725093844,4.779802689095901,B,E,0
No,92,No,Other,E,C,8.56091898608585,A,C,-91.55058098205257,55.79792719029477,-9.510268221945632,A,C,0
None,83,No,China,C,E,-26.7315224857056,E,D,-123.47859538597442,95.24564797047026,98.25593774790448,E,E,0
Physical,47,Non-Veteran,Other,C,C,-2.8557229876431927,B,C,-87.03142416953699,38.926374795019804,135.8472316440576,B,C,1
Physical,70,No,China,E,D,-116.50188632618583,D,E,-35.422969494296034,4.959039481391366,13.13189455932416,A,A,0
Mental,43,Veteran,Germany,E,D,-47.727830505665125,C,D,-40.34887133050694,84.36104016406773,19.213800607362547,B,D,1
None,58,Non-Veteran,China,E,E,-95.47092796549931,A,A,-1.7590696208819332,-103.8184671651127,27.536891439476147,A,E,1
None,94,No,Mexico,B,D,54.605416066596966,B,C,-140.28215709744828,144.2776135353336,78.82760762318621,E,C,1
None,42,No,India,B,A,16.80557460087196,D,D,26.702504012462335,-91.37356989555938,90.99860222175695,C,E,0
Mental,98,Non-Veteran,UK,B,D,-38.615082603185016,D,C,-120.24593708876326,23.35153962321538,42.104987253378425,A,E,1
Mental,67,Veteran,Germany,B,B,-112.50049002500097,D,D,215.35117521722583,141.73754389668363,-30.68326028113473,C,D,1
Physical,89,No,US,B,B,-194.3097976981107,C,B,-15.851548965571826,-38.597958428941084,94.9308102268098,B,E,0
No,52,Yes,US,A,E,-44.98996876378128,D,C,-33.671045807897606,80.99149197378257,12.270274525274344,B,A,1
Mental,88,Veteran,Brazil,A,E,8.326109167985344,D,A,-11.864328244259752,135.28056996063523,50.91155686579392,E,A,0
Mental,29,No,US,C,E,-121.49487986484921,C,D,-191.13658422032051,87.05767440108457,113.25025605035563,D,A,0
Both,89,Yes,Germany,D,C,-65.14795272907219,C,E,23.862149837395414,212.15905143725755,147.26586739787038,A,B,1
Yes,83,No,Brazil,C,B,32.04606900519636,C,D,6.829767454991117,92.85922193480633,-57.15619394376328,C,D,1
None,97,Non-Veteran,UK,A,B,-75.86954478345356,A,D,-35.56953648400498,54.666366579362126,54.838562325837124,B,D,1
Both,59,Non-Veteran,Germany,E,A,117.65848867098714,E,D,127.11428529517113,272.57842715157,-68.50108424014782,D,C,0
Yes,73,Yes,Other,B,E,108.62638249833697,E,B,-91.26220713967713,38.34195587810371,-85.99358872995106,A,A,1
Physical,63,Veteran,India,C,A,12.874389486883125,B,B,-162.92626729858898,57.300538118099155,124.16260706665831,A,E,0
Both,64,Veteran,Germany,C,B,-172.41720200238478,E,D,-7.3181116653349125,-7.035912323520667,-26.082611239868058,E,B,1
None,92,Yes,US,B,A,-107.46824077936827,C,B,13.080187436100879,-113.07507671178183,-1.7458435537987187,E,D,1
Mental,92,Yes,India,A,D,1.4926135639367688,E,E,-34.54993376299144,32.31077881739284,217.83374915780965,E,A,1
None,67,Non-Veteran,Other,A,C,-68.69276468047374,D,A,63.435485173404096,258.2718210432081,40.887097099661965,B,E,1
None,91,Veteran,US,E,B,-177.75738890149057,C,C,3.7715202838948123,87.91766963571777,-73.19010907685507,D,B,1
Mental,56,Yes,Other,A,B,-113.23743695406452,D,B,-139.32919662830218,-74.47376481077399,-9.158192526874235,E,E,0
No,93,Yes,Germany,E,D,113.99904963548057,D,C,-57.05657853127546,24.9592259436119,-26.97266702466511,E,B,0
Mental,21,Non-Veteran,India,E,E,-102.42218135646503,B,B,0.05089445005715119,-107.19320737522533,257.55036209345474,E,B,1
Both,25,No,Other,C,C,-82.88249563377423,A,C,-29.571614321019503,169.44923833399412,-140.79753259431195,B,D,0
None,81,Veteran,Brazil,B,C,162.18111405411423,E,A,34.85114598471487,-53.74229837371717,-22.66436041781606,C,E,0
Mental,36,Veteran,Brazil,D,C,-20.459165326677468,A,E,18.82895147909116,-43.667516499561536,-46.89545443640839,C,D,0
None,81,Yes,UK,E,E,107.20093609672006,C,D,54.0508223985161,132.8764434814042,-130.2874275466988,E,A,1
No,88,No,Other,C,B,-53.646382476821394,C,C,-105.93007691330854,-55.765974559492115,-12.408788773146215,B,C,0
No,88,Yes,Brazil,B,C,144.25078927718,E,A,-145.89928495885295,62.58667281941563,194.35941450925583,E,E,1
Physical,22,Veteran,Other,C,D,-112.94882926806247,B,E,99.85005753713135,9.389170027842415,-179.0343742334807,C,D,1
Both,65,No,Germany,C,E,96.19281107276261,D,A,133.9242569890472,-156.8177911627545,-34.46428509856291,E,B,0
Physical,64,Veteran,China,B,D,-244.5541536410706,D,E,67.25217806171455,177.16803262286186,71.07468203682116,C,A,0
No,32,Non-Veteran,India,C,B,-76.5154295497494,E,B,-84.42005915878123,24.499612750644026,92.68435337045267,A,E,0
None,41,Yes,Germany,C,B,-159.03564887154562,B,D,-37.84249904170362,-160.7571706490738,118.29819730336304,B,C,0
Physical,25,Yes,Germany,C,C,-77.41690559468675,B,E,-53.68899125696298,-20.38026786263932,-4.8472054783506096,A,B,0
Mental,79,Veteran,Other,A,E,-167.7521827663617,C,D,6.266756057585164,-104.45453269010278,-93.66134834782952,A,E,1
No,47,Yes,Germany,A,E,1.6351470776673944,D,D,-167.87116233003968,-59.304015016131316,156.64340028440142,E,B,0
Yes,96,Non-Veteran,Germany,B,C,-42.708285546542434,A,E,-137.68517392643577,0.2836840042946512,117.50522495060073,C,D,1
No,73,Veteran,Mexico,B,D,-28.330749756723954,D,E,-27.094711320781567,130.3258764034555,112.9089185047464,D,A,0
None,76,No,India,D,A,26.984149862173783,D,A,-24.376769407240715,-39.48257677315832,35.9372797294158,E,B,0
No,34,No,Other,D,E,-4.032196421977314,C,C,134.78385350717517,-40.09830132003587,147.115028390017,A,A,0
Mental,57,Veteran,China,E,E,151.4803804116563,A,D,-98.96620292867058,116.45741702623513,146.00739406879865,D,D,1
Both,36,No,Germany,D,C,65.96540486569154,B,B,-48.4370921451765,-72.75588773767097,-103.62069860951588,C,E,1
Yes,97,Veteran,UK,B,E,150.9156534778229,B,E,9.374553231604299,-1.4867355459332061,22.561756567733788,E,C,0
Mental,27,Yes,Mexico,E,A,-83.75655340216449,B,A,-63.440419353151235,10.432766418243578,-230.008089714998,D,D,1
Physical,71,Yes,Germany,E,B,40.702139949646444,B,E,-38.86311477258938,-33.83190452393174,138.6021369802478,C,A,1
Yes,66,Yes,India,A,E,75.86635197309383,B,A,175.02340329143098,32.7765827174099,-28.197626103650354,B,D,1
No,54,Yes,India,A,B,156.30543739670918,A,B,-58.11589556860245,88.50126550142832,99.56001230148694,E,B,0
Both,29,No,US,D,A,130.29931323268377,C,D,-170.97101659235,-129.43377234963137,-237.87550372242546,A,A,0
Yes,67,Non-Veteran,India,E,D,-15.62483123109325,A,E,-189.03748016097046,101.72211447250088,158.87207779845986,E,E,0
Yes,82,Non-Veteran,China,E,D,6.557513741472517,C,D,-95.21829445383874,76.9436459082756,146.8991260185043,A,E,1
Yes,74,Veteran,Other,E,C,78.2145926340904,C,E,4.961933406673879,160.03832891280422,49.21579044259779,A,A,0
None,96,No,Other,A,B,20.139530378275754,E,A,8.379435173839102,119.99898742165449,18.477513374244957,C,D,0
Both,60,Veteran,India,C,D,-78.08406893334701,C,A,-102.67075550813935,68.32008487542224,-1.6870826054787762,D,A,1
No,96,No,Brazil,B,E,-210.98685036651062,E,A,-102.89109394056157,-0.7595493658818264,129.53787865722734,C,D,1
Yes,67,Non-Veteran,India,A,B,-307.90378184724034,A,B,34.777456767783086,81.22799429398377,-44.591692290168496,B,A,1
Both,83,Yes,India,B,C,85.18748610113796,C,C,2.056170888027132,-168.19903628702548,-6.501222898610854,E,B,1
No,33,Veteran,India,D,D,210.7947933541992,D,B,-12.701726151581344,43.50787190980834,-4.325224697665234,D,B,0
Physical,75,Non-Veteran,UK,A,C,7.952536270522251,D,D,5.9936427808811,-54.73428097671332,-217.57038509903998,B,A,1
Physical,86,No,Germany,C,C,-17.28044375885165,A,C,52.74943922261408,65.23983567092945,54.30950166431893,B,D,0
Physical,68,Non-Veteran,US,B,A,61.76734911894075,C,D,71.85309118566342,-64.73184346074716,33.18548251669628,D,A,1
None,60,Yes,Germany,C,D,-143.37998103551664,B,D,-53.31032603132719,36.85747278094132,-43.134379021057356,D,E,0
No,47,Yes,Germany,A,D,80.24871622922674,A,C,192.77965869833537,-54.72709874568995,-110.39711629357282,A,B,0
Physical,72,Yes,Other,D,B,-207.5716647725807,A,E,39.584687892013136,-145.94261002413097,2.315414994566132,B,A,1
Yes,68,Veteran,UK,E,B,-33.40150490473101,A,C,-149.37703770567822,20.253683038026306,-85.72207523415685,D,D,0
Mental,57,Non-Veteran,China,E,C,79.26614099684357,D,C,-102.78503529437957,134.39227130719544,-138.5673100638605,A,D,0
Physical,21,Non-Veteran,Other,B,C,93.45003322457596,A,D,17.41551103859253,-84.75721497664979,-74.96878196118921,A,C,0
None,67,No,India,C,B,170.3961253195461,D,D,-42.7706902257715,-97.76542792550057,9.477196407263527,C,B,0
Yes,74,Non-Veteran,Brazil,B,E,-30.407087537971737,A,B,91.95358915551249,286.97620179229773,16.42072615732884,C,D,1
Both,58,Yes,India,A,A,195.63694732865565,C,C,15.998369624343603,32.44864075144801,5.915070101182626,D,B,0
No,39,Yes,UK,E,D,-30.997435327996826,A,C,6.901096419306063,-21.663908212872382,-3.3444417345709847,A,C,1
Physical,29,Yes,Germany,C,D,57.164798919447556,B,E,-112.3655910224584,42.91826048737198,-84.47415025639339,D,D,0
Physical,31,No,India,B,D,84.9862649241763,D,D,50.23303987000652,1.3285795550968216,5.12768060424838,C,D,0
Yes,26,Yes,Mexico,B,D,-96.3538533046844,B,C,-43.26440201086153,-169.01527568797675,-31.690744156980553,A,B,0
None,85,Yes,Other,D,B,-35.940114811211274,C,C,-9.967639456625381,124.86602327165394,-93.83299728701296,C,E,0
None,90,Yes,Brazil,E,C,-134.3067705623631,D,E,42.562282301577206,-225.6233032119059,-174.52486016070011,A,E,0
Physical,51,Yes,China,A,D,93.78445980254048,A,C,60.98328441325685,-57.909534138864316,143.65911925241016,E,B,0
Mental,83,No,UK,A,B,35.617132565417954,A,A,-40.58661427813576,-36.059017638868426,-137.5186769746269,B,C,0
Yes,51,Yes,Mexico,E,D,65.48826598496704,D,C,160.54759411711447,32.889641944051135,-84.80743498215392,E,C,0
Mental,89,No,Brazil,A,B,32.32417267366443,C,E,67.9779984355963,-31.336705202134556,163.9890068358665,C,E,1
Mental,22,No,Other,D,C,240.04846233680558,C,A,13.701650924995551,158.4685837394516,-66.2827096100478,C,E,0
No,85,Yes,China,D,C,-138.8711371065397,D,B,6.84523678199604,28.93575616244151,0.8941630223434591,D,C,1
Mental,36,Yes,Mexico,A,D,-63.10416675927172,C,A,-76.29039368127225,-45.62584670477521,215.4424024003586,D,D,0
Yes,64,No,UK,D,E,-129.10257464693902,E,C,-96.74519794053111,171.21723265588847,-40.428098743845624,B,C,1
Both,76,Yes,Other,C,E,-36.56479233179846,B,A,23.53549809390022,-91.5056207847944,-136.36336634490513,D,E,0
No,94,Non-Veteran,UK,A,A,145.21918284240815,C,E,-94.24911584828128,-134.3441926166769,99.89984127404892,B,A,0
None,60,No,Other,D,E,61.98360059665805,A,E,4.729281606708033,37.296435091664435,28.646349141503148,B,A,0
Both,94,No,Germany,C,D,-48.10114861585545,D,E,-28.69514872980565,5.449825406465214,-14.593172183885935,A,E,0
Both,83,Veteran,China,C,E,-145.30287421464533,D,C,-175.79142160887295,-45.40173653604801,-22.010150022700135,D,D,0
Physical,88,Non-Veteran,Mexico,B,D,-58.024728587834915,D,B,78.01895827837788,-60.97177326965465,26.845006303433593,A,D,1
Physical,98,Veteran,UK,A,C,143.3342934329952,E,C,-142.0400903064557,-25.78411982488138,-60.428008348050064,D,A,1
Both,89,No,UK,D,E,103.20603559584039,A,A,-148.9560475716248,-210.31245088915233,-7.619917686048954,E,B,0
Yes,36,Non-Veteran,US,A,B,-292.399595868028,D,A,-49.879635063879775,48.260099388017316,-115.29739342078629,C,C,0
None,92,Veteran,Germany,A,B,-40.04104715108946,E,B,45.50137380207469,-8.137450564549635,-148.8116925049223,D,E,1
Both,81,No,India,C,E,79.726129605523,C,D,0.9011509617268207,202.51831194131867,-144.5362599474209,D,C,1
No,85,No,Brazil,D,D,-74.24282505174102,E,C,-71.06870917195613,49.33423483597052,149.7818951341914,C,E,1
No,57,Veteran,Mexico,D,D,-142.82174825974388,D,C,-2.7254105533046116,-95.74818932813771,-78.5071062639858,A,C,0
Physical,74,Yes,UK,C,A,35.307334914465216,B,A,-45.13507097450986,-29.146525544715956,-49.58620730143999,E,E,1
None,63,Yes,Mexico,D,D,104.55793414558121,E,B,56.94725988833538,-159.4762474114512,58.33365482940485,E,A,0
None,99,No,US,D,B,-68.46755384692285,C,D,-65.99686107469637,2.781435518606174,52.709211154967406,E,C,0
Both,97,Non-Veteran,UK,C,C,93.15868270887533,D,E,115.02064078762398,-261.25042032679346,73.71239448916941,E,C,0
