nation,birth_year,age_range,Gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
China,67,26-35,M,E,D,A,10.149766228205495,101.27739098575947,A,A,E,177.84786091271073,-139.63615249607065,D,-150.71850321415553,0
UK,62,26-35,Other,A,E,B,4.323949212533814,190.43501748357986,B,D,A,135.92707128187936,-149.68167113845962,D,129.21372261570647,0
Brazil,19,18-25,M,D,B,C,-21.639575201721478,39.347082776019064,E,A,B,62.31871115140263,120.2300336808454,E,-94.11235559677206,0
Brazil,59,51-65,Male,A,A,E,-27.95137321534833,-91.38459368044828,E,E,B,142.21741971387252,-5.870797184677555,B,21.667074092987118,1
Mexico,44,36-50,Female,D,D,A,60.025001162682166,-29.10759726211134,D,B,C,129.06655403097562,57.14179326814681,C,-136.12667118305419,1
Mexico,69,36-50,Female,E,A,C,127.19765444053728,103.80157829563272,A,A,E,-134.69327995285053,-59.45279836007275,A,-65.48648398936807,0
UK,70,18-25,M,A,D,D,74.25179372955682,8.637711835949387,D,E,E,-42.54853290520472,-1.5109863939315034,C,99.99168660916303,1
India,57,36-50,Male,B,E,E,-135.84334507014742,3.8310990919932486,B,C,E,115.08550058087049,-60.760100479681455,D,-228.17439066985438,0
Brazil,52,36-50,M,A,E,E,-89.8784392236959,80.26979315714996,C,D,A,-82.26045747636013,16.97496716423956,D,-44.1064075967165,0
UK,43,18-25,Male,A,C,C,-12.474559900759624,-148.61654139901438,C,D,C,-89.30596868594505,-21.159840924020457,C,102.81080842247405,0
India,76,26-35,Non-binary,D,B,E,51.590273942938424,29.540140308776973,B,D,B,-3.2098534348911976,33.20291787444991,E,51.661261444583104,1
Other,65,51-65,Male,D,E,A,-97.12608124209157,25.883237816813555,D,D,B,-12.237910940361791,43.35745920482583,E,-38.121763605715245,1
Other,33,51-65,F,B,B,A,18.787992539352892,232.64644857489495,B,C,C,178.0708225754743,84.32205738035393,C,-22.607084141590267,1
Brazil,44,65+,M,A,E,B,-2.5065334799732977,-150.36765020619666,D,C,A,1.5709974845894075,16.705533170348918,B,52.9594237834923,0
Mexico,35,51-65,F,A,C,A,67.64354893703796,-70.76887633367541,C,E,D,-131.27185521659155,-55.5373148179225,B,85.0615030017421,0
Germany,30,26-35,Female,B,E,E,2.4623665937932953,-5.0947777927432885,E,D,B,-9.179188714382978,67.71698720406452,C,-88.60012499431224,1
Brazil,19,18-25,Female,C,C,A,21.01903988951315,71.175375248258,A,A,D,95.04083228212727,67.35883066592626,B,31.63377287906689,0
Brazil,56,18-25,Male,E,A,B,81.49784888677742,-72.56690021582232,E,E,D,65.63085525610914,-6.037490196604037,E,-89.60591634358359,1
China,71,26-35,Female,E,D,B,62.93368681721334,6.502025859386807,C,E,C,83.1164222902448,-17.480559692825395,D,-5.4352351932659815,1
Brazil,68,65+,Male,C,A,B,-70.98123343700252,145.95672321804327,E,C,B,1.3644060121844268,157.380496232648,D,-15.841811366580446,1
Mexico,68,36-50,M,C,D,D,52.61929472400887,-40.89487830707964,E,B,A,-76.00667342002563,100.82179879007407,E,-115.72501946461826,0
Brazil,26,51-65,M,A,E,A,-40.361132886098936,187.68015055341985,B,E,B,16.82219943016709,92.08829820973537,B,-111.28267286645814,1
UK,47,65+,Female,D,C,A,75.66323028550336,-84.2600227059179,E,D,B,-84.18443906373358,52.53500253909619,B,-81.98528733207787,1
Mexico,24,26-35,M,E,C,E,-12.897083361663142,113.17296074882361,B,C,B,84.29444255213157,-117.97830028231719,C,87.90585078432842,1
UK,71,26-35,F,A,B,B,-3.023502110388682,167.1483367856262,B,B,B,-20.882953150256974,-288.7362641517063,E,-0.8564321280939171,1
Mexico,63,65+,F,E,D,E,-177.98136869518913,95.47290294064263,D,B,A,-15.6374911745781,-148.54142829584364,D,-100.4524776504495,1
Brazil,73,18-25,Non-binary,D,A,C,-30.861204937693255,59.580584009671334,D,E,E,69.7330680027988,56.80193756595215,D,67.64845190366525,0
Brazil,31,51-65,Female,A,A,B,73.95386281105758,158.78148547462476,B,E,A,68.22994549594695,41.106357101009635,C,156.83878632929068,0
US,60,51-65,M,D,C,A,-34.585604431366946,-51.56842058861062,E,A,C,-289.26853578529426,-43.38835632228638,E,33.90876873176503,1
Germany,23,51-65,Female,A,C,A,-91.2078219570265,-57.906754036238915,C,D,D,-147.3072375242431,-43.59171471030297,A,-178.2660899953108,1
India,78,18-25,Other,A,B,D,97.36862512861353,-22.871500908069095,D,B,E,-48.95082757737698,19.43898495994958,A,49.88401270639873,1
Germany,25,18-25,M,B,E,A,5.297082237020282,27.600034907535196,E,E,A,-209.7678990755051,-91.54024751033045,B,42.056251034400546,1
Brazil,73,65+,Other,B,B,C,103.22694752825502,-35.148740291535816,C,A,B,-121.35403720555762,50.97052984235086,C,-111.00858811501315,0
Other,26,26-35,Female,C,D,C,-2.965999653359729,152.48984447216085,B,D,B,299.23662805074764,-159.1376927859264,A,-19.88076860620924,0
Other,68,36-50,M,A,B,C,-88.47555431440385,82.05883457694718,B,E,D,20.208413680421273,-1.9726842277031778,D,-134.9491629596011,0
Brazil,61,18-25,Female,C,A,A,-94.80524845701308,-55.95910591524146,A,C,A,40.813914059693786,-105.6717478738765,C,-133.04931845475002,0
Other,20,26-35,M,B,A,D,115.98231653780402,122.929444009088,C,B,A,32.495787406323025,3.944883926082439,D,6.540175312602464,1
China,61,26-35,M,E,C,B,30.251231584885613,-12.722190407701058,E,B,A,-8.82379256889461,-84.26738187929651,D,-26.3412261024263,0
Mexico,75,51-65,Female,D,B,E,-158.66057401368755,132.50323947281316,E,A,B,-31.441386490343113,40.8358544451152,A,-51.91250867858337,1
Mexico,28,26-35,Female,A,B,E,29.302640994449842,-182.66459022152,D,C,A,-143.5692143259655,-13.453587683325715,D,-172.7581923967551,0
UK,44,65+,Non-binary,A,D,D,-182.80036872018297,-20.14212826105863,E,E,E,-66.13010831891985,-152.65230124323784,B,43.71202006332409,1
US,52,18-25,Non-binary,C,B,D,45.91755142219133,79.73413277586505,C,D,E,-80.30106800590735,-146.7558409861252,C,109.30800060790745,0
China,43,26-35,M,E,A,E,12.51339605538853,56.892143139102316,B,E,D,110.90778983097826,135.4929645299616,D,-41.912857001172156,1
Other,47,26-35,Non-binary,E,B,A,-88.1300595188323,-68.27309292061837,C,C,C,61.61070987417686,37.840884308647,A,-84.36411079592669,0
India,72,65+,M,E,E,A,30.709486396831142,-28.21867359499986,D,E,E,-121.8097237772898,-64.40806448314373,B,-18.88668228954737,0
Other,29,51-65,Female,B,A,E,109.7320157582492,-111.13992968409418,A,E,A,212.14554826511426,97.64828970738452,A,-4.808513805027413,1
China,56,51-65,M,C,B,A,-17.44713946736648,-24.799658020714336,B,C,C,96.73243833666832,47.95720440048203,D,-63.020323681607024,1
US,38,36-50,F,B,E,B,-34.393223750700045,34.64319110318455,C,A,D,9.38055221665246,54.622577266354234,D,-77.99902251899469,0
Mexico,62,65+,M,B,E,D,-11.360492150312583,165.12314292340164,B,B,A,234.73517299761818,38.25991522022125,C,-39.06178052082081,0
Mexico,33,26-35,Female,A,B,C,105.9352005604635,-31.278277911217284,E,B,D,-234.530945933133,172.33239476839714,E,-58.715895704393596,1
US,63,65+,F,A,E,E,23.231699792849803,28.987999818929826,D,D,A,117.14361843070505,128.7488089698548,C,-65.36642855215014,1
Mexico,64,51-65,M,D,A,E,-28.73799397473685,8.35493322353912,C,D,A,-17.128977343276553,-197.58446465184738,A,60.08525452197028,0
Brazil,27,18-25,Male,E,D,E,-82.84779817142748,-12.247486798114075,D,C,A,-58.895682486035916,-56.98356437714206,D,-106.32198150835768,0
Brazil,59,65+,Female,D,D,E,296.44892937916575,111.25484269036035,C,C,C,-4.497754938929786,-186.19909476970625,C,130.36271462445728,0
UK,36,36-50,Other,B,D,C,81.46797033463417,77.60610180101901,C,C,E,-160.3903065963839,-62.332308208485706,A,11.042415653501818,0
UK,47,51-65,M,D,C,E,-125.88698726411613,19.175145472161187,B,B,E,-38.88370315362834,52.83501421439036,D,-10.570297044423194,1
US,71,18-25,Other,E,E,B,-13.866427715412932,-131.34334994227063,E,B,A,83.40563992029438,17.021437101613333,B,54.28492771244703,1
India,47,18-25,Female,D,B,E,-77.63851698559428,22.500565366783366,A,E,E,8.417578415080131,-101.45406563822404,C,-60.85276911366615,0
Brazil,56,36-50,M,E,C,D,33.9504151972273,-69.69702580546422,C,C,A,-44.33134538170776,-78.9142528622433,C,150.72274472158378,1
US,32,51-65,M,A,E,C,-18.370303557219746,87.3869430943814,B,A,C,-44.18007901371863,54.68408454370179,C,79.71705236242616,1
Brazil,67,18-25,Male,D,A,C,-37.73136335618908,-57.75194475384604,D,A,B,11.707127788999335,11.52007680913505,D,-7.173977822903242,1
Other,33,51-65,Female,C,E,D,-15.380839100533258,121.70277644937843,E,E,E,127.64559436209579,-128.79905409883568,E,-159.38349455477044,1
China,20,51-65,F,E,E,B,12.242382413267533,16.552531487599044,E,E,B,-193.66437519330717,-156.54956283863362,C,36.86474741523665,1
US,72,51-65,F,B,B,A,131.76451695316186,-143.68818165416295,B,B,C,-88.85287890498552,17.37793138480316,D,-79.78597640935709,1
UK,35,65+,Male,E,A,A,-164.2495452270183,71.13196294478858,D,B,C,75.91932127294363,13.283442979004862,B,-39.144517403142274,0
Germany,48,51-65,Non-binary,E,E,D,28.92036245195626,54.52594256043158,D,D,B,89.55838385133966,-34.577390270443765,D,-56.830097359777746,0
Mexico,64,18-25,Male,E,B,D,161.6149038698134,-235.3600259963097,D,A,E,190.4755625959099,-22.12517097216383,B,-111.81865917112994,0
Germany,53,18-25,F,C,E,B,19.55227693782547,-58.69558248630483,B,B,D,-70.02483968869353,190.97878547167304,D,24.741469947151764,1
India,24,18-25,Female,B,D,B,48.597328183059005,37.69255779637909,D,A,B,41.20122424804028,120.68920034333902,E,28.94569394209048,0
US,39,18-25,F,D,A,C,-118.39303503955816,15.878329203131388,D,C,A,123.54383171656151,-14.684909738817575,B,57.603085420451016,1
India,45,51-65,Non-binary,A,E,C,88.56974740578002,48.81103161193618,D,E,D,40.77239476679691,-0.21282089711614488,A,-4.998895323672734,0
Brazil,79,18-25,M,E,E,A,-47.46160731357405,-70.2337045573934,E,E,C,-49.118854604974764,-138.7682398959322,E,-15.699641823306223,1
India,23,65+,M,B,E,D,-69.24147990001323,78.8718003608733,E,B,D,-99.62437938564847,76.82857539588687,A,49.84800945539439,0
Brazil,65,65+,M,A,C,A,-48.15625266214518,33.67327342431333,E,A,B,53.32468787971695,0.9518903354270707,C,-96.4218943885022,0
Germany,51,51-65,F,D,C,D,-147.39233444070064,0.8394586943525618,D,A,A,-102.2891790530908,-83.25621963579412,B,40.87406136072936,0
US,76,36-50,Non-binary,C,D,C,-39.83264206318905,-22.42735651815048,B,C,B,79.06768871839115,-12.6312553814378,E,-72.12898269898086,0
Germany,69,36-50,Female,A,D,E,-56.89949433215815,12.035634280257103,C,C,A,-181.71491070838863,-13.232768436413615,B,-76.24103584818594,1
Other,35,18-25,Non-binary,C,A,E,109.15324299641318,-47.825053676993775,D,D,C,13.51264952114573,-100.5592889709886,A,71.21139421416402,0
China,33,18-25,M,D,B,B,-88.17438009689634,-2.8953314267600527,A,D,A,-177.30202377259735,88.48520375808721,D,-5.671658476409501,0
Mexico,46,26-35,Female,D,E,B,-118.94787916508578,-40.43339323715108,E,D,E,45.777476096606755,-55.25260228288005,B,-16.385107246581846,0
Germany,53,18-25,M,D,D,C,-44.57418289366395,12.86254628037252,D,D,B,205.4623970824253,-84.34437407556764,D,18.674014224596114,1
China,27,36-50,Female,C,D,A,135.53596860835984,134.2900871329904,D,C,D,97.29532007885282,85.75915436696047,E,-23.858949087528693,0
Germany,65,36-50,F,D,E,A,-93.65346565216171,1.0339501451730484,D,D,A,47.28240696467858,-54.662684455483245,D,14.860936281638685,1
India,23,65+,Other,D,B,E,153.24612750350474,195.27175383707615,D,B,E,61.73985259989875,139.72745943534224,C,12.591166617578278,1
UK,61,18-25,M,B,C,A,47.76253894372381,63.3298079094598,B,E,D,-72.95447663590883,66.53038910265957,A,37.806531017244545,0
Mexico,72,26-35,Female,C,E,D,22.81245187989331,113.5210219800516,B,A,B,-1.1180260455672073,137.14275343636436,B,27.210822355743897,0
US,22,26-35,F,B,C,E,36.94240371762543,71.09036217217006,D,E,C,-15.42336242098543,5.429975852977763,B,-53.14691754434896,0
UK,27,65+,Non-binary,A,A,D,-50.628901751834675,-48.28060062329794,B,E,A,-264.80348374572327,105.80942604995818,E,-96.30113512592253,1
Germany,49,26-35,F,B,D,D,-128.41267230506534,-66.93940200193862,D,A,C,173.14591546491778,98.45004612910382,E,-38.993340364566684,0
US,22,51-65,Non-binary,D,D,B,128.2981946719793,0.35356015868959234,C,B,E,107.5234685294696,-161.7843906107312,B,-105.42221984171167,1
Mexico,29,51-65,Other,C,D,E,-70.52438638253234,-37.82069834031961,E,A,A,-43.202641354514896,-120.32318655482688,A,-65.00031561959904,1
Germany,69,51-65,F,B,A,B,67.87169025450724,-187.75012187315298,D,D,D,-72.13990199262635,-15.349295891855105,A,-33.81458551281919,1
Other,27,36-50,Other,A,C,C,-19.61448721692922,-98.70467357446645,A,E,D,71.16043394258243,-39.037548688299864,D,198.9664417801958,1
China,77,51-65,Female,E,B,C,-31.81470930096172,156.52255982346946,B,E,C,-97.40126193439413,-122.17995755143949,C,48.60017192518623,0
Brazil,75,26-35,M,D,C,E,-78.09798373899585,-3.810473331191369,C,A,E,-130.0483548590353,37.96259352848487,C,-12.836259185605758,1
US,31,18-25,Male,C,D,C,10.590609986291616,31.13305439129691,C,A,E,58.71932258205164,4.411052207350809,D,-63.04751632403265,0
UK,22,26-35,M,E,B,B,-97.09939917588883,84.7815309735291,C,A,E,14.554452505156748,-32.17994404563886,E,-165.1208190661005,0
Brazil,43,36-50,Other,A,A,A,-151.87362217168635,229.08095531583413,E,A,A,4.939868167408154,-27.069118272389055,D,12.853916711265406,0
Mexico,74,26-35,F,A,E,E,26.663731136056384,125.62001615191024,A,B,B,42.190507648909254,216.81236637927896,A,-67.90063713387711,0
US,51,18-25,F,D,D,C,34.36503515017812,52.66199019549668,A,C,C,38.55798122139385,60.170553275219675,C,-154.5615127209356,0
UK,46,51-65,Other,E,D,A,75.48170341677657,-167.5992283789946,B,B,E,54.87571550276956,-0.3679348532417981,A,-45.44022409829531,0
India,40,18-25,Non-binary,D,E,C,-81.43319857041242,-152.42410248735015,D,C,C,58.33246584871594,53.951768541944524,D,-51.982571173484025,1
Germany,46,18-25,Male,B,E,D,88.31807694257789,-13.599985182541735,C,B,C,-106.37995867485147,78.60351996084083,D,-19.15773805075683,0
Brazil,71,26-35,Male,C,A,E,-100.60126521376422,78.77488861287837,D,B,C,45.1457762605427,68.7343647931778,B,-22.35962341956909,0
India,51,18-25,Male,B,A,A,-178.21194569879245,-16.926914576135545,D,D,E,37.04603248398662,4.165652584315673,C,137.21061422747215,1
Mexico,24,18-25,Non-binary,D,B,A,10.850060820250512,-50.40128824270733,B,E,E,-103.08781462825867,-49.76479146007628,E,-3.3192454932328754,1
Other,56,18-25,Non-binary,B,A,D,-59.76471114675983,127.00378457903922,A,A,C,-35.58813818322159,13.065021785586609,A,44.83390211349348,1
Other,23,18-25,M,B,E,A,279.72949065476575,36.37694624874121,B,B,B,-5.2990135610965385,-23.01817431765241,D,-75.77373810040254,1
Mexico,79,36-50,Male,D,A,C,126.77819247057332,126.20535020087628,A,E,C,-9.475193193852977,119.53102204403336,C,7.004210929638717,0
UK,32,26-35,Other,B,E,B,28.399177208516548,62.081713826030615,C,D,A,119.30266790511406,58.686062542822285,E,34.47168001403323,0
China,66,36-50,Female,A,B,A,39.000898393043826,-11.608071617261944,B,A,E,72.63556733110505,-49.49868383299606,C,-154.12722746487552,1
Brazil,47,18-25,Female,C,A,C,-67.3745808299237,-134.5503617578202,A,A,E,79.0348255404921,-23.37704684816154,E,-120.14072104687689,0
Germany,31,51-65,Other,B,D,C,-31.06877671514006,-50.11418178364546,E,A,C,-48.91605587966122,34.04563381634721,A,-5.134525979299994,0
US,23,18-25,Male,D,D,D,-127.31017869986063,-46.65085805870024,D,D,C,-19.67435143999994,7.635895945282916,B,-61.689605889982914,1
Mexico,76,36-50,F,C,D,B,-270.721381664567,49.09373996712677,C,A,A,-200.05225951027032,124.13784640965011,A,138.37945253574358,1
India,71,51-65,F,E,C,D,-14.280223989177063,85.37717085952423,E,B,A,89.58828557817775,24.004415576042852,A,202.4741471786824,0
UK,21,65+,Non-binary,A,C,D,-16.252216454351736,101.93055171598758,D,C,B,-18.64939981672969,-27.352298082742145,C,24.35735987414443,0
China,42,26-35,F,A,C,D,23.224699557112512,-56.57317804119386,E,B,D,21.405478075068636,-206.0786685842722,C,-131.1215911981251,0
India,77,18-25,Other,C,C,E,-184.40281554328868,213.27897038761265,C,C,E,168.99706829153595,-131.52297485183206,B,15.072007819059888,1
India,60,26-35,Non-binary,C,E,A,121.84506223524359,81.44474185442483,C,B,E,-25.19708904392755,85.78419856316233,D,35.46999753208186,1
China,61,18-25,Male,E,B,B,73.0732363492736,14.575284097071407,C,A,E,61.781382175074754,51.4609991040893,C,-68.47800113570398,1
Other,34,26-35,Female,E,A,A,202.01827220604662,-64.44379629338675,B,D,C,-69.7878600449196,-182.7903039332437,A,42.082627132215904,1
Other,70,65+,F,E,E,E,132.66268291945659,-200.76515299743528,A,D,E,-60.761286909374334,200.8634514376952,C,-5.709438901807984,1
US,55,65+,Male,A,A,B,92.10510686956228,49.061769923826816,D,A,B,-29.61828231948572,38.76314898218077,B,-8.151817425515024,0
Mexico,20,18-25,Non-binary,D,A,D,-62.87108355861755,-25.43108739886822,B,C,C,97.32415883988288,-158.1725738281437,E,40.06591721049577,1
UK,35,36-50,M,C,C,C,-163.86930179348812,-84.69644377799557,C,B,C,11.270302900982676,154.13599864904836,A,44.66630499870885,1
UK,41,51-65,M,D,C,B,-109.3782320950747,-0.12408239192623724,D,B,A,-284.1083672655366,-78.52421189601336,E,-151.14038878177982,0
Germany,29,65+,Male,A,B,C,-44.51719908664465,25.45724092871613,C,C,C,-20.745387741046926,143.05076870873486,A,7.729633315857062,0
China,74,36-50,Male,D,E,A,154.65974561383095,-74.70194944430541,B,C,C,163.59106895328094,-26.791780715139467,A,207.4546134722722,1
US,74,36-50,Male,C,B,A,-50.10533551871795,88.98132904041051,A,C,A,4.9399338415110625,-157.91051624614263,B,-88.22979399113765,1
Germany,37,26-35,Non-binary,D,A,A,8.220942867116781,114.54736170855256,D,A,E,-92.57030621489416,-46.41984323094729,B,-123.94681197477584,0
UK,76,26-35,Other,C,E,B,177.29497298749192,-90.51941693178496,B,A,C,-14.049381361283972,70.96224076340692,C,155.78732447248868,0
UK,44,65+,Female,E,E,E,-87.48229305152104,-31.31250999416458,C,D,E,-164.37992969109249,41.955904023680276,E,50.92577425199723,1
Brazil,52,36-50,M,D,A,D,-59.51559404730348,-4.567341952415841,C,D,B,-21.18215048988072,83.64863470544333,A,80.86842532466065,0
Germany,25,36-50,Male,B,B,B,-155.7812534959558,-109.11528378396282,C,D,C,164.64298258248172,82.00946004943928,E,122.5322918906577,0
Mexico,56,36-50,Female,B,D,C,-89.02668029428023,-110.77187682527469,B,B,D,85.05049228057156,-57.852432937489176,C,-64.15448235635995,0
UK,43,26-35,Non-binary,D,B,A,47.43445426755518,209.97816630065697,C,B,C,-4.119228910603056,69.03545097085139,A,108.1120583629834,1
Mexico,35,26-35,Other,E,B,E,106.12712550174844,215.2668759996642,E,D,D,88.1684375479492,15.11826148331658,C,-42.9188004549742,0
China,30,36-50,Other,D,C,D,69.67224149959135,-216.2784669568572,A,B,B,74.2612224740326,94.76982797998383,B,42.41195177371658,0
Brazil,23,51-65,Female,E,E,D,-24.454251158766823,-25.802123998226367,E,D,A,-58.988873917101984,111.2624358840371,C,12.161270708264924,0
US,67,51-65,Female,D,A,A,-24.162941205258193,271.7655416619967,D,B,D,53.24309288026847,-255.56947143861493,B,85.6924304059285,0
Other,65,65+,Other,E,D,E,193.62152364116983,19.98811001544569,C,B,D,24.14395512253107,-28.255485760745874,E,-95.33593835541453,1
Brazil,26,65+,Female,D,D,B,-159.89313397132906,204.65827097746262,C,A,A,-80.46503128446086,-116.29779943291906,C,-157.16261264423633,1
US,20,36-50,Female,B,B,B,45.38210502041462,36.61986253236279,A,D,E,39.3837171319676,-51.33676300789515,C,-116.72107455614662,0
Germany,55,26-35,Female,E,B,D,-45.3033804987628,125.64764756700706,A,E,C,-95.16990634504529,-83.26927971225643,C,-2.471087674642318,0
Brazil,62,51-65,Other,A,D,A,-27.95964777274717,-69.13907653334222,A,C,D,185.34813020194906,-57.33182540777592,C,-21.461747464742743,1
Mexico,29,51-65,Non-binary,B,A,D,96.80419463696917,-50.09098472221004,D,C,D,104.08758675291372,19.051984772124545,D,19.473311533867534,1
China,22,26-35,Male,A,A,C,-130.41372329233073,-148.67562447699544,C,C,D,-87.28105790458565,47.354076340577805,C,53.20902963449259,0
Germany,28,18-25,Female,E,B,A,15.304821920249962,-38.10783763908858,C,A,D,-106.35002778860046,132.63262162634578,C,2.905264461974893,0
Germany,53,51-65,Female,B,C,E,27.16258572317074,-70.35519050477313,B,E,E,-160.97751518931574,-59.54398652177385,B,-18.027165607293462,1
Mexico,49,18-25,F,D,D,C,188.17446039187163,-151.3345608594096,A,B,D,-97.89255589246508,194.21015472547847,E,-72.01512077616997,1
UK,35,65+,F,D,D,E,-56.21119578607407,70.26390523485452,B,E,E,116.95012315974746,79.48948235165477,A,-49.025716475140776,0
Mexico,50,36-50,F,B,E,E,-124.68619998839534,70.01475579929928,D,E,D,180.3951500247636,74.04100469342171,C,-40.79630149931045,1
Germany,22,51-65,Male,D,C,A,96.2725443089748,42.52067698518419,A,E,D,-170.37571266833552,-116.15054302394698,E,-58.95094590766311,1
US,34,51-65,F,A,A,B,-59.11335226115087,-28.300242554535526,E,B,C,28.090222344756498,40.90231931483741,D,-69.9945893443817,0
UK,31,18-25,M,C,E,C,-85.00576585765658,-14.892258611023587,A,B,E,145.50041672270376,-10.353724072052474,B,138.06160411861651,0
US,49,36-50,M,B,C,E,193.51156028252785,112.7318643802678,C,B,B,-11.034543230745278,32.94435643617876,B,61.877949229140015,1
Other,77,51-65,Other,E,E,D,65.99444763928646,-110.4428518981204,E,C,B,-70.75266996024311,44.29441403404474,E,-29.478498657426837,1
UK,41,65+,Male,E,A,A,-65.82532912649856,-55.06875223498076,D,E,B,-144.7284689836129,64.7359585403221,A,14.699093695012506,1
Germany,55,65+,F,B,A,C,-77.4020521091566,49.371259950108296,D,A,E,9.311004201912096,52.31967691493531,B,8.076265306927903,1
US,36,36-50,Male,D,D,C,-6.347370428884916,-72.95362745124172,D,E,E,-24.202805777214497,-89.13091046962516,E,-56.748478612607535,0
Germany,63,18-25,Female,E,E,A,34.320734929112504,-125.70240245208582,E,A,E,94.42182432244013,-96.30402518389157,B,111.59404330860406,0
Brazil,63,18-25,Other,E,C,D,20.01505507797358,-0.7884067353450165,D,D,D,37.96035663577337,85.19112559837066,A,-21.07357479296574,1
China,60,51-65,Non-binary,B,A,E,17.935894828136277,33.109923169975396,A,D,A,57.155821263611436,-13.837192635872508,A,43.27528976665815,1
Brazil,24,18-25,Non-binary,C,E,E,-72.68373053468457,-109.71675074108522,E,D,D,-34.24157345041883,-16.711719541426415,D,73.29938916853531,0
Brazil,75,36-50,Non-binary,D,B,D,-41.20044868607597,-43.32161334040333,C,E,D,-9.958275571603354,42.907459077894174,B,143.1163690396191,0
US,59,51-65,F,D,E,E,12.709979186785295,-76.59379136629543,C,C,C,190.3686203117228,-133.6860744655676,A,11.37534607160713,0
China,63,51-65,Male,A,A,B,-223.94412476820062,-54.2345505502817,C,C,A,-87.0333387098676,79.762413371182,E,11.330370568764415,0
Germany,32,65+,F,B,E,E,3.1593829174059436,-16.181353995517252,B,C,E,73.81590185969135,-143.55661850025092,B,-65.40753973666949,0
Germany,30,51-65,Non-binary,E,A,C,58.82028633012639,-47.6157193697716,C,C,E,-62.621708720912785,79.28310938944936,B,-151.90791616492461,0
UK,68,26-35,Non-binary,D,A,A,-53.60927304305634,140.7712888800879,D,E,C,105.3440358651937,-41.1397950734823,B,-213.58929207913388,0
Other,36,26-35,F,D,D,A,-128.77311840176807,101.37964276452614,B,E,B,42.295976216087176,9.610369465353353,C,-21.99825746861656,1
UK,27,26-35,F,E,E,B,29.292675142132314,142.88619988901746,D,E,A,165.61264430131405,-9.416550135929015,A,58.243778299862115,0
Germany,51,51-65,F,D,D,B,-80.56124595142184,43.16171640855101,C,D,E,66.24553921700694,-39.936306529529766,E,15.851784186947107,1
Mexico,60,65+,Female,B,A,C,72.1947755823641,40.90273166310624,A,E,C,36.488380386480884,-111.74057142977753,A,41.432845302089696,1
China,47,26-35,M,A,E,D,113.66332048943278,-1.6959711363081633,A,B,A,-17.297393644593782,-131.46386721351368,A,-147.34951609290007,0
Germany,37,51-65,Male,D,C,E,-97.75401484713464,-99.7263611676181,A,D,E,17.679967673548784,-30.849587572656183,B,66.23873889269973,1
India,74,26-35,F,D,E,E,-65.12241130034086,76.41693338533543,B,C,B,-141.64253271029793,-76.2729032328542,C,-137.84819539240598,1
Other,45,51-65,Other,A,A,A,131.66195418170668,-30.697775699557905,A,B,D,-87.45537867853332,68.34812994554133,E,8.507898377278188,1
China,74,36-50,Other,D,D,A,-114.13964616868131,164.79906347047805,B,A,B,96.18517960254746,62.514800911181425,E,-51.359150809183326,1
China,58,51-65,Other,E,D,B,-40.66771318816166,6.713016758712636,A,A,D,3.241574936896427,25.394833487039207,B,1.9087559117486175,0
UK,35,18-25,F,E,D,D,-13.742535917186233,-169.96547140485876,A,A,E,189.32010576154684,9.487471626586013,A,-44.52846727428,1
Brazil,65,36-50,Other,C,E,C,12.587447643273897,39.45186813580464,D,E,B,179.2209902794423,35.18108174857879,C,-198.12302707133466,0
India,18,36-50,F,B,B,E,-201.57131143373906,134.43471497177694,E,B,A,59.67793867595278,-202.56804300409286,D,-60.130735674714366,1
Germany,28,36-50,M,A,C,D,46.26661186995194,-19.33417863767784,A,E,D,-122.22331292593147,-162.8317501014977,C,-5.946554700669381,1
US,53,65+,F,E,C,E,-85.37938729571493,-57.02710950541419,E,E,D,153.5679319434213,-128.10038152398818,E,121.52176749271987,1
China,64,26-35,F,B,A,B,-26.106635652191013,-130.88280196493338,D,A,E,223.27292725031515,-147.53267431378086,D,-131.75388582913868,0
Other,66,65+,Other,E,E,C,-41.019047893695884,-27.44599472896795,A,A,D,59.945742808746,28.888715170851693,D,-141.18796492702407,1
Brazil,21,26-35,F,B,B,A,-73.9809910331698,6.950720957371159,B,C,B,89.55133698367113,-21.133972761009094,D,-95.87266451312654,0
UK,35,65+,Male,A,A,B,-249.34594481205568,-79.99612565536019,D,D,E,-21.355452525688754,-79.98784577673422,B,-62.00789504240706,1
UK,26,65+,M,A,D,A,83.67885757208569,1.3962278807224477,E,C,E,-187.11756329149404,109.5509450637546,C,232.18534081486854,0
Other,64,18-25,Male,B,B,B,-32.505658935778484,81.59434405791045,D,D,A,-136.9548315054041,13.217671226858302,E,113.36377920967206,0
UK,78,65+,M,A,D,C,-47.094037972439764,2.4652735990401156,A,D,E,-217.8361260482776,39.09839421199257,B,180.3044044973392,0
US,44,51-65,Other,A,E,D,60.25845952401272,166.05228039652417,A,A,B,-10.490512313027205,32.47700494642158,E,134.2996264604307,1
US,32,65+,F,B,B,A,29.7324018308748,-76.55015110948544,C,C,E,163.35537286135818,-39.21897205309913,E,90.33271267419116,1
India,38,51-65,F,B,C,B,271.5898531899282,-87.43044202511324,B,C,C,-60.174352212546424,36.75892226205046,B,22.522606607949854,0
