military,anos,AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
Non-Veteran,26,18-25,D,-79.81579992251415,-81.01748930326075,E,C,D,-91.02936433293519,C,B,A,-173.49633039125177,D,C,0
Yes,34,26-35,E,-73.13571496691638,141.56157151965994,E,C,B,-0.39257963293772263,D,E,B,17.898440243222044,D,D,0
Non-Veteran,27,51-65,D,92.52649199373049,-111.69526980481852,C,A,D,211.93021159451953,C,B,C,-62.94463541915515,B,B,1
Veteran,48,51-65,E,-168.93718105349427,121.02471478365496,A,D,B,101.63651280672079,C,B,D,-55.11278482717732,C,B,1
Veteran,55,65+,A,-96.74332529003385,60.047351293786164,E,B,D,50.908128657789234,C,D,A,9.130694263860883,D,A,1
Non-Veteran,64,51-65,C,-207.4673142100144,3.256208295771063,A,D,A,-192.34584270668907,B,D,D,-58.61983268276026,A,D,1
Yes,27,18-25,A,-42.71937858824913,55.01181035540552,E,A,D,48.33622207042012,D,E,C,60.08929458136394,A,E,0
Yes,60,18-25,C,121.2966097539728,-31.57638338586914,B,D,B,-38.90752262167877,B,E,B,19.24551332891352,E,B,0
Non-Veteran,50,65+,C,-102.8211063674364,98.87218294506779,C,C,D,-14.839487826902854,A,B,C,148.25370036925787,B,E,0
Yes,23,36-50,E,93.42551801071198,62.36463263266501,B,A,B,0.7608462451346516,C,B,B,-97.8741598582773,A,B,0
Yes,57,36-50,C,-47.68544908541653,68.78058825360719,B,E,B,-56.96265261965495,D,D,E,298.67204330753043,E,E,0
Non-Veteran,67,36-50,E,-8.478040685497364,-28.21648267347991,D,A,C,3.186960922751904,E,B,B,116.24069543773577,A,D,1
Non-Veteran,47,36-50,B,142.53522204932764,132.15508181272335,A,D,A,85.77557907518228,A,C,A,-114.21638616650125,A,D,0
No,71,18-25,C,1.9242481686883903,-270.46335077349045,A,C,C,-71.86825246874665,A,D,E,-51.11273525621135,A,A,1
No,28,36-50,B,-95.76182157218197,35.291198250919855,E,E,B,-44.767817593622624,A,C,A,104.54879383496501,D,C,0
No,62,18-25,B,-133.83783446513644,64.82984521465917,E,B,A,66.09698395993475,A,B,D,152.90160295907026,D,A,0
No,69,18-25,E,-152.29308493580243,93.51980769749598,C,E,B,82.19313375609842,C,A,E,-19.854969100753394,A,A,1
No,67,26-35,A,-5.221811830904995,132.9246127080872,C,A,A,-131.32399850081484,A,B,C,-81.50380621329401,B,D,1
Veteran,23,36-50,B,62.338178345984176,-204.56352292995587,E,A,C,226.92674357515065,D,D,E,50.44681925479182,A,B,0
Veteran,26,51-65,C,65.35977601890245,-13.004937818643922,E,C,A,-195.31097387454878,E,E,E,-29.97619758987204,B,C,0
Yes,67,36-50,B,-26.145354201796962,236.1419497394957,D,C,C,94.3931116074345,D,C,C,69.7735341146992,B,C,1
No,61,65+,C,111.33507184382034,102.68230460015275,B,E,E,-37.64635267723884,E,A,C,26.289804948776762,D,B,0
Veteran,77,18-25,B,82.4868509656123,227.68281308446313,A,B,C,10.041519267025837,A,D,B,-39.97110103242061,E,D,1
Non-Veteran,42,18-25,B,-32.98177698542952,-95.7288813150063,C,A,B,-11.236251028353012,A,C,C,27.092081097771498,D,C,0
No,34,18-25,B,104.31048412167472,-91.2036944687872,C,C,A,3.1542053916376265,C,E,D,4.847857773848293,C,D,0
Veteran,38,51-65,E,206.76077110878316,79.04573752462308,A,E,D,207.34237021981485,B,E,E,-272.4876672933798,A,C,1
Yes,69,26-35,B,19.590975833917046,130.39510576630454,E,D,D,-183.47971795243524,E,A,E,12.695438045399593,E,B,1
Yes,52,51-65,A,-205.6616842055734,187.52273659298436,E,C,C,67.72019158485323,A,B,B,72.10689967118068,E,D,0
No,40,26-35,D,126.17706327333325,58.14525516279014,C,E,A,-4.140522576125648,A,E,C,33.80932687991497,D,B,1
Non-Veteran,65,18-25,C,96.85725564943809,136.6871840632303,C,B,D,-63.78147913292857,D,E,C,65.66927509126556,A,E,1
Yes,35,65+,E,2.3616784244853495,306.6623211640455,A,D,B,-163.10451351568136,A,A,E,70.50189254914557,C,A,1
Veteran,37,65+,D,4.762077256806925,2.6095905278713367,B,D,A,27.717144570391206,C,D,C,13.848947310729464,B,D,0
Yes,71,26-35,E,53.97672299862808,-150.4216738343166,E,D,B,-191.94132285100287,A,B,B,28.722335823015115,D,B,0
Non-Veteran,79,26-35,C,-118.92998749487775,32.656466471428025,D,B,A,-12.46934692331544,E,C,A,-28.65076230405127,E,D,1
Veteran,60,36-50,C,42.93689304178774,25.621399893470446,C,B,B,-24.00820722304896,D,A,D,-159.69941429052315,A,D,1
Veteran,77,26-35,E,-134.4186508929074,-109.11186315314762,D,C,A,4.064459257980533,D,E,B,-60.71987872116692,D,B,1
Non-Veteran,44,36-50,C,-8.947227962798783,84.96795277314949,C,C,D,77.8790326018922,E,E,D,-83.30039238699297,E,D,0
Yes,53,51-65,C,-84.11780154563763,-4.733521733632833,C,B,C,-171.26141779448187,A,D,C,-164.9156161101272,D,A,0
Yes,65,36-50,A,108.57569267294953,24.120635199314286,E,D,B,84.82680257156913,B,D,D,-100.34980663424291,D,A,0
Non-Veteran,27,36-50,A,9.395161605813868,-33.35927887113919,C,B,A,54.29066969564843,D,D,D,229.74141855435533,B,A,1
Veteran,61,36-50,A,-22.458707299230067,30.357151502691913,B,D,A,52.52813428849571,A,D,E,-211.58836065514072,B,D,0
Non-Veteran,40,26-35,D,63.45374609510148,34.74710606383062,B,C,A,-131.1852219917568,D,E,C,86.83236490140662,C,C,1
Yes,51,26-35,C,-65.06279680716712,-2.2436939610230486,E,B,D,-84.73999630389103,C,C,B,-35.025228859400755,A,A,0
Yes,43,65+,B,-117.03377146059628,-71.26792126752012,B,E,E,-88.52522369450934,C,B,B,-113.95092603294404,E,A,1
Yes,51,51-65,B,-74.26468363150747,-63.44252184762161,E,A,C,78.8249943229457,C,B,A,34.62723030276324,C,B,1
Yes,41,36-50,C,86.78776196813699,90.56314135614548,A,E,D,-29.273349813530636,B,B,D,-124.73165952682028,E,E,0
Veteran,76,26-35,E,20.303681526797103,54.1576833584556,E,D,D,-67.95772327505644,D,B,B,14.941501652451365,C,E,0
No,32,36-50,D,61.986887638728284,-421.3909909440979,D,E,D,-32.23347551065315,B,A,D,172.17681728258555,E,D,1
No,22,26-35,B,19.122670332715444,67.16409398369436,A,C,C,70.2730460228844,C,E,E,-61.352423381135445,A,B,0
No,48,65+,A,-51.44629313602201,-36.038539555232624,C,A,E,-0.4947393250839066,C,E,E,-12.148654699601595,E,C,0
No,26,51-65,E,129.96972569553677,262.91662208573837,E,C,A,-39.29058264029124,E,D,C,94.73353998102311,A,D,0
Veteran,58,65+,D,57.94997519879327,5.958202163050286,A,E,B,22.427820150011993,E,E,E,87.65428401419558,E,A,1
No,33,36-50,D,40.485754485263755,-59.860833094650744,D,A,C,84.81927078071183,D,B,B,96.31288724917528,A,B,1
Veteran,61,65+,C,57.061191148071366,71.76289126587851,D,B,D,130.7119937897966,A,B,B,-91.49830881099727,A,A,0
Veteran,23,36-50,B,-45.500651613295176,-183.08755530889965,C,C,D,-73.68467445818074,E,D,B,-9.348561434732895,A,A,1
No,56,26-35,E,33.30171645403678,-66.69036039711975,D,A,C,-54.27956449510087,C,E,A,43.49381791826444,D,C,0
Non-Veteran,40,26-35,C,-43.266858532346234,-91.69727731719107,A,D,B,111.58989500433051,C,A,E,2.8837631388950125,B,B,1
Non-Veteran,71,51-65,C,-1.28028587574131,-37.570556741489035,E,C,C,69.22888615107257,D,A,D,-223.45313577668298,D,A,1
Veteran,36,26-35,C,-97.28036477221352,-7.9312410333609185,C,E,C,39.762574404969335,E,B,B,-211.54002759105578,A,B,1
Veteran,57,36-50,B,-78.44086254877699,-63.02189302990576,E,A,A,-66.34037553792388,E,D,D,-78.46995878889636,E,B,0
Non-Veteran,56,26-35,A,-92.47454473903205,-143.19284191440218,C,C,B,182.47698759322506,B,C,A,125.0487458613934,D,A,0
No,61,18-25,A,195.39804379909313,43.73639719785665,D,E,B,11.269342928530678,B,A,B,-69.6076794870468,B,A,1
No,47,36-50,D,-87.69797445890345,-142.18408119161933,C,B,D,154.09651406015678,E,E,C,25.867690251277036,D,E,0
No,45,18-25,B,9.946598415087191,75.0114347722182,B,C,A,19.450901415122235,E,E,E,192.06379253993256,D,D,1
No,42,18-25,D,167.8044305590837,-103.7158950959957,E,C,C,128.95434993623897,E,A,A,114.2752463510756,E,A,1
Yes,39,36-50,A,-186.94487775377877,-59.938380623580144,E,E,B,-38.31767257687008,C,A,E,96.44426422135183,C,D,0
Yes,63,51-65,D,12.61681259042817,-269.0051323983357,D,B,E,-25.876687471814957,C,E,E,85.82796371519788,D,A,1
Non-Veteran,25,51-65,E,109.76424837827167,49.46623872624066,A,E,B,-17.692166248287034,B,A,E,-7.987464092174526,D,C,1
Yes,76,36-50,D,8.892315744382255,30.89588148501235,E,C,D,9.736008319728198,E,C,A,136.47245929278154,E,B,1
Yes,49,51-65,A,-102.93137536376351,82.29705445141062,E,C,D,60.321541007461256,A,C,A,116.57043495345474,C,D,1
Non-Veteran,19,36-50,E,-63.96629642306495,-2.9873425756922893,D,C,C,11.527310308057528,D,A,B,0.5698752807846547,D,D,1
No,64,36-50,A,-12.462856516391607,39.66229633409903,C,C,B,130.53972099564362,D,C,A,86.59277509056349,E,E,1
Veteran,41,18-25,B,181.94864129937696,86.8001547407272,B,C,A,-51.746169201050996,E,D,D,237.4175502409316,C,B,1
Veteran,61,51-65,B,-204.3654677612142,33.18231318450766,B,C,D,-20.658575646543596,A,B,D,-61.63975200540497,A,E,0
Yes,47,36-50,B,36.910249484857424,-32.6334959563524,E,A,A,173.3830322948303,E,B,C,155.14280082847492,D,D,0
Yes,69,65+,D,-97.54432951604326,10.959470793485197,A,C,E,-101.73659096851554,A,E,B,69.15220157109549,C,A,1
No,75,26-35,D,67.03005376278054,135.47564309005304,B,C,D,13.150884925877495,A,B,D,91.86530031438357,D,E,1
Veteran,78,18-25,D,-90.14294937315893,-95.02959566455691,C,B,A,-76.40660349545047,B,D,E,-11.169502666714944,A,B,0
Non-Veteran,24,65+,A,-116.65855156032802,10.16817285953963,D,B,D,73.45967705370633,E,B,A,-7.59286067546276,D,D,1
Yes,22,26-35,A,-50.77549601215193,-111.59753897950635,C,B,E,-89.65139804591948,B,B,C,40.1515174222963,E,E,0
Veteran,21,18-25,E,-17.97013648204904,-22.46662269753496,A,B,E,24.584412497521054,A,C,B,-53.92768346063039,D,B,1
Non-Veteran,18,65+,B,85.20652269594552,34.34403491204426,A,A,A,-39.06114590032991,B,E,E,92.15849166874258,D,D,0
No,20,51-65,A,-140.70450483698275,-46.97106727102462,B,C,D,41.12041446319502,C,A,E,-54.44305590794417,C,A,1
Yes,22,51-65,B,-165.4736799529349,-51.582619798155726,D,E,C,131.22239554808363,B,B,D,22.60181977173126,B,D,1
Yes,52,65+,D,-51.49282504600266,-106.25530456650847,C,B,A,-91.88777462348793,A,D,C,13.906555648197338,C,E,0
Yes,64,18-25,C,-142.10674806865958,-34.529469437456726,B,B,A,76.94607687355226,A,D,D,-20.71606325244421,C,E,1
Veteran,22,65+,B,-44.177174105783564,35.06795817810798,A,D,D,-115.35324290651288,D,C,E,8.729719279800282,C,A,0
Veteran,73,26-35,A,-29.42454130881878,-131.58289051458686,A,D,A,-55.5720936679072,C,C,A,120.57171763068439,D,A,0
Yes,78,26-35,B,-1.6615571824007556,105.37445824321206,A,D,A,119.5618552458596,A,A,E,-212.62025936259602,C,D,0
No,36,18-25,B,-5.754429482221561,-73.63281685776415,B,C,E,-13.271902066066538,C,C,D,110.30019052695663,E,D,0
No,62,36-50,D,-80.90615312670623,-224.99105606886692,D,B,B,4.6752958628552985,E,A,E,118.63531294586342,C,B,0
Yes,25,51-65,D,85.66214670897894,160.24448261333507,E,A,B,56.288869028163234,D,C,A,85.5801709577724,C,B,1
Veteran,34,51-65,C,-17.238214047528857,-104.97347724754744,E,E,E,69.33735078678983,D,A,B,185.4558082329969,B,D,0
Non-Veteran,40,65+,B,27.76261942923079,51.07755271122401,D,B,B,-36.85334705699931,D,B,E,11.801250099741127,E,E,1
No,51,65+,A,-88.96399617190006,-128.4909191290979,C,E,B,41.615971093887936,B,D,E,-62.02119379269132,B,E,1
No,69,26-35,A,172.87732646090734,-65.27547332501943,D,D,B,189.28603458412212,C,D,E,212.9984148686118,B,A,1
No,46,26-35,E,53.678169005161635,33.31600424819287,C,B,D,29.584066968547223,B,A,D,60.28755165084365,D,B,0
Non-Veteran,59,51-65,D,-64.0225054640603,171.63326296509774,E,B,D,88.24852789322507,E,B,D,12.961727153326375,C,B,1
No,52,26-35,C,-46.17586366363319,46.519973343785324,C,D,A,110.5435653928271,A,B,A,-35.000792482130386,D,A,1
Non-Veteran,23,26-35,B,45.433088298997205,25.548547928852607,A,B,D,-7.8972486497929495,E,B,D,-20.247838231240646,D,B,1
Veteran,54,36-50,C,17.671622030041952,-63.54563062937406,D,A,C,172.09136682364573,D,A,E,156.03736707459413,E,E,0
Non-Veteran,73,26-35,D,-51.72819578833946,-70.53591855641749,E,D,E,161.87698882501252,B,C,C,219.0537492159011,E,A,0
No,60,18-25,D,-61.32248673955898,-251.1483492917146,D,A,A,-253.54499387039903,A,D,A,189.01913814824636,E,D,1
Yes,63,51-65,A,75.42139150808143,84.84818444590874,D,D,A,165.64197531794704,D,A,D,57.80204244558822,E,D,0
No,33,36-50,E,-30.842851131907562,52.60047327945839,C,A,A,-59.159483135028545,D,D,E,89.76183459183865,C,E,0
Non-Veteran,42,36-50,B,-153.0121894329502,26.848034956136825,A,A,A,-212.8543958177353,B,A,C,-156.6079457873868,D,B,0
No,69,51-65,D,-8.404405644848897,-94.37573714040089,B,C,B,22.843054129729286,E,E,C,-72.70036841263214,D,E,1
Yes,20,18-25,B,-111.08892311028889,-160.1753873510238,E,E,D,-137.6738878371672,A,C,E,122.75881455321549,D,B,1
No,24,26-35,C,49.95189516168714,-203.22090360782812,E,B,B,-10.228058178809794,E,C,C,250.4490641044791,D,D,1
Non-Veteran,31,18-25,A,-54.58068911421048,-26.36584713208212,E,C,E,20.22193467414241,B,B,D,101.60159866871952,C,C,1
Veteran,71,18-25,D,204.33124925735083,5.776973766567995,E,C,E,210.29673059993036,B,A,E,17.164841363770776,B,B,1
Veteran,29,65+,B,123.88856193698817,125.71018584983808,C,D,A,169.16387163651999,B,B,E,126.09610042266416,E,E,0
Non-Veteran,20,26-35,C,119.48661644822336,-142.7217366067319,C,B,A,38.677380300869544,B,B,B,49.72459980557623,B,B,1
No,42,26-35,D,11.315073028390579,25.44273265463874,B,E,A,-115.31929407685217,C,D,B,42.53899162797597,B,C,1
Veteran,37,51-65,D,219.8105268765167,-80.87645341290619,A,B,A,-107.80430516918304,B,B,A,-235.10059250136672,A,E,0
No,76,65+,A,60.61720231848291,-16.686683025013345,E,A,B,198.29044724906245,D,D,D,-22.3974499290901,D,E,1
Non-Veteran,54,18-25,C,-200.1862927305269,170.6819413456652,E,B,B,-38.13123378040978,E,A,A,-31.371603750770472,A,C,1
Yes,22,18-25,A,65.57845893674269,60.87418183005814,C,B,A,-60.62942576120444,D,B,B,77.53392556283802,B,A,1
Non-Veteran,50,36-50,C,48.02526591961226,-104.84141418705713,E,C,D,-21.924095722776354,A,E,D,-110.31421580340084,A,B,1
No,47,51-65,D,-31.734797142160577,-12.526693748951304,A,C,E,31.415658271318947,C,B,D,-185.89373943192632,B,B,1
Veteran,49,65+,A,9.449900917587204,-0.6371142617044839,D,E,B,1.1674105393221528,A,C,C,-8.813123153850452,D,E,1
No,69,36-50,B,47.85723525360369,78.78459378850819,A,A,D,-86.51718680339722,A,A,B,-192.76051039508732,C,B,0
Yes,29,18-25,C,31.92249975906228,-102.44301949616663,C,C,A,9.711562211965036,B,A,A,-172.61446730237225,D,E,0
No,23,36-50,E,-47.448096207233824,-74.18125715012508,A,E,D,144.13886214369984,E,B,B,-32.80033947003009,D,D,0
Yes,39,65+,A,-62.0081826832927,-49.30824022880627,D,D,A,135.3501402021545,B,D,E,-164.62213784732,E,E,0
No,21,65+,D,-113.08281057537381,27.10653250624754,D,E,D,-73.2715323115339,E,A,B,53.423412824174164,E,E,1
Veteran,25,51-65,D,76.17002296762209,-157.50813880556302,A,E,C,-122.14398713014289,D,C,C,102.01892245418776,A,C,1
Yes,41,26-35,A,44.19188303771045,-48.58697923792714,A,A,D,70.03064988133661,D,E,C,56.267738310881995,A,A,0
Yes,73,26-35,D,-2.8028113986478527,140.51572045955095,A,B,E,146.99204593743508,D,D,E,31.591584795586524,E,E,0
Veteran,54,36-50,D,-116.86435647624214,33.69876558591933,A,D,E,83.68075581659477,E,E,E,2.8696668700178307,C,D,0
Veteran,60,51-65,A,-24.14893838803904,-140.96407087631056,B,A,C,26.202988432574266,E,C,D,21.997960639060015,D,B,1
No,21,65+,A,-82.43535384968631,136.44028042237048,E,C,C,69.22147832881927,A,E,D,-137.91857725303694,B,E,0
Yes,69,65+,D,27.51809859301687,80.83531658646605,E,A,A,-59.42402431209791,A,A,E,3.1222686744924473,C,E,1
Non-Veteran,54,26-35,B,-148.56803901064916,8.860130139804145,B,E,C,-54.100530954219884,A,E,E,130.7525940626477,A,C,1
Yes,20,18-25,C,41.21358035293421,2.035155002736229,C,E,B,81.14842826214087,A,B,B,49.71557499226428,A,D,0
Yes,20,26-35,B,-190.97853747097486,108.05266367959969,A,E,C,45.08757296327371,E,E,B,-53.281681889507524,B,E,0
Yes,52,26-35,D,-43.826603639300174,44.754057136220304,C,B,A,-122.47252740912884,B,A,D,-213.5149130351922,C,E,0
Veteran,37,36-50,E,-162.25705583999496,32.42814031355937,B,C,A,9.139599249874149,D,D,B,13.832468241645065,B,B,1
Yes,25,36-50,B,43.59545711271667,-86.591579914897,E,A,A,-41.35618158205481,E,C,C,-192.87146394632256,C,D,0
Non-Veteran,35,26-35,B,-106.22194157596128,97.7676479640707,D,D,B,-140.01475155805673,E,A,D,-82.00311775492443,A,E,0
Veteran,55,18-25,B,-182.940492256238,31.994230317540612,C,E,D,-58.01397170320042,A,E,E,119.15159199322629,C,E,1
No,28,26-35,D,-4.729806140770867,-144.61134078312992,C,D,E,-206.6611120280233,C,C,D,-223.20013154233348,E,B,0
Yes,50,36-50,E,54.360865121172665,71.76739866006272,A,C,B,25.41307511649248,E,C,D,30.002786376306055,E,B,1
No,43,51-65,C,-2.392556354360298,-214.55101814911734,A,A,E,-21.575276670282342,A,D,E,67.8218712674544,B,D,0
No,23,65+,C,107.10436266677459,57.777986397142335,D,B,A,4.270476274370861,D,C,C,-92.6288667906393,E,A,1
Yes,38,36-50,B,121.37063762002383,92.2150097071149,B,B,B,-15.796386592444636,E,A,D,29.415436761680446,B,D,1
Veteran,66,18-25,E,-17.1597546730254,-79.93358482151588,D,B,D,-118.44970104446529,D,A,A,1.9964459356937656,C,C,1
Non-Veteran,60,36-50,A,154.40102498249973,14.636858668079217,E,A,C,-7.272737457015449,D,D,C,-37.48207411821752,E,D,0
Non-Veteran,57,36-50,E,111.28208167114562,-39.350769363734585,B,A,E,-61.84186000809472,E,E,C,45.575277392296194,A,E,1
Veteran,79,65+,A,-54.85263208406771,178.66648057215536,A,B,A,11.551149532096698,B,C,A,-11.668667875304923,D,C,0
Non-Veteran,48,51-65,C,166.69755037614726,-77.53441456699029,D,E,E,-56.51697834238823,A,C,B,-79.68347190292987,B,B,1
No,68,36-50,B,44.50604851305103,141.0053182835442,A,C,B,-105.41497137898459,E,D,C,39.68461752438914,D,E,1
Veteran,50,26-35,C,-5.653211558074311,-46.6968407468758,C,C,D,-88.78040272034539,C,D,B,127.12359236309916,B,E,0
Veteran,25,65+,A,120.65014548288408,-43.29657115113667,A,A,C,-70.99014672574559,D,C,D,59.215934824304604,E,C,0
No,74,51-65,C,198.80121530560692,-15.368735901442923,B,E,A,-89.555083295949,E,B,E,144.1222414735605,D,A,1
Non-Veteran,35,51-65,E,176.3150559349973,-130.86705388235887,C,C,C,94.99834274816561,E,C,B,-71.32983012246011,D,C,1
Non-Veteran,68,36-50,B,0.3850495721027493,107.41519500046697,A,A,C,-124.0474176835467,C,C,D,44.932838885570504,D,B,0
Veteran,51,26-35,D,-18.426033367953057,-134.40874818627404,A,D,E,290.9216382784305,B,A,D,14.010460828404502,A,C,0
Veteran,42,36-50,B,161.22294956619655,63.255235433074134,A,C,C,-103.64013409103094,D,A,E,-151.0943696037792,D,C,1
No,37,36-50,A,120.16408606731619,-112.28118406937269,A,D,A,95.18034862158225,D,E,A,13.52289626680767,B,B,1
Yes,53,65+,D,96.73368559894188,144.45295832760766,D,E,D,-106.65387475733121,B,A,C,-5.909885745330965,E,A,0
No,53,51-65,E,61.95131791758548,-138.9073999907777,E,D,C,-29.47231362121729,D,B,E,80.10788131346861,B,C,1
Non-Veteran,37,65+,D,-155.64377186380008,-98.88830840534644,B,C,A,-45.868755421431835,C,E,E,180.3839856445191,B,A,0
Non-Veteran,30,36-50,E,-117.42107596456277,151.200849789463,C,E,A,-3.936792073329088,E,D,B,-31.275318972630373,C,E,1
Yes,34,36-50,B,20.997635780201982,72.80908156179154,B,C,D,-52.925445726213304,A,A,A,-50.34069022879447,A,E,1
Veteran,68,36-50,D,181.30578781697872,65.38292027929147,E,B,E,158.85232508668273,E,D,E,-270.07119915376927,B,D,1
Veteran,67,65+,C,-155.211486400091,47.987198453114644,B,A,E,48.83437558168901,E,D,A,107.8436240447927,A,C,0
Veteran,67,18-25,A,15.230826468959119,163.58271989760084,C,C,B,14.252069173655249,B,D,C,48.761957888604144,C,A,0
No,71,65+,C,-124.00724522407019,26.019449389709195,A,E,A,-77.62366026342679,C,C,E,77.63729951427504,E,C,0
Non-Veteran,55,26-35,E,9.3334596840072,-121.95543567639595,D,E,C,-183.03116921042033,D,D,C,-188.68253831354036,A,E,1
No,30,51-65,A,5.5834635612577355,-140.53711291568027,D,E,A,-52.469511898609966,E,D,E,-38.84960310087314,D,D,1
Yes,22,51-65,D,73.05647643987147,-28.264487599405115,D,D,C,-29.975370365178595,E,A,B,135.8745926731349,C,D,1
Yes,39,36-50,E,91.26978922712563,-50.31202349217391,A,C,D,-53.03039270699911,A,C,B,48.93833588783433,D,E,1
Yes,79,36-50,B,82.551413197906,74.43259780171442,B,A,B,-47.14124675323951,C,B,B,80.88532039494622,B,B,1
Veteran,28,51-65,C,100.95149696266029,29.8588268692747,A,E,A,-51.79037102186934,E,E,C,211.6392255784185,A,E,0
Yes,23,36-50,B,-21.77462670837309,131.92835232236536,A,E,C,227.69447348741943,E,A,A,51.23935736705629,D,D,0
No,48,65+,E,108.69267543542594,9.87461635458628,D,D,A,-327.38747774672106,C,A,C,-17.541919326022864,B,B,0
Veteran,67,26-35,C,-2.098422721808927,247.7883105101812,C,E,C,-148.13073142378857,C,C,E,95.03878749274199,D,E,0
No,75,36-50,B,90.90132550388788,-19.539776546302615,E,C,C,0.5004384439118488,C,C,A,44.8498080834428,B,A,1
Veteran,55,51-65,C,-30.033612879549644,127.2055416808809,C,E,A,39.873160078611676,E,E,E,255.32630938608972,A,E,1
No,30,36-50,E,-69.53272715728916,178.38927051751395,A,B,D,-26.232514053329865,D,C,D,-4.171425812558437,A,E,1
No,57,65+,A,-85.683168111936,-14.041388761108681,A,E,B,53.06586981256308,C,A,D,11.41981091182425,A,A,0
Yes,64,65+,D,-100.88132765555233,-106.62698906039427,B,B,D,-90.02841723971532,C,C,D,23.044560825052713,C,C,0
No,40,18-25,C,-166.0021890104007,-84.78214606999435,E,D,A,-109.91606756107583,A,A,C,-128.68572686943455,E,A,0
No,41,18-25,C,0.18626260561960867,-53.382968135638244,B,B,C,100.95925495799393,D,A,C,-93.58127439572115,A,A,0
Yes,43,18-25,D,66.9146080603731,-75.68481928413205,C,B,B,179.66940065579377,E,B,E,35.151263626964685,B,E,0
Yes,49,36-50,A,-28.08697220658911,-1.1507166972237535,C,A,B,-33.3935881371344,E,C,C,-82.13606371274156,D,E,0
Veteran,72,65+,E,-25.91229410894759,-4.162677188819592,B,E,D,-2.959187672330711,C,E,C,161.3722566080626,D,C,0
Non-Veteran,57,51-65,D,-67.32370938168542,4.864618500152617,D,E,D,45.831085268955526,C,A,B,-151.10377239002975,D,D,0
No,61,51-65,A,-88.55312986362345,-69.404769914286,E,C,E,-23.169478369003972,C,D,D,-192.9281247995653,C,B,0
Non-Veteran,54,65+,A,50.27332045730933,-54.93048958222547,A,D,A,-53.64931602991847,C,B,C,90.38641689524344,E,B,0
No,50,51-65,A,18.670251692937814,86.2673636130515,E,B,B,84.54301597400993,A,D,A,34.69129565954031,C,C,0
Veteran,24,65+,C,-108.96359040531054,-304.06146080030953,A,B,B,63.36548782602157,D,C,B,-64.05974256113373,B,D,0
Non-Veteran,55,26-35,E,118.0388560666341,19.207647435885068,C,D,D,-28.3664471095998,C,B,C,61.340851054285,C,C,0
Veteran,29,36-50,B,-92.99994113300446,-29.996870315709533,A,E,C,-1.2194852497651398,C,D,B,-83.1440374503978,D,B,0
Non-Veteran,24,65+,E,125.91828942494112,-124.70905619298078,E,B,D,-26.29328037373974,A,E,B,-107.66182630597123,B,C,0
Veteran,33,18-25,D,-27.502170315127845,61.031220227420405,C,D,D,-51.56686033202232,E,A,C,165.95101670452067,E,B,1
Veteran,36,51-65,C,-26.55052848340872,82.784044804282,B,E,B,-205.44032120732422,D,D,D,87.14064770726296,C,C,1
Non-Veteran,26,26-35,B,31.08755653456614,-220.27332451249146,C,D,E,-2.3281489064979075,C,A,E,26.587871003275943,C,E,1
Yes,48,18-25,B,128.52110749067452,-85.1675871673104,B,B,A,79.63653605129271,D,E,C,22.704943706453275,C,B,1
Yes,20,36-50,E,-28.059411299851885,-46.05063134727156,B,B,D,92.14344052504626,B,B,E,65.75936594026234,D,E,0
Non-Veteran,78,26-35,B,-50.49699482407416,-52.97531359380405,A,A,C,82.2827185943552,C,C,B,124.8978724868956,E,D,0
No,50,65+,A,-112.26200433364035,38.46727388325725,B,E,B,-9.013037706985862,B,A,A,-3.8800326602536463,A,D,0
Yes,58,51-65,E,22.567371334271762,129.56853991664232,E,D,E,233.3045827964114,D,B,C,-7.044570345524384,B,D,1
No,71,18-25,C,40.744693825182146,-119.6781673414112,E,E,D,-90.30075618646252,C,B,A,-132.81947927799976,C,C,0
Non-Veteran,46,36-50,D,-260.4346125353463,106.75635225295883,A,C,A,72.12656878166972,C,A,A,-120.61063430717806,D,B,1
Veteran,66,51-65,E,1.169113116881609,138.922065895488,D,D,B,135.64818256603365,E,C,D,173.64292955017422,C,B,0
No,37,36-50,A,-75.12118786192514,-58.02969931434143,E,B,A,37.5488619665174,A,B,D,-29.94269678942591,C,C,1
Yes,71,26-35,A,10.870272832808269,167.2713675152666,A,B,E,-66.70663924843512,B,A,D,72.60093183018351,B,D,0
Veteran,39,36-50,D,76.94625942019417,-196.65009603740154,A,B,E,-154.41476816598015,D,D,C,-8.953649868827956,A,D,1
Non-Veteran,20,18-25,D,-73.15608836630541,122.79972856980646,C,A,A,-58.41672526024405,B,A,E,180.9001744122823,B,C,0
Non-Veteran,79,26-35,B,76.38753704976025,53.02410894913143,B,A,E,185.86629076425777,B,C,D,-98.44797016157356,B,D,1
Veteran,50,65+,B,-68.76108598563705,3.7903745476826214,B,C,D,-82.80631404449402,A,D,D,-65.97168953101303,D,A,0
No,23,36-50,A,151.38980158019208,-224.40810149665,C,C,E,-3.4434333952249645,A,A,C,-13.984296744992058,E,E,0
Yes,23,18-25,B,-103.21416045369509,-78.98599634311255,A,A,B,-123.88733618438692,B,D,C,42.14069648497116,C,C,1
Veteran,47,26-35,E,35.65218821402357,187.87031259172963,C,E,B,-16.240088364351305,D,D,E,88.49892164294275,C,B,1
