age_group,orientation,genero,Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
36-50,Heterosexual,F,Yes,A,B,B,A,131.75565491712976,-131.7523965836885,A,36.8451452266022,-82.83695561711485,-13.893894065998207,0
65+,Other,Non-binary,Non-Veteran,D,A,D,E,74.10099000085799,-3.449770579763263,A,11.257415467811555,-5.415746773351456,89.37055574002932,0
65+,Bisexual,Other,No,C,B,C,D,-73.89832637056264,61.17126807997988,E,-315.36671561148705,17.083964841524914,-24.767946739561257,1
36-50,Heterosexual,Female,Veteran,B,B,C,D,97.00098065429793,113.49857449608179,B,133.23255724084672,-192.20547387176322,-12.696902466293707,0
51-65,Other,Female,Veteran,C,D,D,D,56.78938735775551,-101.59137615710465,C,105.83894684763347,-25.44817220137954,5.581180728992401,1
51-65,Heterosexual,F,Yes,E,E,E,C,-50.59783121677627,113.24491708197057,E,165.4537675425152,53.37677922505054,-34.27199018854011,1
26-35,Heterosexual,Other,Veteran,B,B,B,E,-48.02663657317334,11.592327691968993,E,-123.97873074966037,97.92803907872327,-48.655149632127326,0
51-65,Other,F,Yes,E,C,A,A,165.2755419222593,45.36417403014161,D,28.075227730687857,3.7834428057631846,23.02732403509206,1
51-65,Bisexual,Male,Yes,D,C,D,A,-100.028818997246,49.59310604145053,B,7.618157498636298,-134.1529569679892,-7.195489356227933,1
18-25,Other,M,Non-Veteran,D,E,D,B,-91.93096058296118,129.2823679825183,C,97.91020831429563,-77.7852130598523,162.97044303339723,1
18-25,Heterosexual,Male,Non-Veteran,C,E,C,B,68.05089190642303,26.08247737485541,A,-119.48236529609588,43.58086591843829,-133.879843044902,0
18-25,Homosexual,Male,No,A,D,E,E,38.08464633120283,-55.60169950373849,D,50.9888608032804,-18.790186701302,37.65474233127243,0
51-65,Homosexual,Male,Yes,D,B,C,A,-99.4554612853564,-81.92777515386352,D,-126.33037531748958,-7.316090377589123,114.83580572070132,0
65+,Heterosexual,Non-binary,Veteran,D,B,B,E,97.56400936134895,-84.62298472110068,D,106.61808966544211,-171.21812757074113,-166.2930345632858,0
18-25,Heterosexual,M,Non-Veteran,A,B,D,A,-141.52519292235442,132.2639165713597,D,-7.1505773923522105,0.9514869165387223,-203.02990426193733,0
36-50,Homosexual,Male,No,C,D,E,B,158.07998911205482,178.8158615067487,E,-138.64970020909453,5.721488145467106,140.0536352985984,1
18-25,Other,Non-binary,Yes,D,D,A,C,-65.96989914386802,-121.51750785724718,D,-17.712998154578585,37.35534643198401,-135.25189455788293,1
26-35,Bisexual,Other,Veteran,E,E,B,C,-26.600547862003637,-98.2528007017298,C,-28.93430056886897,-116.93659480607272,-52.76147672369208,1
18-25,Homosexual,F,Non-Veteran,A,B,E,C,-46.706975783509584,222.69449351812986,E,8.758361964070497,-34.841061385572665,-182.94005097410846,1
36-50,Heterosexual,F,No,B,C,E,B,-90.78398745986091,58.96070805576139,C,-86.87741710157877,-122.65364663908443,49.268083822700795,0
36-50,Other,M,Yes,B,E,E,A,-187.59643543847451,177.84353548569695,A,-75.03167863437562,109.67563074667628,-15.408729749437189,1
26-35,Heterosexual,Other,No,E,C,C,B,-36.616657182810876,28.410604173119104,A,77.5846099662735,44.38986231140634,14.261279598887356,0
51-65,Bisexual,F,Veteran,A,D,D,B,58.7194508654301,238.04261522230843,B,121.30918719280169,1.4114690451837528,28.84457936368105,0
51-65,Bisexual,Non-binary,Veteran,D,C,B,E,-70.75614258390847,164.9893733709372,E,11.81748966286653,-55.79106608539362,6.7092258641689,1
51-65,Other,Male,Veteran,B,A,D,A,78.3788863341363,-40.13111841565827,B,-136.4078143924939,-30.387700260899113,43.57748334460737,0
65+,Homosexual,F,No,A,D,B,B,136.36116282554826,8.612565788586265,D,-57.96766055391892,121.33854769310763,-85.07589030088997,1
18-25,Bisexual,M,Non-Veteran,A,A,D,C,113.05869278029763,-76.73700246878184,A,57.884874173862244,35.16549049122829,28.720357960731086,0
36-50,Homosexual,Non-binary,Yes,B,D,C,B,57.92819375099337,-128.4128533805324,E,99.17001454612847,-12.787392897453065,-153.4540323935599,0
51-65,Other,Non-binary,No,E,B,A,E,-55.481037081219085,-15.8287434545899,D,-34.74201423969369,-76.4638124933954,185.07412740493493,0
36-50,Homosexual,F,Veteran,B,E,B,D,-3.8954071824102403,-57.76043685013077,D,41.52215302873336,-308.39279403830824,-30.27091191799191,1
65+,Bisexual,M,Yes,E,C,C,C,65.27988943624472,-31.11040578476721,A,22.14931773817481,-26.02878283802612,-82.75314217758003,0
18-25,Heterosexual,F,Veteran,B,B,C,E,-40.60092166914707,157.61061751621358,B,119.28614724409074,134.5833479355616,-70.44897630578158,1
18-25,Heterosexual,Other,Non-Veteran,C,A,E,A,-195.3529459921184,121.83992418677818,D,-73.68057144200122,62.095601677350274,160.81536285986365,0
51-65,Heterosexual,Non-binary,Non-Veteran,A,E,E,B,-40.851430087140464,4.536154811551476,A,11.644782662220175,-183.88075555781677,103.23082375065876,0
65+,Other,Male,Veteran,D,D,E,E,-146.91718019095623,39.124569388297544,E,137.91399689880376,74.7221288284263,-70.04462524580296,0
18-25,Heterosexual,Male,Yes,E,E,C,B,-3.897385925655598,56.43320610004792,B,-33.57997027309416,44.15157416235388,147.05524083109512,0
65+,Other,Non-binary,Non-Veteran,E,D,C,D,58.034556285477315,115.02309591368136,B,-26.270082846492425,16.325520345771455,16.133628641531573,1
51-65,Homosexual,F,Non-Veteran,D,A,E,D,24.291414148531253,-13.240054434793777,E,5.321380434787575,-39.184023745904504,-45.69640350950807,1
51-65,Homosexual,F,Veteran,A,E,B,B,28.83954445872593,117.39930574356458,B,-96.5315283187432,-48.237234805383736,2.411472270260426,1
51-65,Homosexual,M,Non-Veteran,C,C,C,B,-70.86031930868127,19.917965554963814,D,-77.05960676421978,-183.5968575222317,202.95826012084035,1
18-25,Homosexual,M,No,B,A,C,E,22.9749332262318,41.322086807681224,C,36.95608970141938,76.44342451106711,-47.08794319472467,1
36-50,Heterosexual,M,Non-Veteran,D,D,E,B,76.86467343912507,168.00387367837286,B,54.319310027478885,239.37904819176282,15.688022380756768,1
36-50,Homosexual,Non-binary,Non-Veteran,A,C,B,B,-50.91548769741758,9.866896437032013,B,-5.867889396568564,127.40219386451481,111.37146028339096,0
36-50,Other,Male,Non-Veteran,A,E,C,A,-57.17445855708255,-146.64535998889673,C,-97.01149035599171,112.83654056847034,78.02583885662528,0
18-25,Bisexual,F,Veteran,C,E,A,B,-37.017231607260754,260.2267154889388,A,-205.06254782764208,56.77322776396855,118.1895719018834,1
65+,Other,Female,No,C,C,E,D,197.22161253837768,0.09112794491876505,B,22.94191405122588,-77.60105391459514,59.70995053358451,0
36-50,Bisexual,Other,Non-Veteran,D,B,B,D,44.846842758271826,49.325552379566254,D,147.14275678766907,19.268341877045355,87.25259304073106,0
36-50,Homosexual,M,Yes,D,C,C,D,-93.90939428925206,35.80489918425408,A,139.41162557830157,-125.21606862845516,123.98953154557606,0
36-50,Other,Male,Veteran,D,A,E,E,-26.22596584236757,191.2525614278294,E,98.44260938177791,-15.591512419178752,-62.05664014216126,0
65+,Other,Other,Yes,B,D,E,B,5.571512225032986,85.34338994222519,D,-157.51501602054788,15.599905626945947,-83.82214277584046,1
36-50,Bisexual,Other,Veteran,A,A,B,A,-13.220311043430735,54.585363285094445,E,-126.38244021875944,60.138691808018606,-75.72682740395675,1
36-50,Other,M,Yes,E,C,C,D,122.80762477901361,-67.73812425606728,D,155.97130928783994,-89.7556203863486,44.1348992770047,1
18-25,Homosexual,Female,Veteran,B,C,A,C,15.463467750993608,-68.87407290116387,B,43.8536200736252,5.9651862446585024,-93.33230987904972,0
36-50,Bisexual,M,Veteran,A,C,A,B,-20.775188814212143,145.34136796918483,C,165.99059133072763,209.57751860800548,18.481912298635766,0
36-50,Bisexual,F,Veteran,A,C,C,A,-63.74720189517271,-27.529069189935555,B,71.11244164993755,7.892015928957541,-83.49205199901193,0
36-50,Homosexual,Male,No,B,D,E,B,119.3188099781306,-20.14222961797506,C,121.16261921353019,12.007404755929317,-104.2462367990671,0
18-25,Homosexual,F,No,C,B,D,C,-147.08200232393312,-105.12692034764537,C,-71.79496080761358,-14.827432588843795,-110.38466294835123,0
18-25,Homosexual,Female,Yes,C,C,C,E,-139.88732978828105,-26.4944321430263,D,-101.95725000079827,-10.426995367312875,14.722733276984739,0
18-25,Homosexual,Male,Yes,C,B,A,C,11.062977023927806,76.30637797335645,E,-176.9098166714511,44.32873618415212,-13.63540794495697,1
51-65,Other,Non-binary,Veteran,E,E,C,B,-15.910786141060326,10.588287053885534,B,175.70014951690524,-33.467132133718884,7.983794870904751,1
51-65,Homosexual,Male,Non-Veteran,A,B,E,E,-58.14950394593544,61.28078856752317,C,-162.1683031595712,-103.75707919605634,51.95173997439312,0
26-35,Homosexual,M,Yes,E,A,C,B,-44.230418536940476,-64.56231464504253,B,-158.48288058295296,-238.23028541875843,-135.43592567139368,1
18-25,Heterosexual,F,Non-Veteran,E,A,E,A,-52.09169406682095,51.704220200084535,D,-44.76355048888614,107.93220332283727,-123.9650408482716,1
51-65,Heterosexual,F,Non-Veteran,D,C,E,B,-136.67545097593302,-36.17847364260066,D,109.62926363200512,121.5758817394278,-10.570701267835018,0
51-65,Homosexual,M,Non-Veteran,E,A,C,E,-131.3376817035626,220.1372297344363,E,35.6046259068145,-4.377654483830941,51.627763823925044,0
26-35,Other,Female,Non-Veteran,B,B,B,C,99.11425205209845,179.3987569531676,E,36.91497792165849,-44.72477470179416,-121.89590523823817,1
18-25,Bisexual,Other,No,E,C,B,C,127.0474293332819,-45.89713381849164,C,-86.72901475746642,-114.17080884129464,62.70790912025711,0
26-35,Bisexual,Non-binary,Veteran,D,A,E,C,131.19525015817595,-137.35102450211377,A,-72.67835572804057,-59.640496465811275,42.61731786833045,1
51-65,Other,Non-binary,Veteran,D,D,D,D,28.348477375172827,87.52390729391213,C,33.125716583467735,-83.67804100108667,-118.19423287014217,1
26-35,Bisexual,Male,Non-Veteran,D,B,A,B,-24.14375959221863,-168.25818158185203,E,316.45828811107776,211.2361344847544,-8.683212257468895,1
65+,Bisexual,M,Veteran,A,B,E,A,-40.26402105707368,161.40691952075136,A,0.13125427809387744,146.2102833528151,-10.737497171743826,0
18-25,Bisexual,F,No,A,E,C,E,-11.333667569529801,-168.64388695858645,A,-118.18033287889055,1.0569542950575133,-267.2390925064362,1
36-50,Heterosexual,M,Yes,A,D,B,A,-24.81633266209812,-103.00442525236977,C,11.71399087602509,34.39648922497549,-4.660851541131246,1
65+,Heterosexual,Male,Non-Veteran,A,C,A,E,-178.27233862744293,183.6729579431587,A,-16.148385483433067,34.16508858307173,-56.55301325416626,0
36-50,Bisexual,F,Non-Veteran,D,C,B,C,-184.29200507941502,97.18563716654273,C,88.82775593649636,-145.8391290946368,-78.51890554133341,1
36-50,Homosexual,Other,Veteran,D,A,A,D,-37.61509116475396,-88.01874594312501,D,21.420334763603964,-19.083895230153953,-52.459382887626795,1
65+,Heterosexual,Other,Yes,A,D,A,B,14.485653508752074,13.7531983808211,B,-33.229418929729505,-118.34157183576568,-51.96337636892201,0
26-35,Other,Male,Veteran,E,E,A,D,69.29931233603315,56.324546722412094,D,144.00847400819526,16.837274990174418,-38.765078148363195,1
18-25,Bisexual,Other,Veteran,D,C,A,C,117.85925174770226,138.54209045057445,A,-55.28628213540529,64.68964939146983,1.8759468888202326,1
36-50,Heterosexual,F,Yes,D,D,E,D,-106.32364512071781,-125.45945594042587,A,-34.524894102214255,45.58001359761094,-100.4374138145987,1
65+,Bisexual,Female,Non-Veteran,A,E,A,C,-9.079465285320492,23.76022083819906,E,-30.812868567232847,14.162001183519932,-33.927854002342876,1
51-65,Heterosexual,F,No,E,A,E,B,166.97188547382544,98.7048013232874,A,39.96677854314459,24.989637523205815,-51.097587537107415,1
36-50,Bisexual,Female,Veteran,E,C,B,D,212.98435613232917,-62.95864366321313,B,-177.33706884391992,32.554558351052314,-87.62342663498004,1
36-50,Other,F,Veteran,D,E,D,C,-130.6655715704167,-27.870436002550562,B,-182.54843099374293,59.10209855999471,-132.99560972581753,1
36-50,Heterosexual,M,No,A,B,B,A,-107.77565211875391,141.3048019731605,D,107.95056034734327,35.347596834719674,7.026643316073051,0
65+,Heterosexual,M,Veteran,A,D,E,C,79.01710194221691,65.08068168634195,A,-52.88132482649962,-94.83273007129216,170.6188329419569,1
36-50,Other,Non-binary,Non-Veteran,B,D,A,E,-74.17597210061787,109.85177840484108,D,-47.71212601084151,32.17203407578103,-6.242636588057573,0
65+,Other,Non-binary,Yes,C,A,A,B,-153.51825308173207,-2.758152138317557,B,-155.2650949698556,20.73847739552382,-237.82813063293796,1
