veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
No,134.36142520208833,A,-20.88830318396103,E,-58.14395464957449,D,E,B,E,B,A,0
Yes,5.039654605351682,E,-2.5142512069083622,D,-53.529940244355004,B,B,A,C,A,A,0
No,29.9868485862001,E,-145.84665982987863,C,-19.2429523686555,E,E,B,C,A,E,0
Yes,-183.27343147481687,A,-12.643348324953752,A,123.50265955043808,D,C,D,E,D,D,0
Veteran,-8.167468372762015,A,12.593645297273792,B,41.35202548240737,C,B,A,E,E,A,0
Veteran,60.99990979139562,A,38.19874737341256,B,-165.79756237147765,E,D,B,C,B,E,0
Yes,-61.42370859424874,B,-100.78610583344091,A,27.599619802803176,E,C,D,C,C,B,0
No,145.07588667801988,A,39.239723788069846,E,-54.62990671881111,D,C,A,E,E,C,0
Veteran,-7.775816759877359,C,-27.50693317712973,E,-38.882784599950945,A,A,E,D,D,E,0
Non-Veteran,-125.10334985973066,B,55.28864289424429,E,-4.574121728523071,D,E,C,E,E,C,0
No,60.78546186320462,D,22.513885449632113,C,-31.96323712632881,E,C,D,A,A,C,1
Yes,30.19028669177544,C,213.48154102128927,B,-86.53721207285203,A,E,C,C,C,A,0
Yes,-147.1194851197256,B,-120.41873253396744,D,-84.26437526164726,A,E,D,E,B,A,0
Veteran,189.57096147138338,C,-116.35176318320973,D,32.00706356699003,A,E,E,C,C,E,0
Veteran,-14.250856142406718,E,-76.09321478730564,C,-35.689190847396155,A,D,D,E,D,A,0
Non-Veteran,44.17923730874564,B,-128.53525444477137,C,-36.78929567813678,D,B,D,C,D,E,0
No,-52.583824878513596,D,-48.092967456272355,E,67.45193008674173,C,E,E,A,D,C,1
Non-Veteran,-164.7194545406165,A,-78.17908536611468,E,11.321075462490175,A,A,C,C,A,E,0
No,-24.496711798009223,E,69.66697045250918,C,364.46658925783976,E,D,B,E,C,E,1
No,40.56551531254695,D,8.269887718780947,B,61.45163121787197,E,A,E,E,C,C,1
Yes,-66.96681247418633,A,183.35924161785917,C,52.02960844150751,D,A,B,C,C,E,1
Veteran,-69.49826732342737,C,-167.49902658154713,B,94.58827826926796,D,E,E,C,C,E,0
Non-Veteran,-123.93512222465442,D,-42.03960221869683,D,52.82625575490522,E,B,E,E,A,A,0
Yes,21.090889223004194,B,57.10874626789965,A,32.73953857054072,E,D,C,A,C,A,1
No,-92.89633051102975,A,36.26237581343913,D,-93.41142608190722,B,A,C,E,E,C,1
Yes,-138.40273045672703,A,22.424640464897696,C,31.524251084437317,B,C,C,B,D,A,1
Yes,-241.59475741886806,C,-72.91218426991031,B,-48.10686878190859,D,B,C,B,D,B,0
No,24.726374864155552,B,13.15033889363896,C,-70.81649526024796,E,A,C,B,B,B,0
Yes,-133.45548448370243,A,-66.769719156966,E,15.97839795126315,E,D,A,B,B,B,0
No,40.308721944819716,A,-58.67067903922324,E,145.38578596200068,B,C,C,B,C,D,0
No,-184.6474544292827,A,-64.03107702341536,E,-83.11232220269932,E,E,E,E,A,C,0
No,76.97983283837641,D,-34.628980200787495,D,235.6997356902383,C,D,E,D,C,A,0
No,58.83064851027503,D,-112.38461556814572,A,-180.13000948818456,C,E,D,C,D,A,0
Veteran,87.43749245971557,B,-70.34815773887519,A,37.821779226796934,D,C,A,E,A,D,1
No,-101.04130616730819,A,-76.25257052153907,E,126.80620577598087,A,A,B,E,D,A,0
Yes,69.59072054872549,A,-105.71885634397498,D,63.098746644907614,A,D,D,C,D,C,0
Non-Veteran,-120.53805035800906,B,32.30333268635944,E,109.3807165090006,E,E,A,A,A,C,1
Non-Veteran,-37.45164277980064,D,-41.38748387846906,E,-117.72506930824684,A,C,A,E,B,E,0
Yes,-99.77491354238327,C,125.3056182409213,B,217.08804103081007,C,B,C,E,B,A,0
No,-77.12747592161674,A,22.797996581409247,D,111.6258879147215,E,C,E,E,D,C,1
Veteran,-44.975040279126624,C,-57.0854976633926,E,77.87837754879862,C,B,C,A,B,A,0
Veteran,35.18042373762339,C,30.11316052403627,A,70.87079586211135,A,E,B,E,D,B,1
Yes,-167.87181324987665,B,10.546548105851603,B,-102.39022766563824,E,D,E,D,B,C,0
No,30.0560643001497,A,17.19481391415572,B,128.44153264119268,D,B,B,A,C,A,0
Veteran,-122.8009624121628,C,-138.7876557304148,A,52.02566623573131,C,A,D,D,E,A,0
Non-Veteran,-98.55930832168002,E,6.446568650394603,C,-100.94210539542077,C,B,A,D,B,A,0
Non-Veteran,-5.405437187281832,A,-71.22952408058303,D,62.70456452073289,B,A,C,C,D,A,0
Yes,-112.16381853951205,A,42.80722714686889,C,-40.40426883601202,A,D,D,C,E,A,1
Non-Veteran,53.630254273688514,E,-110.23774642436133,A,14.864345750234662,A,C,D,B,C,C,0
No,-135.70464153850133,C,39.70053460458624,E,38.65556616899604,A,C,C,A,B,B,0
No,-42.94120469717735,A,-8.328319009092523,D,127.91440995796141,C,C,C,B,B,E,1
Non-Veteran,-101.86573324192216,B,138.82587491651583,C,-90.03676404258124,D,D,A,D,C,B,0
Veteran,-50.4487956123692,A,-65.86399525618135,B,-22.86449843786473,D,D,A,B,D,E,0
Veteran,-119.04605212615762,C,11.643960804355677,C,-72.37523457475336,C,D,A,D,B,A,1
Veteran,-1.3320452870370463,B,-41.0694314959968,A,227.55915257102944,D,B,B,D,D,E,1
Veteran,24.70171934761441,B,178.143714248937,C,-65.65416435224853,E,A,E,D,B,E,0
Non-Veteran,38.26421149051669,A,59.78503495721095,C,37.24787740958886,B,E,A,E,E,C,1
Veteran,30.393659908905157,E,133.48086661262118,E,38.40647858154257,B,B,A,B,A,A,0
Non-Veteran,-88.59311701342509,D,-144.92923848709802,C,-75.29670734750925,D,D,C,B,E,A,0
No,28.47284569934818,C,-0.25767159452133875,C,-21.335876657148845,B,E,B,D,B,E,1
Yes,-7.819795548965133,A,-80.81987000677455,C,-233.26786932050058,C,E,A,A,D,C,1
Yes,63.96828899452689,D,91.49920744671498,A,16.73645994675366,E,E,D,E,A,B,0
Veteran,161.3001377508451,B,-107.2862862543409,E,-14.10193347633969,B,A,B,E,A,D,1
Non-Veteran,97.06418046548882,A,110.44713625186453,D,-50.57975007454463,C,E,A,C,D,E,0
Veteran,-154.02041014289142,B,-117.15915099189178,B,22.677016447012893,A,D,C,D,E,B,1
Yes,-79.45367858400091,C,-109.96826797957428,B,-58.34706196798507,A,A,B,A,A,C,1
Non-Veteran,-66.31762271664748,C,20.238716859866045,D,41.495054002568374,D,E,C,D,C,C,0
Non-Veteran,63.695800692891034,A,217.00325969825448,B,-150.2377292032134,A,A,D,B,B,D,1
Yes,203.82337989636653,E,-23.642588354998377,B,-10.803987246329394,D,B,C,C,E,C,1
Yes,-12.781761451548185,E,-220.33401076321258,B,65.0794212519981,E,B,D,B,E,C,1
Yes,-71.94181867979268,A,-120.5454939830011,B,-50.70998093804751,B,C,B,D,D,C,0
Non-Veteran,37.46911850125642,B,-5.833111952539145,B,84.9403110230878,B,C,A,B,B,C,0
Yes,-94.37370738983958,E,-83.61867325819087,D,9.799705140691875,C,C,A,D,B,E,1
Veteran,27.65068216927239,C,51.929055162301786,E,-89.8861536175103,C,B,D,E,E,C,1
Yes,-78.09414417752068,B,133.3434753588286,D,-41.97157117298773,D,D,E,B,A,E,0
Non-Veteran,6.272794065318293,A,-260.897494658638,C,-59.20821468424747,A,D,C,D,E,B,1
No,-75.44475157714702,A,-89.65753947660959,E,122.29161660795475,C,D,E,A,D,D,0
Non-Veteran,-74.15875888110341,A,-31.506994885031947,D,68.63209373274954,A,C,A,B,B,B,1
Veteran,60.75264801580587,D,-2.9539245053726257,A,252.3513466541297,D,B,E,E,B,E,0
No,-166.86172541181884,A,-104.83598255175647,C,42.58898084451662,B,B,B,B,A,C,0
Yes,37.74424648124219,A,-106.6050833396854,C,87.04746240142737,B,C,B,B,E,A,1
Veteran,33.97090317369741,D,-35.92497676649458,C,6.122227838027565,C,C,D,E,C,A,0
Yes,77.30715122196366,C,67.74992992008502,B,-13.69990862190095,E,D,B,B,B,E,0
Veteran,-85.7276559900091,B,-43.91729912201467,E,99.10028725587243,A,C,D,C,C,D,1
Veteran,-0.8918001614556742,C,151.1737306840639,A,-102.3375614745583,E,C,D,A,A,B,0
Yes,34.8686468714756,A,43.54736759263515,D,-47.78840025397758,B,B,C,B,D,E,0
Non-Veteran,-4.775327688369663,A,59.1941404397717,A,-99.66786701655694,E,E,C,B,B,E,0
Yes,-299.5323909342709,E,-145.27663250517168,B,163.74389267245493,C,D,A,B,E,D,1
Yes,-38.26221159408942,C,11.428623514797094,E,-22.80713054372205,E,B,E,B,E,E,0
Veteran,63.179903041213905,E,-80.1965950483043,E,-99.77554562659698,B,A,A,B,E,E,0
Non-Veteran,41.491878060974294,E,64.77050556754385,E,-3.17376917826731,C,B,D,B,D,E,1
Veteran,54.014269476190314,E,-2.9447842520652747,D,143.86146364394742,E,D,A,C,E,E,1
Non-Veteran,-220.5014914756892,A,55.10364169104501,D,175.5220531846173,B,A,A,C,C,E,1
Veteran,-59.42679483473604,D,-68.65387308196847,E,-85.31105462536952,B,B,D,D,D,C,0
Non-Veteran,45.51566481846752,A,73.47818334800216,B,49.172068552813954,D,A,B,D,D,E,0
Non-Veteran,29.9192473645724,D,-40.16991719822034,C,-30.245962293632534,C,C,A,D,B,B,1
Non-Veteran,100.94275069372665,C,-46.545377995573354,B,54.01134334344062,E,C,C,B,E,A,1
Veteran,-87.47013413363402,C,138.93731725885087,B,-172.0300601827252,A,D,A,D,E,C,0
No,-122.73041663277546,B,-7.156573277939564,C,-7.8546931800095425,B,E,C,A,C,D,1
Yes,-12.95894120230081,C,-98.90908587389781,B,44.700986908455945,E,E,D,E,C,C,1
Yes,-39.29557405057458,B,52.167707216720196,A,-76.15151118403215,B,B,C,D,A,B,0
Veteran,91.93402836909085,C,-61.76412135464362,E,-87.03779292262695,C,A,B,E,E,B,1
No,139.73264528079255,B,48.53850422213448,E,-162.17471896732826,A,D,E,C,D,D,1
Non-Veteran,-124.72859127692175,E,82.24949895809605,D,5.827733671886471,E,E,E,D,A,C,0
No,17.867255053290013,B,23.28981472987938,A,183.40170694846154,B,C,E,E,B,D,1
Yes,-157.9471378786744,C,72.83261979719872,B,-37.265121765918636,D,C,D,B,A,A,1
Non-Veteran,76.00494296119395,A,-16.391586765910386,A,19.70152835321441,A,C,E,A,B,D,1
No,125.2945346675533,A,26.65179223265647,E,8.674757778019314,C,B,C,D,B,E,0
No,55.405133499204794,A,-86.03726047732896,E,-84.34600798689652,A,D,D,B,C,A,1
Veteran,42.27831741516784,A,74.71808090725034,B,262.7791022527301,E,C,E,B,E,E,1
No,-57.85370575756825,C,0.11148578782426186,C,193.47749171011185,C,A,E,E,A,D,0
Yes,-71.29704164849787,C,-78.80827502509189,B,-80.70902983888342,D,E,B,A,C,D,0
No,-9.852432681420781,B,69.18720898303661,E,93.88337869032414,E,C,E,D,B,A,1
Non-Veteran,21.2348904887698,E,30.257309012151744,C,-1.8272566759849946,E,B,C,D,C,E,0
Yes,-23.046430408371894,C,-42.6483323547176,B,-114.946139981612,D,E,E,B,B,D,1
Non-Veteran,25.01337714459365,D,-115.783473543558,E,-181.9082563872136,E,D,E,E,A,A,0
Yes,41.06902864807588,E,-10.656212309306376,E,70.22996983977532,B,D,A,A,E,D,1
No,130.03148001418094,E,30.819568483853278,D,-37.12127943227133,B,D,A,E,D,D,1
Non-Veteran,-219.50318028757582,D,23.37026748115474,D,-161.6838237312672,D,D,C,A,B,D,0
Non-Veteran,-56.3245955066151,B,157.11896274596364,D,-83.66876427106591,B,B,C,E,B,A,1
Veteran,81.39688973225965,C,-21.60030187687716,B,41.04080648705411,A,D,D,A,D,C,0
Yes,-69.15228837069773,E,98.17205794783081,E,130.72886156932185,C,E,C,C,C,E,1
Yes,-0.870615616455159,A,62.11662205480809,C,-29.640638047094498,B,D,D,B,D,A,1
Yes,-39.97405869633705,D,-35.55261010943177,B,-55.92346983042141,A,D,A,A,D,C,1
Non-Veteran,77.49958941993333,B,79.39795022977636,E,-24.031167466869324,B,E,A,B,D,C,1
Yes,105.3955661511661,A,-82.48799707033776,D,63.005772892707846,D,D,E,E,B,A,0
Veteran,-49.056144354908355,E,-93.42420231832465,E,67.62312830062812,A,B,B,E,C,B,0
No,185.2854770493687,A,-94.56689772573901,A,-161.30706993019132,D,D,C,D,D,E,0
Veteran,9.132851361580533,A,17.744636352910245,E,2.546325142319456,D,B,C,D,B,E,1
Non-Veteran,-131.2480968283307,B,146.19537046964857,B,108.95370208975498,B,E,D,B,A,E,0
Veteran,97.34321801103748,B,-74.96818512425999,B,-26.47440979013102,D,D,E,B,C,E,1
Veteran,36.74887691396275,C,-46.44332637609465,B,-91.61385159047902,B,C,B,C,E,D,0
Veteran,-42.70502982464049,A,-57.05785547508297,E,-85.51226281388674,D,A,E,D,D,D,1
No,55.43427838295402,B,-47.61804575469583,D,193.64824930244546,B,A,E,D,D,A,1
Non-Veteran,-235.1853773800099,B,124.23800507031468,D,34.5214622656438,A,B,E,E,D,B,0
Veteran,-25.236441267420446,A,-45.21915574601397,A,-26.860624163543473,E,A,D,D,C,A,0
Non-Veteran,-76.51636056634685,C,-63.7100343219322,A,7.479977929263059,A,C,E,D,D,C,1
Veteran,-9.833638296945733,D,42.21496229730867,E,-29.769549493702673,D,D,D,B,C,E,1
Yes,-232.99670405263763,D,18.163173188362112,D,-90.31421624577702,C,D,E,C,E,C,0
Veteran,-32.750438448527206,B,228.17830902582088,B,87.55755284532951,C,D,C,B,E,C,1
Non-Veteran,-55.8816317112591,C,217.85439431786838,B,18.028371323120563,A,B,A,D,B,A,0
Veteran,226.03688578923644,C,42.365220805657714,B,7.05185138247177,D,B,C,B,B,C,0
Yes,-121.37545572015631,C,144.0955773044748,B,-26.575557648313314,D,A,B,E,C,E,0
Veteran,41.89685770417994,C,82.63678380199943,B,-133.20768019334224,E,A,E,A,C,E,1
Yes,-127.65730194139131,B,-153.44267707502524,B,47.666909695734994,C,B,C,B,C,D,1
Veteran,-168.10460273996298,D,-71.64439094903186,C,-6.032968255880385,A,C,B,C,C,E,1
Veteran,-95.78979013603266,E,6.098097085811373,A,46.586917596304666,B,C,E,A,C,B,1
Veteran,57.831150711415106,B,-14.59911536525853,A,50.16576547789842,D,C,A,D,B,B,0
Veteran,35.44592272951147,C,-56.570040996761115,E,11.532409216112237,C,D,E,A,B,E,0
No,0.9230291701450122,D,-116.17429930619905,B,22.52038458238437,D,B,D,D,E,E,0
Yes,143.69885305979494,C,-20.589914281275277,A,202.6226599577,B,C,A,B,E,D,0
No,66.06783510662162,B,-87.61552702214308,C,-69.80547372012994,E,D,D,A,E,D,1
No,-45.404624186648945,C,-125.51914381342262,C,-64.64858662962392,B,D,E,B,B,E,1
Non-Veteran,2.814180142782339,B,179.74092624721573,D,28.478391201100557,D,B,B,C,A,D,0
Veteran,20.444538683709247,E,23.724455954504762,B,-53.68124524089893,D,D,B,C,D,E,0
Non-Veteran,88.99819292246019,B,75.55653670293178,D,-17.307002601947023,E,D,D,B,D,A,1
Non-Veteran,-4.9269763465236895,B,117.0028397390938,C,70.77895752452396,E,D,C,A,E,B,0
Non-Veteran,87.07093229931655,A,-31.935401159653843,D,87.86445997039966,D,D,E,C,E,E,1
Veteran,242.71093833988965,C,-148.57462317324243,E,163.84472463966085,A,E,B,B,D,A,1
Non-Veteran,-139.68339866530394,B,44.0526863258921,D,-41.00966759475976,C,B,A,C,B,E,0
Non-Veteran,88.88789834309797,C,102.55578905034375,E,85.82655946320634,A,C,C,A,D,C,0
Yes,49.82652424689205,C,63.50429496307356,D,-110.88532755516634,E,D,A,E,A,D,0
Yes,-86.76110552341326,D,-159.89145867479021,D,43.09071495657772,E,E,B,E,A,B,0
No,112.42390616718309,B,46.18045984406983,B,-83.6442043646994,C,A,E,A,A,D,1
No,-142.7449322599663,E,256.8544262363003,D,7.330576124192453,C,B,D,E,A,B,1
Yes,-66.4780404666943,B,0.9802564835929123,B,-283.6397464846108,D,B,B,E,E,E,1
Yes,90.30534706848333,A,-40.11043052424831,E,-199.70622577500555,C,B,E,D,A,D,0
Non-Veteran,24.050974712514773,A,-91.14883520228607,B,28.03828702364079,D,E,A,D,E,E,1
No,-143.9581206312909,D,144.5572374148515,E,14.149021337399878,A,D,E,A,B,E,1
Non-Veteran,21.593991030215264,E,35.985925619228084,B,17.312481777180473,B,B,C,D,B,E,0
Non-Veteran,11.245935536726515,D,17.38394788051677,D,16.001853626804436,D,D,A,A,C,B,0
No,-99.33378421400421,D,28.200375227657215,A,-48.60966754762481,C,E,B,E,B,D,0
Non-Veteran,117.81182848326499,D,-32.61689482814097,C,-134.53257905811847,B,C,B,A,C,A,0
No,21.074570540438934,E,-76.87086258517093,B,-77.27705770025301,D,A,A,B,C,D,1
Yes,-289.72562601300274,C,-78.86958143584354,C,-59.86902707386555,D,B,B,C,A,A,0
Yes,16.898604736920333,B,-169.94326497342774,C,-40.406006512489554,E,E,C,D,A,E,1
Non-Veteran,-44.95899634494974,B,-131.5713942980486,E,-131.28387585898184,A,A,B,A,E,E,0
No,-38.08236549730459,E,-131.94162464186633,B,-58.210165808029124,D,B,B,D,E,B,1
No,-10.222072755848451,D,-1.0898571787050444,C,-21.33257964877818,E,E,A,E,C,A,0
Yes,-35.88857506237804,C,-196.0182082143125,A,-70.69800539868814,B,A,E,C,E,A,0
Yes,230.02269385904964,A,-54.500435797298366,A,-8.243792453131299,C,C,B,E,D,B,1
Veteran,-33.9597649151808,D,213.95437925759865,C,-6.747556403518804,C,B,A,E,C,B,0
Non-Veteran,21.617165147461275,C,-72.09505849836056,C,-137.3147457817464,B,E,E,B,C,E,1
Yes,21.08823984145368,E,54.87096752507471,C,65.3345962666164,D,C,D,C,C,E,1
Non-Veteran,-70.56446043411088,D,-67.85829092666386,D,84.0289156630062,B,E,A,B,B,D,1
Yes,72.14665719142545,C,-10.859345039894924,C,-43.15505020526554,D,A,E,B,C,B,0
No,-121.14790352791348,B,81.03241470682731,B,56.13062966207628,B,A,E,D,B,E,0
No,77.54965013716965,B,135.86023071720084,C,77.80313343020494,A,C,D,B,B,C,0
Veteran,-21.49850075903213,E,-28.094638687071672,B,65.05818439184867,D,D,B,E,E,D,1
No,136.1193795952452,B,-120.00733893251375,C,-187.5376112670778,D,D,C,B,B,A,1
Non-Veteran,-11.077231499165741,A,-75.92564315003543,D,-44.24990250616532,B,A,A,A,A,E,1
Yes,-69.00089091112159,A,-89.43480324811178,E,149.73160265671598,D,E,A,B,C,D,1
Veteran,21.177936659382596,B,92.2968955568556,C,-56.92248073140838,D,B,C,C,A,D,1
Yes,112.0931379897683,A,-90.81816816445587,C,-99.0258718021367,D,C,A,A,A,B,1
Non-Veteran,63.779868588561094,C,176.02762667465524,A,68.18214934374505,B,C,E,A,E,D,0
Non-Veteran,113.50500560752785,E,-14.6532011597981,B,33.530956494408954,C,A,A,C,A,C,1
Veteran,111.85998567728197,D,84.22147691727663,E,-60.67848110428703,E,A,E,A,B,C,0
Veteran,134.43099751085782,A,49.06277432366582,A,7.216756902477547,E,B,B,D,D,C,0
No,-67.2366060357423,B,52.205575793545655,D,120.63718155700434,A,E,D,C,E,E,0
Yes,75.26805584811486,C,-13.853433144770172,A,-39.893581402169296,C,B,B,C,A,C,1
Yes,-3.1596228632799526,D,-85.02495675383113,E,124.39261915883328,A,B,B,B,D,E,1
Yes,-19.293350218681372,E,-17.582607939988485,D,83.67800294165623,D,D,E,B,D,C,0
No,-8.859627389054388,D,-150.58031950410003,C,69.70064643459078,D,B,B,D,D,D,0
Yes,19.798166561333723,D,-56.53143372279968,B,7.146183044620336,A,A,C,A,D,C,0
Non-Veteran,171.3613978455076,A,96.98501965221489,A,186.5168712284813,A,B,B,C,B,C,0
Yes,-2.813511081728904,A,47.35175426734711,A,-51.485758013632534,D,D,D,D,B,E,1
Veteran,-116.63895427680254,A,-79.24534162296364,A,-8.671722726866275,D,B,A,C,B,E,0
No,100.90936030446147,A,-14.907951371353992,C,-1.7339561908807262,A,A,C,C,C,A,1
Non-Veteran,-92.4705700663516,E,-1.5180076259626056,B,203.98478669435622,D,D,B,E,D,A,1
No,-46.31969981995863,A,160.8067631664384,A,75.51415019392422,C,B,B,A,B,A,1
Veteran,-23.2320742984201,B,-75.67809188756642,E,-21.35803511657529,E,D,A,E,A,C,1
Yes,10.588071947680898,E,-84.17954656666092,D,-60.902053053789594,B,B,A,D,A,E,1
Yes,13.782785706353964,A,-8.876348268366048,E,-41.41949722899446,D,E,B,E,E,D,1
Non-Veteran,-11.249243009157684,D,109.00973495445882,B,11.723627714667108,A,E,D,D,B,D,1
Veteran,107.02105984948025,B,-84.08941341435369,C,-68.77532811161387,A,E,A,B,C,D,1
No,62.99127252698851,E,27.457812248374125,B,82.7360845944961,A,E,D,D,A,C,1
No,19.36138867723223,E,53.52688562660656,A,83.36624372191567,B,E,E,D,E,E,0
Veteran,106.60570705079577,E,-26.289299877724186,A,52.25979937700787,A,D,A,A,E,C,0
Non-Veteran,21.08703477038234,C,126.60277395142494,D,-3.3526010578140024,C,E,B,B,C,A,0
Non-Veteran,-1.2108048790539547,C,85.09341106345126,B,-117.55685871708603,B,E,C,A,C,D,1
Non-Veteran,164.7621894507058,A,34.972766439792345,D,76.87898180654298,E,A,D,C,D,B,1
Veteran,188.64270945698783,D,-72.8351287581924,D,47.18065662058305,B,E,E,D,C,E,1
Non-Veteran,26.979525906320312,A,-32.869285322372264,C,8.823289453255647,B,A,A,E,D,C,0
Veteran,-46.90749090198325,B,-100.04830143286117,D,150.50449220338527,E,D,A,B,D,E,0
Non-Veteran,111.11639884958235,B,-153.6842729156517,E,67.6686774553921,E,A,E,B,C,B,1
Veteran,7.399952142424104,D,-48.64809336961265,D,138.12935218692425,C,C,D,B,D,B,0
Veteran,-169.90231190184474,E,13.984468287864344,B,113.43954595992984,C,E,A,B,A,B,1
Non-Veteran,46.3497846981388,A,-47.469632110648654,E,233.4052163007304,E,B,C,A,A,B,0
Veteran,-99.4197089197272,A,-139.8312360411412,B,-61.529604859215524,E,D,B,A,D,C,0
Non-Veteran,132.87993325594312,D,15.575561475710847,D,38.14522080210974,A,C,B,B,B,D,0
Non-Veteran,-101.45171598265772,E,-121.94635985969593,C,-33.46573677225791,C,D,B,A,E,A,1
Veteran,-80.3003940370534,E,74.85464164608906,D,-54.220197211021826,C,D,C,C,B,E,0
Veteran,67.47561501266921,C,-17.890808534425084,E,-114.08985915637437,A,B,C,B,E,B,0
No,108.97358156746964,A,119.4348088322678,C,3.112090083282399,C,C,C,A,C,C,1
No,-117.41522627122252,C,25.7672713089656,B,-26.901870568783938,C,A,B,B,C,B,1
No,100.50073037100718,D,288.8154870066146,E,-63.42110718636672,D,A,C,A,D,C,0
No,-54.65916146983301,C,225.78026961596925,C,33.674425837120666,E,B,C,C,B,D,0
No,-8.872439434189506,A,19.99205245766144,D,-9.017973961665152,B,B,A,D,E,E,1
No,90.52779629360242,D,31.17833049540358,A,-29.077271874270238,E,A,C,E,A,B,1
Non-Veteran,-117.37814721591273,E,-122.74346699270218,E,72.34604904062503,A,D,E,E,C,E,1
Veteran,-75.22642640616047,E,-161.23754128826263,D,22.12783597847897,A,D,E,B,B,B,0
No,-8.863983699780121,E,86.8847708228688,A,-17.117626113497618,C,E,D,D,D,B,0
Non-Veteran,224.68023431430365,A,-57.041478075612595,C,0.5610112884783585,C,C,A,D,D,A,1
Yes,89.96754080885833,B,-39.389392567059225,B,12.739631776038463,B,C,B,C,E,B,1
Veteran,83.77760354041281,E,-74.50685207794818,D,-0.707213857200747,B,D,A,C,A,D,1
Yes,-77.81120261940264,A,231.05641961634373,C,-167.11606207789447,B,E,C,C,B,B,0
Yes,13.824409552467543,D,66.01156761864054,B,18.185854065976432,A,D,E,B,D,E,0
Non-Veteran,100.32454412079446,D,139.32495322442097,B,-73.9584617735583,B,B,D,E,A,D,1
No,-53.77012608037926,B,146.90309141640995,D,-169.89948210589947,B,C,B,E,A,D,1
Non-Veteran,-106.05523387191779,D,287.96452062692794,D,-26.059610216079122,B,E,C,A,D,C,0
No,-54.708243393938794,C,-43.56781928699685,D,65.1106463688478,A,B,D,C,D,D,0
Yes,14.638489425800715,A,142.7195602099406,D,-21.095165608177712,D,A,B,A,A,D,0
Yes,-49.87866596044767,B,212.96332682805962,C,-11.920056233525713,B,C,C,A,B,C,1
Yes,57.44686806001137,B,17.93388275447672,E,76.73542082977333,E,B,C,B,B,B,0
No,-30.277356536105437,B,80.75915901147793,A,-29.943680178039134,B,E,A,B,B,B,1
Veteran,-131.54880199965407,A,91.17697347828776,A,-131.165113526138,E,A,C,A,B,E,0
No,170.51960500341937,C,-213.18398081264317,E,-14.372593122046586,A,D,B,D,B,D,0
Veteran,-39.450858834863624,C,100.00233144660204,D,18.41786057889922,D,D,D,C,E,D,1
Veteran,-160.62355626702652,D,-234.14481654959155,B,85.18644581249004,B,E,D,D,A,B,1
Yes,-26.9343523108478,C,-54.48810595529579,A,-22.443390304168187,B,A,D,E,D,A,0
No,170.74256314810432,B,104.08796032271086,C,-11.811567731206802,D,A,D,D,D,B,0
No,-75.52107186096833,C,11.761415980410064,A,-7.443022305599611,B,D,B,E,E,E,0
No,28.830176800806466,D,50.40642370025633,D,-168.72916002814156,B,E,E,D,D,E,1
Veteran,-58.998143809415396,B,176.87844163662302,A,-35.61567617801803,E,C,A,A,B,A,0
Non-Veteran,45.18155141370571,D,56.07521450801896,C,-84.50871518842935,B,E,E,C,C,A,0
Non-Veteran,-52.244200869311065,B,-105.0471786400583,D,-93.11020760898107,C,A,B,C,A,B,0
Yes,3.0053954327028425,D,-69.81933878506612,A,-121.7854146321081,B,C,C,E,A,E,1
No,-139.69672889108298,C,43.00305597365817,A,-154.0118903148832,A,E,B,B,C,D,1
Veteran,152.49250516296146,A,88.01664696727943,A,44.987974670646686,A,A,C,E,B,B,0
Veteran,-88.97088706513446,A,-29.978141820379445,D,41.30136730497096,E,B,C,B,A,B,0
Yes,12.462499062642683,B,-105.88811881461592,C,1.3361393443507312,B,B,B,E,B,C,1
Veteran,78.89364999091626,A,-10.426332842140603,A,-68.43405612842743,D,C,D,E,C,D,0
Veteran,-209.97054574017858,B,-120.01236941871451,B,-55.21570102207845,C,C,A,C,C,A,1
Non-Veteran,98.77626997843566,A,57.197877896841874,D,-72.95733229221875,E,B,D,E,E,A,0
Yes,-5.285963387492957,C,-24.29213393944302,B,-67.84969182300145,C,E,E,B,E,E,1
No,46.85544594396024,A,-23.486799058885733,C,106.89607978107094,E,C,B,B,D,A,0
Non-Veteran,101.0348824034063,A,-138.20650470859968,A,37.1200884998468,E,D,A,A,D,B,1
Non-Veteran,57.8624309950352,B,-31.204009956899487,E,-97.7188892056569,A,D,A,E,B,E,0
No,-17.339618557886922,A,178.27626695123357,A,-329.7983988901797,C,D,D,B,D,B,0
Veteran,246.82414275590241,A,15.62184548124425,E,-151.03700466450917,A,B,A,C,B,D,0
Veteran,43.44456575624433,A,39.71584388791672,E,-51.840797904403225,C,E,E,D,C,B,0
Non-Veteran,-73.52617541258051,A,290.2601846797899,B,-6.351308775081857,A,B,C,C,A,B,1
Yes,129.8465380066448,A,-218.2645124356894,B,61.277340368040015,D,D,E,E,D,A,1
Yes,-24.19532960868062,A,-130.79062794436007,C,-71.90628126887695,D,C,E,A,A,C,1
Yes,85.53273508613505,B,162.51789762572898,A,-15.167684593610748,D,C,D,B,D,E,0
Veteran,-21.440400550470294,B,132.5705812203589,E,-32.60193693511913,E,C,B,D,B,E,1
No,11.905481002918748,B,-160.33946131577645,D,-132.47661630398085,D,E,E,C,E,B,0
Yes,-200.70943516420368,E,15.928126812809648,B,-84.0157999429865,A,D,B,A,E,D,0
