sex,marital_status,age_range,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Female,Widowed,51-65,Muslim,-21.353293723636398,B,C,A,C,B,D,C,80.59230629735752,D,-38.72478836731026,2.589536684712562,1
Other,Single,36-50,Hindu,-174.0350174367321,E,E,D,E,E,D,A,4.117743596657217,B,-11.217319010935503,56.881276326226605,0
Other,Widowed,51-65,Muslim,-101.12845941017896,D,E,C,A,E,E,D,-28.52838057946318,A,-18.804942746791674,-96.72016367732294,0
Non-binary,Single,51-65,Muslim,138.37427657851129,A,D,C,A,A,A,E,89.58995974152295,E,-121.57267373842129,53.01022024598727,1
M,Divorced,18-25,Christian,108.96460999366755,C,B,D,A,A,A,E,132.74795838327492,C,148.31966928900374,198.9207242794644,1
Female,Single,36-50,Muslim,138.89042542161604,A,A,C,E,A,D,A,16.93235346598537,D,43.30904783943359,69.63391998189785,1
Female,Married,51-65,None,-27.66873434399014,B,B,C,C,E,E,D,78.92816922214064,B,-64.81706525751233,20.479458574914144,0
Male,Widowed,65+,None,-62.382049078650546,A,B,E,A,E,E,B,-79.58455487871421,C,-1.9993532081782346,-66.08803491520142,1
F,Married,26-35,Muslim,-3.0137402637394213,C,D,E,E,B,A,B,-27.245145031182993,D,-219.65818701889685,21.616919074925306,0
M,Single,36-50,Jewish,81.39429108430022,A,C,E,C,E,B,C,31.754329091991522,B,104.96519062239894,353.60659716475146,0
Other,Married,18-25,Christian,-47.29780797981808,D,D,D,D,A,E,A,97.0618524638193,E,91.85482761079265,70.89280240633421,1
Male,Widowed,18-25,Muslim,15.55038055430527,E,E,E,C,C,D,C,31.911017621055095,D,92.9364742090207,-50.275647886441966,0
Female,Widowed,65+,Other,74.91727790178673,E,E,B,D,E,B,B,7.389931379875881,B,29.438116299168428,27.76249082822951,1
Other,Divorced,65+,Muslim,-249.1668560750409,A,D,E,E,C,C,E,63.083189589276415,C,-69.06476181183612,-276.7353611294102,0
M,Single,51-65,Hindu,41.48454915093941,C,E,C,C,E,E,B,78.5932915724691,E,66.39130279139958,172.9825633267602,0
Non-binary,Divorced,65+,None,-107.17935232649265,A,C,A,E,D,D,E,130.34481096710962,B,-12.349172188431343,52.19165618804519,0
Female,Married,18-25,Christian,-176.0689971750793,B,B,B,C,E,E,B,-44.86621894781187,D,-169.6490406617435,-50.03866933727136,1
Non-binary,Single,36-50,Jewish,-165.7136959432784,B,A,E,A,A,B,B,98.17934868503345,B,33.298465356052745,-105.35273221847415,0
Non-binary,Single,26-35,Christian,-124.20319606457484,D,B,C,A,D,E,B,80.64316277307215,C,-100.01722381519372,-7.509164326136464,0
Non-binary,Widowed,18-25,None,138.5002013079222,E,A,A,E,E,C,A,41.43584136526865,D,-6.51042760085983,103.17279746410888,1
Female,Married,18-25,None,153.95282969551823,D,A,A,B,B,D,A,-141.90233557314622,D,-53.323936105043224,-20.36258416890665,1
Male,Divorced,36-50,Christian,24.23629799190337,B,D,E,C,D,E,A,101.77807172977744,B,-188.52721699794844,17.901218686336172,0
Female,Widowed,26-35,Christian,-92.1807797429729,C,A,D,E,B,D,A,124.9090455925171,D,-65.26029902309105,91.03919892492934,0
Non-binary,Divorced,18-25,Other,78.6622320329901,C,C,C,D,D,E,B,103.36654256207325,C,66.04099678366123,-15.346808016411112,1
M,Divorced,36-50,Other,-132.95688226201997,C,E,C,B,D,A,E,148.83947793720142,B,-117.48728177258502,-50.75050768183217,0
Other,Single,51-65,Jewish,24.57647525534575,D,A,C,D,D,D,C,-117.90664161198691,C,-16.579629124653195,139.82960403365297,0
Female,Single,65+,None,-86.93522967382519,B,C,D,E,B,A,E,-69.84919516726032,A,-157.58358469409862,85.87409052413508,0
Other,Married,26-35,Buddhist,-11.320471823011271,D,C,C,D,B,C,B,17.55247504061098,E,80.13402927908737,-136.71408914539498,0
M,Single,18-25,Hindu,59.76553329858577,E,E,B,A,E,E,D,-79.71387362662385,C,130.8205346682198,80.90878261313902,0
F,Married,26-35,Christian,8.669430814467812,D,E,C,C,A,A,A,36.31471029801925,E,115.94855273116582,-55.25725494128607,0
Non-binary,Divorced,65+,Hindu,-207.99753457916103,A,C,D,B,E,D,B,63.99375189021459,A,-27.90972728730057,-91.7809406830233,1
Male,Single,65+,Jewish,4.538130039178586,A,A,E,B,A,A,E,61.555918525813006,C,70.4303668635539,57.25156361252793,0
Male,Widowed,26-35,Muslim,48.51207699339334,B,E,D,E,E,B,D,-159.30603801628556,C,73.78614478446306,50.210742884453076,1
Other,Divorced,26-35,Jewish,20.43921435302275,A,B,E,D,C,D,B,-190.61556527681842,B,-106.19635363008173,36.844033698929515,0
Non-binary,Divorced,51-65,Muslim,37.95897201217841,A,B,D,A,C,B,D,80.5214997818824,B,-62.28826904411557,-27.283218599984338,0
Other,Married,26-35,None,-42.34289099647467,A,D,A,E,B,E,D,15.133058283665656,B,-100.16110019672585,-56.10440234694492,0
F,Divorced,51-65,Other,-91.59358239607892,C,D,D,B,D,A,D,-22.669047412251057,A,-18.101028502175517,29.999791423662103,1
Non-binary,Single,51-65,Hindu,-150.34717018353066,E,E,C,B,A,E,D,18.50002284228603,B,-238.05230208567113,-208.71905384406966,0
M,Married,65+,None,-15.291760958033624,D,B,C,E,D,B,A,91.1479690853381,C,9.981668010936842,-42.70035434699413,0
Other,Widowed,51-65,Buddhist,62.52992950137628,E,D,B,A,A,A,B,-35.81947748442531,E,112.05548380610075,47.73806352275108,1
Non-binary,Married,65+,Other,31.290657945068318,A,E,A,C,A,C,E,2.7115803525057025,E,-62.965588804511285,76.08049099641298,1
Male,Single,26-35,Buddhist,42.83619786692727,C,A,B,C,B,A,A,4.096510071503244,B,27.95375218338997,113.93768136567071,0
M,Divorced,51-65,Muslim,-163.48414507435317,D,C,A,A,B,C,D,-207.78300455925688,C,-154.30816960027977,-227.9066472409701,0
Female,Divorced,51-65,Buddhist,-40.9562059278825,B,C,A,D,A,D,E,14.70619546014954,D,154.20842955706237,198.81499022459917,0
Female,Single,65+,Hindu,18.34952706113905,D,A,C,C,D,A,C,-95.13467172466241,D,64.24704507035183,-11.434467369125228,1
F,Divorced,51-65,None,-91.55329164417189,A,E,E,C,C,D,C,-23.58911467836276,E,-200.66159468763664,150.91236804546608,0
Female,Divorced,65+,None,15.75434988522797,D,D,B,E,E,D,A,-0.45393730774410973,C,-33.38294896814018,-101.52881333425448,1
Other,Married,36-50,Hindu,71.25022238695955,E,E,D,E,E,D,E,-26.90578115553206,E,-50.79326780492289,-59.05617635114708,1
Female,Widowed,65+,Other,-18.622487208030183,C,A,C,B,B,D,D,-66.48960940148957,B,-24.63989221089124,-18.57561359504289,1
F,Married,26-35,Hindu,202.79986205566001,A,A,C,C,D,E,E,-114.48613988122595,E,-4.072305445113347,-58.4886230897786,1
F,Married,65+,Hindu,-120.57282505907622,D,C,D,C,E,B,A,99.96685607234699,B,-178.6470414728985,-12.820936943077967,1
F,Divorced,36-50,Hindu,-10.500500020870094,C,C,D,C,A,D,A,142.5330203260732,D,-18.36700841023522,-28.984449320873047,0
F,Single,51-65,None,-134.81597467028274,E,A,C,E,A,A,D,-40.43044249446702,C,-105.9635504735893,-12.135437405832644,1
M,Divorced,26-35,Jewish,-11.576557584338415,C,E,A,B,B,D,E,148.9532147936128,A,143.87046274510624,30.88464691039807,1
M,Divorced,65+,Muslim,64.89165265941197,E,B,E,E,C,B,D,-107.05650837818928,D,14.797444607918605,-79.21846448359292,0
F,Married,36-50,Buddhist,150.6864431105274,A,B,A,B,D,E,B,-70.38991073265626,B,27.814854725533973,-13.09751654726345,0
F,Widowed,18-25,Jewish,-49.91913150175019,D,D,B,B,B,A,D,30.942351557390612,E,-81.46274639232516,-20.49602535810674,0
Male,Single,18-25,None,44.56090108038671,A,C,A,E,A,E,D,-93.91328730465703,C,11.32125459083935,-178.3149599692682,1
Other,Widowed,26-35,Jewish,-2.9964814818735883,C,A,A,B,C,E,C,-91.85818349673353,E,-95.24825860138287,-15.296914248828145,1
Female,Widowed,18-25,Christian,49.656999241698664,D,A,C,E,B,A,A,34.27411220624411,C,130.3663100501852,118.90191773508832,0
F,Widowed,36-50,Buddhist,40.9632473019552,C,D,B,D,D,C,C,67.33639619086208,B,-56.11426821369933,3.618416924617221,1
F,Single,36-50,Hindu,-19.176333407147084,B,A,A,C,E,D,D,134.8369961937245,A,-76.0008596167665,139.784754591629,0
Non-binary,Divorced,18-25,Jewish,2.306839817734732,C,D,D,D,B,A,E,-33.38651081411585,D,92.63130402925054,-67.0057322121842,1
Other,Divorced,65+,None,65.89417872064719,E,D,A,C,C,A,D,67.98076684060183,C,61.84140349652606,-105.6459919116284,0
Other,Divorced,36-50,Hindu,-38.73131017211092,C,D,C,D,B,B,B,-101.432570250624,D,152.9779860510214,-154.39617441849714,1
Male,Single,65+,Other,-155.5501598542885,E,D,C,A,D,D,D,-57.71868250065013,D,80.82407977790704,43.349155764578505,1
Male,Divorced,65+,Buddhist,-123.23129323162689,B,D,A,A,E,E,B,162.2953598305453,E,42.512710513289434,37.94416819703372,1
Female,Married,18-25,Buddhist,-53.855188692035185,D,A,B,C,B,A,C,-104.9690211711177,C,50.82901812075731,56.35530482164617,1
Male,Divorced,26-35,None,90.78843361052016,A,E,A,C,B,B,C,52.14179037679202,E,-123.51468119181584,48.169417624825016,0
Other,Divorced,51-65,Muslim,4.442371347176403,A,A,D,E,C,E,B,-14.476449081560894,E,66.71651064693286,153.96604863279535,1
Non-binary,Single,26-35,None,-103.63986352653673,E,E,B,D,E,E,B,-111.06447168952558,C,-177.3709003496411,37.18954514626543,1
Female,Single,65+,Muslim,65.31407077688235,A,A,C,E,A,A,D,-39.291956021692776,A,-147.779575660554,38.917695550402115,0
Non-binary,Married,51-65,Christian,86.63475331951929,A,E,B,D,A,D,B,-24.04750546535846,A,30.83897299868235,-106.50899733024511,0
M,Widowed,51-65,Muslim,-93.82152039354641,A,D,B,C,B,A,C,-183.41043740817216,A,22.10122568049092,55.736877562010065,1
Female,Married,65+,Hindu,42.162928840858605,A,C,A,E,D,C,B,16.433774477754177,C,219.9747508058364,33.53908808918109,1
M,Widowed,65+,Other,-90.54264357554018,A,D,C,A,B,E,E,153.46082030614323,B,140.02909913232565,26.70461586382088,0
F,Single,18-25,Other,-75.62762637670447,D,D,B,C,E,E,B,-28.984068168516853,D,14.594493082546037,-58.10666969767112,1
M,Divorced,65+,Hindu,13.021580784065451,D,E,C,D,E,C,B,-55.7005462298436,E,175.3507442259036,29.252652703137016,1
Other,Single,51-65,Jewish,4.019842356491071,D,D,C,C,C,A,E,133.9172447906978,C,47.382647487049184,-164.6424410498373,0
Non-binary,Single,65+,Muslim,148.4267646367869,B,E,D,E,D,E,C,-139.7801260445701,D,143.19588151806363,45.26498904515417,1
Other,Widowed,26-35,Muslim,-23.96107163248901,A,B,B,C,C,E,B,104.7320699231816,D,1.0347571670766267,140.12392945306036,0
M,Single,65+,Hindu,-33.55084729322802,D,D,A,C,B,E,B,48.298221113681144,E,68.87580144016493,-11.337871474259435,1
Male,Married,18-25,Hindu,-52.23193625565429,D,E,C,E,B,D,B,-0.6408436171884582,B,48.514707153457564,33.69673251821973,1
Male,Single,65+,Buddhist,-53.416066217211565,C,B,B,D,B,A,D,-201.4345472736812,E,59.970352430268356,70.3063331396575,1
Male,Married,18-25,Jewish,-76.7502010513239,C,E,C,D,D,B,D,-165.05191236112864,E,-61.40019531935028,-58.62516972526986,1
M,Divorced,65+,None,182.9301593944005,B,B,E,C,B,B,E,-106.13945487919723,C,41.39563589766572,-38.702252276117925,1
Female,Married,65+,Buddhist,-76.9795355833337,A,B,A,D,E,C,B,-115.8098275217472,E,-48.440496126736384,-11.960816071145482,1
F,Widowed,26-35,Hindu,84.80626223098488,A,B,E,D,B,D,A,92.91421337092541,D,147.12185064824322,-11.033888178689049,1
F,Married,51-65,Christian,20.224250777742203,D,B,A,E,A,D,A,-6.584397969118013,C,-45.253419372227114,165.3772332994892,0
Other,Single,36-50,Other,-162.4058921905174,E,E,D,D,D,B,E,-122.41590985389696,B,131.89250631114808,97.86935542581745,1
Male,Widowed,65+,Other,179.1925784863514,B,C,D,A,E,E,A,106.8790224452296,B,193.8794255165354,-112.38394381997125,1
Non-binary,Married,18-25,Hindu,14.252107348730497,A,E,B,D,B,A,C,112.3622159289575,E,73.86345088564119,36.28377014017373,1
Non-binary,Widowed,65+,Christian,31.408248838773005,D,B,E,A,A,C,A,-75.23437440223208,D,83.11341174189148,102.11573255871538,0
M,Widowed,18-25,Muslim,226.66332435021363,A,A,A,B,D,D,E,-206.3556422128228,C,-99.7426289573593,-7.124201988871319,1
Female,Divorced,36-50,Other,-127.29446068848995,D,B,D,E,D,D,D,-26.86546611266677,A,-120.46204235284972,138.94687271232291,1
M,Divorced,36-50,Buddhist,-11.924747918251967,B,D,A,E,B,B,C,59.95890327200735,C,59.45289743212715,27.47185543890759,0
Non-binary,Single,51-65,Buddhist,-73.48378198370311,E,C,D,E,A,C,D,-1.5503745251607808,B,153.69883155217022,89.7167070154557,1
F,Widowed,26-35,Christian,148.50651739292528,C,C,B,C,D,A,B,-34.133461709462814,E,-29.98850602001729,44.87322626772642,1
Other,Single,51-65,Jewish,73.73278160239285,E,A,A,B,E,A,C,-16.542036734826635,B,50.709581613759845,18.043259295888067,0
Other,Divorced,65+,Muslim,50.83300875616881,A,A,C,D,D,B,A,-113.16531111172318,A,72.88689110019259,140.09627212455518,1
Other,Single,26-35,Muslim,-62.3032456155564,D,B,A,A,C,E,D,-20.76052882163694,E,130.77335801456022,-102.58463144729146,1
M,Single,36-50,None,35.930987154626735,A,D,B,B,C,D,D,35.305479734055325,D,22.03930320955058,-41.4508415527774,0
Male,Single,18-25,Muslim,79.77542929187356,B,B,A,B,E,A,D,63.21699405064418,D,162.62843370816077,30.811442120457528,0
F,Single,65+,Jewish,-46.04279308316982,A,A,A,E,D,A,A,-26.371045061236597,D,130.35277714149035,-92.01748107389862,0
Female,Divorced,36-50,Christian,-149.76059750221765,A,D,C,A,D,B,E,142.5142129247216,A,113.36431158003182,81.85229712280046,0
Non-binary,Married,65+,Hindu,29.486349934932083,D,C,E,B,B,A,D,129.2229707773246,C,124.10120018654216,-1.7843248779729783,0
Other,Divorced,65+,None,-68.78077416507278,C,A,E,B,B,B,D,-154.8339878176528,D,87.2624831974304,-115.07735542978952,1
M,Divorced,26-35,Other,3.7479598874839066,A,D,B,C,B,B,A,-84.20738418814042,E,152.8665550157319,-13.828918647162183,0
M,Divorced,18-25,Christian,11.085773911800745,D,A,E,D,B,A,C,-93.93021736788913,C,-42.01530966814098,108.61018563318561,0
Non-binary,Single,36-50,None,-102.00692883816357,D,E,B,C,E,B,A,-36.14023910832496,D,138.83992291580424,84.37157241514714,1
Other,Divorced,51-65,Muslim,-144.34390742844084,A,D,B,C,C,C,D,-65.0960798237565,C,-180.98858278341152,-5.858335492535006,1
Non-binary,Single,18-25,Christian,-123.5058842726327,A,D,A,D,A,E,B,43.05088398266493,D,-47.67398486028961,-236.35792292765862,1
Non-binary,Single,51-65,Other,-81.55344508573273,D,A,A,D,D,A,B,150.12294019754094,B,147.51639715388757,-56.91594335208456,1
F,Single,65+,Other,-149.87546497209576,B,B,B,D,A,C,D,123.73496943254729,C,-60.433976652461865,-14.357387593064313,0
F,Divorced,26-35,Christian,37.69952307336897,C,D,A,B,C,D,A,221.2702037436296,B,-57.75179644413382,-116.86759696934179,1
Non-binary,Single,51-65,Muslim,-145.62205503268964,A,A,E,A,C,A,D,135.91197650171333,B,36.89723292121056,110.88327515544476,1
Female,Widowed,36-50,Hindu,52.46293802378496,B,A,D,A,E,B,D,-75.13840277550759,B,-37.25574257953757,4.654234695744384,0
M,Married,51-65,Other,38.945627443831086,C,C,E,A,D,C,A,-17.18755629530419,A,-17.64083191567629,102.38247753084029,1
Female,Married,18-25,Christian,134.71065982237417,C,C,C,B,D,D,E,69.8694088423848,E,75.87472739843757,20.548674318879318,0
Female,Married,51-65,Buddhist,-28.750098589185168,A,A,C,B,C,E,C,145.60703804794372,A,-73.518390111986,0.7551987366105948,0
Other,Married,65+,Muslim,166.33278147974602,B,B,C,D,E,C,E,-138.43434020912605,D,110.49504735801507,-47.38035636818175,1
M,Single,26-35,None,-96.56437394229542,C,D,A,E,E,B,A,-41.013007234768885,D,-111.16044103382181,-146.6134354882787,1
Female,Widowed,18-25,Jewish,234.42432482282675,A,B,C,A,B,A,A,-50.46961893186287,D,44.307536081692206,-121.279977131242,0
Other,Widowed,18-25,Christian,-54.113983919611805,E,B,C,D,C,C,C,-55.73117044154142,D,-7.380241042152141,-88.56703206951752,1
M,Widowed,65+,Muslim,-8.136779872289663,E,A,E,D,E,D,C,-81.68584620110366,E,-10.884722678634365,164.46351377493838,1
Male,Divorced,18-25,None,115.56972809383825,E,B,A,B,B,E,E,-13.293176803626611,D,44.25055826967984,-42.64008718419301,1
Other,Divorced,26-35,Christian,66.83753445141713,B,B,C,D,C,A,D,-85.88913913851192,B,107.67059820418834,46.878206257593284,0
Non-binary,Married,36-50,Hindu,140.13707050847893,C,A,E,E,E,E,C,-24.723568505331855,E,-188.1105458427474,41.376474084807164,1
Male,Widowed,65+,Muslim,64.67661500965286,E,E,E,B,E,C,A,-155.71181402981577,B,-43.48842508963763,-58.68545622678132,0
Non-binary,Married,26-35,Jewish,-19.117752748816034,B,D,E,C,A,E,B,-69.28257932977637,C,50.24512037154633,-149.30107049218978,1
M,Married,51-65,Jewish,65.49226605822763,A,D,A,C,C,C,C,58.75375066969683,D,51.70485417562688,104.34083499258013,1
Other,Divorced,26-35,Other,15.844772812873357,C,E,E,B,E,B,B,-86.78368476837235,A,-43.925929483492375,70.88876128577456,1
Other,Single,36-50,Hindu,-18.60250310076438,D,B,D,B,A,E,C,107.77112023136701,A,-233.53463311401939,-18.282000325154147,0
M,Divorced,18-25,Muslim,-116.67993982148323,D,B,E,C,E,C,E,109.23154076365921,E,20.845313447288007,-63.90771044768066,0
Other,Widowed,65+,Buddhist,-52.20340783280852,C,E,A,D,D,A,E,-230.06443147041682,D,124.23017840205746,96.51054385687475,1
Non-binary,Divorced,51-65,Jewish,-36.98994159287574,B,E,A,D,A,C,A,-82.97945128581573,D,99.8880828507915,119.03964865849073,1
Male,Married,51-65,Other,-192.19545708713036,E,B,C,D,D,B,C,108.4590926131638,E,96.21519653880438,259.9756440471058,0
Non-binary,Single,65+,Christian,-19.102699492762916,A,D,A,D,A,D,B,-85.539313559387,A,18.155026353278306,0.3999893260591257,0
Non-binary,Widowed,26-35,None,-13.192544499834705,E,E,C,B,C,D,E,107.05401682766076,C,-105.09963737534125,3.7213857623874596,1
Male,Widowed,18-25,Other,-192.7858029281486,D,C,D,B,E,A,B,54.242209480790116,E,47.460704618602065,-109.64160412686435,0
M,Divorced,36-50,Christian,-158.23892206940212,E,A,B,E,D,A,A,88.87721411885053,D,32.204389401680174,65.66763643581169,1
M,Married,36-50,Christian,104.02612115360577,C,D,E,E,D,B,A,-101.80116716157444,B,21.711147316904526,17.990793199418277,0
Other,Single,26-35,Other,85.16092139086865,A,E,E,D,C,B,B,-2.857542553644119,D,-14.223333154951717,149.59952407117643,1
M,Widowed,18-25,None,-27.548386684673094,B,D,C,D,E,C,B,0.006113000413655515,B,228.5995872725844,257.92654876748793,0
Non-binary,Single,51-65,Hindu,90.94527216132876,A,C,B,D,A,C,D,-7.346052129570419,D,-126.27023984489342,82.73812367158064,1
Non-binary,Single,36-50,Buddhist,142.39676783421305,E,E,B,A,E,E,D,56.405372803240695,A,26.149324598841822,14.220138696913798,0
Other,Widowed,18-25,Other,-0.7689230501357144,C,C,A,E,E,B,E,-15.834494340458939,D,-110.88791510794347,76.75127508093618,0
Male,Single,36-50,Muslim,179.01240939842438,A,C,A,B,C,B,D,-218.3791802183399,A,113.31030313828161,-216.9365090001888,1
Female,Divorced,51-65,Other,3.7789065537702595,C,A,E,B,B,C,D,-13.63825486229318,C,61.505486103367865,-87.19681025470132,1
M,Widowed,65+,Hindu,71.48638475733132,B,D,B,C,B,D,E,90.20787963833807,C,118.33974049007895,-89.11190542895898,0
Male,Widowed,18-25,Muslim,23.277686073037753,A,E,B,D,C,B,E,105.82516182051333,D,34.470558897474696,-47.271177399899635,1
Female,Single,36-50,Buddhist,-62.455034777489516,E,E,A,C,D,A,D,22.821162066868315,A,70.19906398394815,40.096058175499046,0
Female,Divorced,51-65,Other,238.9599006315267,B,E,A,A,A,E,E,57.57396051680557,B,86.5149495904771,200.13302436223051,0
Male,Single,36-50,Christian,-150.5839372177491,B,D,B,B,B,B,D,44.954875629147786,A,-48.38333605055523,-76.42287706010205,0
Other,Single,26-35,Hindu,196.4016175655241,C,E,B,D,C,E,C,132.30638946496438,D,129.8549192761106,-19.969749294747416,0
Female,Widowed,18-25,Jewish,65.40097810918284,E,B,C,B,D,A,B,-71.8073981234939,D,69.49758184949161,66.9923854994885,1
M,Single,65+,Hindu,28.685895179267522,D,C,E,D,B,B,B,23.31387600363584,E,-120.56217269712972,149.61048619120285,0
Female,Single,65+,Jewish,-14.102417616801288,E,E,D,A,C,C,D,-132.08375652561764,E,-57.78868390674926,135.86352000764,1
Male,Married,26-35,Other,106.22690999236775,B,A,A,B,E,C,B,21.700289255820618,B,-123.60556284937931,136.9841959366822,0
M,Widowed,36-50,Other,-35.43111997198202,E,E,D,A,C,A,D,-4.059542081862179,E,-76.47330288003727,-66.39949078489249,0
M,Married,36-50,Other,-64.00875028174792,A,E,B,C,D,A,C,92.16400114666777,E,-147.71013760571805,43.28282757743203,0
Male,Widowed,36-50,Jewish,9.34034824581165,B,A,D,C,B,C,A,-16.491144848533196,E,-138.93102756935232,31.082794280394282,1
Male,Divorced,26-35,Jewish,-158.93384636531235,A,C,C,E,D,B,E,-42.849576083566404,A,-124.71144894824388,-87.20523512703343,1
F,Divorced,18-25,Buddhist,-92.64868198396132,B,E,A,E,E,D,D,173.60056789780762,B,-191.76803916982158,-144.22605360057094,1
M,Divorced,51-65,Other,107.03557816609222,A,E,A,E,D,C,C,-226.24806715470407,E,-142.5586283879905,144.28051879533444,1
F,Married,51-65,Buddhist,-36.18100641646431,E,A,E,B,A,A,C,56.27908589697401,B,-113.842345551074,-275.44731399696394,1
Female,Single,18-25,Jewish,-48.45180695076007,B,A,D,B,C,E,A,-138.9158302141389,C,20.11949957863616,73.2175553660911,0
Female,Married,65+,None,-72.3337292374379,D,B,A,A,B,C,D,-58.940682473913284,D,-90.93522545268881,-67.71482846260464,0
F,Widowed,65+,Buddhist,17.578005125839727,E,E,A,B,C,B,A,215.15264466415357,E,42.42335040560931,81.55260463591594,0
Non-binary,Single,51-65,Muslim,75.01639367095395,C,D,E,D,E,E,D,-2.541033856178365,A,-82.53379473439159,-26.927214379679636,0
Female,Single,18-25,Jewish,5.143676533596772,A,B,B,B,C,D,D,-40.460994064186714,C,-177.61036913296888,186.69343498699803,0
F,Married,36-50,Other,-24.363250583470357,B,D,E,D,E,A,E,50.43161721612447,A,-84.6098658456171,-189.04342009871954,1
F,Married,36-50,None,22.06674040198411,A,D,C,E,A,B,C,39.597841900141276,E,121.03434605655235,-111.64908113463083,1
F,Widowed,36-50,Hindu,92.69627028027388,C,D,E,A,C,D,E,159.87726968492132,C,55.39358926782958,29.58635851605948,0
M,Single,26-35,Buddhist,-136.56645282852867,A,E,E,A,E,E,C,-18.073323034196342,D,13.174634586732045,-23.748720891160367,0
Other,Married,18-25,Muslim,64.12196391440756,E,C,A,E,C,E,B,25.102555178502424,C,150.03896515655438,-86.48367878958443,0
Other,Single,18-25,Jewish,-30.319154878676997,B,B,B,C,D,C,A,-71.97401049850994,B,-8.345181244195304,-54.93822808097275,0
Male,Single,26-35,Jewish,60.49374632563611,D,B,B,B,C,B,E,26.278141010773354,E,-70.71283547770966,47.969945402753815,0
Female,Widowed,51-65,Other,17.541349645804676,B,C,C,D,C,E,E,144.57921129457756,E,30.0583715329418,-5.357759999477203,0
Non-binary,Divorced,65+,Christian,8.645940110679199,E,D,C,D,C,D,B,-89.3021048025445,B,-63.75515054295361,-62.46755832555099,1
Male,Married,51-65,Other,119.13012846289193,D,E,D,E,C,A,B,-141.7258704186955,E,124.89406883472469,77.29088291506456,0
Male,Widowed,65+,Christian,107.56135316127389,C,A,A,C,E,A,A,-16.416916510977337,D,153.60669046608294,-252.5984172574566,1
Other,Divorced,51-65,Muslim,1.0749715033852478,B,A,D,D,E,B,D,39.857349688594425,C,126.3370171966617,-20.047248796487054,0
Female,Single,26-35,None,64.03619518327825,B,D,C,B,B,A,A,-44.00207640504675,C,-32.453488722735244,-93.21317101235442,0
Male,Single,65+,None,261.1184156228509,D,C,C,B,A,C,B,41.33898674420685,E,-47.15487011779541,65.4733535294969,0
Female,Single,36-50,Hindu,-164.7516169020631,B,C,B,E,A,B,E,-59.77459099503345,D,25.851611261375872,114.08310167378886,1
Other,Divorced,26-35,Buddhist,-14.066250406275756,C,D,C,A,A,E,E,66.00254023272655,C,38.69595852573062,-167.23809289265193,0
Female,Single,65+,None,88.47734310268616,E,B,D,C,C,C,A,-73.04476491713825,A,96.23797328080693,-79.97477594515291,1
M,Single,65+,Jewish,-82.42199594950036,A,C,C,D,C,E,D,-30.8701548406759,B,41.728915287491155,70.5769371690606,1
M,Married,36-50,Christian,-155.98266256050985,E,B,A,A,B,B,C,117.1746950917473,B,101.95049883815253,97.58319188084546,1
Other,Married,36-50,Other,96.4471169961343,E,D,B,E,E,D,D,-23.676379549567656,C,-131.0392107790997,-5.791640268879626,0
Male,Married,18-25,Hindu,-128.29371466934134,E,B,D,C,B,A,D,-60.102420753800644,B,1.6862300251924687,75.25028290179068,0
Male,Married,26-35,Hindu,11.940620119724334,E,E,A,A,D,B,E,-115.68557338926576,E,131.74636055638564,-129.5979705681668,1
Other,Married,65+,Other,27.919334863458218,A,C,B,A,E,B,C,-166.93353724011735,E,-104.56060221681014,-20.596825231222507,0
Female,Widowed,26-35,Muslim,-2.7312307503507327,E,B,D,A,D,E,B,20.773900543677264,D,-31.090550087230266,-3.001717813085104,0
Non-binary,Married,26-35,Buddhist,31.495567937944298,E,E,C,D,E,B,E,12.147799025687423,C,-4.573192938763044,168.13541657337194,1
F,Widowed,51-65,Jewish,12.21504818715164,E,A,B,E,B,B,D,-118.11823597980163,A,-13.812160857574876,57.468138689007084,1
Male,Widowed,18-25,Other,-5.987518403741787,B,D,A,D,C,C,D,-70.58185674442457,D,32.63914937892427,49.61887860502729,0
Other,Widowed,36-50,None,107.08803867031327,D,D,D,A,D,D,D,-1.7871781747159101,D,109.40553094891463,-117.16449687848723,1
F,Married,51-65,Muslim,-54.22535307501519,D,C,C,B,C,C,B,176.80235889611959,C,-154.03259324438005,-150.22424950662918,0
Other,Single,36-50,None,-240.0000749340434,C,E,B,C,E,D,A,-54.86364555396417,B,-9.887159414543875,62.48316516372091,1
F,Widowed,26-35,Jewish,-94.66866683114668,B,C,E,A,A,A,D,8.686405950565913,E,42.49621805196892,71.91475126175385,1
Female,Divorced,18-25,Hindu,72.88215805696493,B,E,D,B,E,E,D,-146.19710081296864,D,4.32637437566701,64.32666275198495,1
Non-binary,Single,65+,Buddhist,-42.8171426020767,C,B,D,B,B,D,B,90.93854161104457,E,38.8974548974163,43.596140298962844,1
Female,Married,51-65,Other,-152.46710167790744,D,B,D,D,E,B,A,-29.582195967293384,E,-27.45830728448913,-91.80496516871257,1
Male,Married,36-50,Other,-37.16993608597768,C,C,B,C,B,A,B,-100.81003945872742,B,-6.28688664803809,-23.661403708295676,0
F,Divorced,65+,Other,39.71186800952658,C,B,E,B,B,B,D,20.72892634203149,B,-77.08902312878773,-76.20557249290911,0
